Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
72,0,74,3,73,5331660,77,0,0,84,0,85,0,85,1804800,86,1804800,87,1804800,0,1804800,0,1804800,1,1804800,1,2208000,2,2208000
174,0,176,3,175,5340836,181,0,0,194,0,195,0,195,1804800,196,1804800,196,1804800,87,1804800,88,1804800,88,1804800,88,2208000,89,2208000
276,0,279,3,277,5344316,287,0,0,296,0,299,0,301,1804800,303,1804800,304,1804800,198,1804800,199,1804800,200,1804800,201,2208000,202,2208000
376,0,378,3,377,5357796,384,0,0,394,0,395,0,395,1804800,396,1804800,399,1804800,305,1804800,306,1804800,308,1804800,309,2208000,310,2208000
477,0,480,3,477,5359052,483,0,0,488,0,489,0,490,1804800,491,1804800,491,1708800,400,1804800,400,1804800,405,1804800,406,2208000,407,2208000
577,0,583,3,578,5361784,589,0,0,594,0,595,0,597,1804800,598,1804800,598,1804800,492,1804800,492,1804800,493,1804800,494,2208000,494,2208000
678,0,680,3,678,5376464,683,0,0,692,8,693,0,693,1804800,694,1804800,694,1804800,599,1804800,600,1804800,601,1804800,602,2208000,603,2208000
778,0,780,3,778,5380520,785,134395,27136,789,8,791,0,792,1804800,793,1804800,793,1804800,695,1804800,695,1804800,696,1804800,696,2208000,697,2208000
879,0,881,3,880,5385780,885,134395,27136,893,8,893,0,894,1804800,894,1804800,895,1804800,794,1804800,794,1804800,795,1804800,795,2208000,796,2208000
979,0,981,3,980,5394584,985,134395,27136,989,8,990,0,991,1804800,991,1804800,992,1804800,896,1804800,896,1804800,897,1804800,897,2208000,898,2208000
1080,0,1082,3,1081,5401880,1086,134395,27136,1091,8,1092,0,1092,1804800,1093,1804800,1094,1804800,993,1804800,993,1804800,994,1804800,994,2208000,995,2208000
1180,0,1183,3,1181,5405228,1189,134395,27136,1193,8,1194,0,1194,1804800,1195,1804800,1196,1804800,1095,1804800,1095,1804800,1096,1804800,1096,1766400,1097,1766400
1283,0,1287,3,1285,5407244,1291,134395,27136,1297,8,1298,0,1299,1248000,1299,1248000,1300,1248000,1196,1804800,1197,1804800,1197,1804800,1198,2208000,1198,2208000
1385,0,1388,3,1386,5407820,1395,134395,27136,1401,8,1402,0,1403,1248000,1404,1248000,1404,1248000,1301,1248000,1302,1248000,1302,1612800,1303,2208000,1304,2208000
1485,0,1486,3,1485,5408504,1490,134395,27136,1499,8,1500,0,1501,1516800,1501,1516800,1503,1804800,1405,1248000,1405,1248000,1406,1248000,1407,2208000,1407,2208000
1585,0,1588,3,1586,5413180,1591,134395,27136,1596,8,1598,0,1599,1804800,1599,1804800,1600,1804800,1504,1804800,1505,1804800,1505,1804800,1506,2208000,1506,2208000
1686,0,1689,3,1687,5406216,1692,134395,27136,1699,18,1700,0,1700,1804800,1701,1804800,1702,1804800,1601,1804800,1602,1804800,1603,1804800,1603,2208000,1604,2208000
1787,0,1790,3,1788,5408596,1793,302389,195130,1799,18,1799,0,1800,1017600,1801,1017600,1801,1017600,1703,1804800,1704,1804800,1704,1804800,1705,2208000,1706,2208000
1888,0,1892,3,1889,5412880,1895,302389,195130,1900,18,1901,0,1901,1804800,1902,1804800,1903,1804800,1802,1017600,1803,1248000,1803,1248000,1804,2073600,1804,2073600
1989,0,1991,3,1989,5416960,1994,302389,195130,2005,18,2006,0,2006,1804800,2007,1804800,2007,1804800,1903,1804800,1904,1804800,1904,1804800,1904,2208000,1905,2208000
2090,0,2092,3,2091,5422552,2096,302389,195130,2103,18,2103,0,2104,1804800,2104,1804800,2105,1804800,2009,1804800,2009,1804800,2010,1804800,2011,2208000,2011,2208000
