Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
19,0,21,3,20,5254132,22,0,0,24,0,25,0,26,1804800,26,1804800,26,1804800,27,1804800,27,1804800,27,1804800,27,2208000,28,2208000
106,0,107,3,106,5255644,110,0,0,113,0,114,0,114,1804800,114,1804800,115,1804800,115,1804800,115,1804800,116,1804800,116,2208000,116,2208000
207,0,210,3,208,5257440,214,0,0,222,0,223,0,223,1017600,224,1017600,225,1017600,226,1017600,226,1017600,227,1017600,227,1401600,228,1401600
307,0,309,3,308,5264716,314,0,0,320,0,321,0,321,1804800,322,1804800,322,1804800,323,1804800,323,1804800,323,1804800,324,2208000,324,2208000
408,0,411,3,409,5268356,416,0,0,422,0,422,0,423,1017600,424,1017600,425,1017600,425,1017600,426,1017600,426,1017600,427,979200,428,979200
509,0,511,3,510,5275884,514,0,0,520,0,521,0,522,1017600,522,1017600,523,1017600,524,1017600,524,1017600,525,1017600,525,1248000,526,1248000
609,0,619,3,610,5286060,624,0,0,632,0,633,0,633,1248000,634,1248000,634,1248000,635,1248000,635,1248000,636,1248000,637,2208000,638,2208000
710,0,711,3,710,5291480,723,0,0,727,0,728,0,728,1804800,729,1804800,729,1804800,729,1804800,730,1804800,730,1804800,730,2208000,731,2208000
815,0,817,3,816,5290188,821,0,0,827,4,827,0,828,1804800,828,1804800,829,1804800,829,1804800,830,1804800,830,1804800,831,2208000,831,2208000
913,0,915,3,913,5302200,922,67197,0,930,4,931,0,931,1804800,932,1804800,932,1804800,933,1804800,933,1804800,934,1804800,934,2208000,935,2208000
1014,0,1016,3,1015,5303916,1021,67197,0,1027,4,1028,0,1029,1248000,1029,1248000,1030,1248000,1030,1248000,1031,1248000,1031,1248000,1032,2208000,1032,2208000
1114,0,1116,3,1114,5309976,1118,67197,0,1122,4,1123,0,1123,1804800,1124,1804800,1124,1804800,1125,1804800,1125,1804800,1126,1804800,1126,2208000,1127,2208000
1215,0,1217,3,1216,5313676,1222,67197,0,1229,4,1229,0,1230,1804800,1231,1804800,1232,1804800,1233,1804800,1233,1804800,1234,1804800,1234,2208000,1235,2208000
1316,0,1320,3,1317,5323212,1323,67197,0,1329,4,1330,0,1330,1804800,1331,1804800,1331,1804800,1332,1804800,1333,1804800,1333,1804800,1333,2208000,1333,2208000
1417,0,1419,3,1418,5328096,1427,67197,0,1433,4,1434,0,1435,1248000,1435,1516800,1436,1516800,1436,1516800,1437,1804800,1437,1804800,1438,2208000,1438,2208000
1518,0,1520,3,1518,5341504,1522,67197,0,1529,4,1529,0,1530,1804800,1530,1804800,1531,1804800,1531,1804800,1532,1804800,1532,1804800,1532,2208000,1533,2208000
1619,0,1621,3,1620,5344544,1623,67197,0,1628,4,1629,0,1629,1804800,1630,1804800,1630,1804800,1630,1804800,1631,1804800,1631,1804800,1632,2208000,1632,2208000
1720,0,1723,3,1721,5350880,1727,67197,0,1732,4,1732,0,1733,1248000,1733,1248000,1734,1248000,1734,1248000,1734,1248000,1735,1248000,1735,2208000,1735,2208000
1821,0,1823,3,1822,5354432,1828,67197,0,1832,10,1833,0,1833,1248000,1834,1248000,1834,1248000,1835,1248000,1835,1248000,1835,1248000,1836,2208000,1836,2208000
1922,0,1925,3,1923,5360480,1931,167994,0,1936,10,1937,0,1938,1248000,1938,1248000,1939,1248000,1939,1248000,1940,1248000,1941,1248000,1941,2208000,1942,2208000
2023,0,2025,3,2023,5373268,2029,167994,0,2034,10,2035,0,2036,1804800,2036,1804800,2037,1804800,2038,1804800,2038,1804800,2039,1804800,2039,2131200,2040,2208000
2123,0,2125,3,2124,5366716,2127,167994,0,2131,10,2131,0,2131,1804800,2132,1804800,2132,1804800,2132,1804800,2132,1804800,2133,1804800,2133,979200,2133,979200
2224,0,2227,3,2225,5368640,2232,167994,0,2238,10,2239,0,2240,768000,2241,768000,2242,768000,2243,768000,2244,768000,2245,768000,2246,787200,2247,787200
2325,0,2329,3,2326,5369112,2333,167994,0,2339,10,2340,0,2341,1017600,2341,1017600,2342,1017600,2343,1017600,2344,1017600,2345,1017600,2345,787200,2346,787200
2425,0,2428,3,2426,5371236,2432,167994,0,2438,10,2439,0,2440,1017600,2440,1017600,2441,1804800,2442,1804800,2443,1017600,2443,1017600,2444,2208000,2445,2208000
2527,0,2530,3,2528,5373660,2533,167994,0,2543,10,2544,0,2544,1017600,2545,1017600,2545,1017600,2546,1017600,2547,1017600,2547,1017600,2548,1766400,2549,2208000
2629,0,2632,3,2630,5374844,2640,167994,0,2647,10,2648,0,2649,1324800,2650,1324800,2650,1324800,2651,1324800,2651,1324800,2652,1324800,2652,1401600,2653,1401600
2730,0,2740,3,2731,5375528,2749,167994,0,2755,10,2756,0,2757,1324800,2759,1324800,2760,1324800,2761,1324800,2762,1324800,2762,1324800,2763,787200,2763,787200
2832,0,2836,3,2833,5376308,2842,167994,0,2854,18,2855,0,2856,1248000,2856,1248000,2857,1248000,2857,1248000,2858,1248000,2858,1248000,2859,787200,2860,787200
2931,0,2935,3,2933,5377040,2939,302389,0,2951,18,2952,0,2952,1248000,2953,1248000,2953,1248000,2953,1248000,2954,1248000,2955,1248000,2955,787200,2955,787200
3031,0,3033,3,3031,5378088,3036,302389,0,3041,18,3042,0,3043,1248000,3044,1248000,3044,1248000,3045,1248000,3046,1248000,3046,1248000,3048,787200,3049,787200
3132,0,3136,3,3134,5378340,3142,302389,0,3150,18,3151,0,3152,1248000,3152,1248000,3153,1248000,3153,1248000,3154,1248000,3154,1248000,3155,787200,3155,787200
3233,0,3236,3,3234,5378844,3241,302389,0,3249,18,3250,0,3251,1248000,3252,1248000,3253,1248000,3254,1248000,3255,1248000,3257,1248000,3258,787200,3259,787200
3334,0,3339,3,3335,5379820,3344,302389,0,3352,18,3353,0,3354,1017600,3354,1017600,3354,1017600,3355,1017600,3355,1017600,3356,1017600,3357,787200,3358,787200
3434,0,3437,3,3435,5380608,3442,302389,0,3449,18,3450,0,3450,768000,3451,768000,3452,768000,3452,768000,3453,768000,3453,768000,3454,787200,3454,787200
3535,0,3539,3,3537,5381112,3544,302389,0,3551,18,3552,0,3552,1248000,3553,1248000,3553,1248000,3553,1248000,3554,1248000,3554,1248000,3555,787200,3555,787200
3637,0,3640,3,3638,5382120,3644,302389,0,3650,18,3651,0,3652,768000,3653,768000,3653,768000,3654,768000,3654,768000,3655,768000,3655,787200,3656,787200
3737,0,3739,3,3738,5382380,3744,302389,0,3750,18,3751,0,3752,576000,3752,576000,3753,576000,3753,576000,3754,576000,3755,576000,3755,787200,3756,787200
3838,0,3840,3,3839,5383136,3846,302389,0,3852,18,3853,0,3854,576000,3855,576000,3855,576000,3857,576000,3858,576000,3859,576000,3860,787200,3861,787200
3938,0,3942,3,3939,5383672,3946,302389,0,3953,3,3954,0,3954,576000,3955,576000,3956,576000,3957,576000,3957,576000,3958,576000,3959,787200,3960,787200
4040,0,4045,3,4043,5383956,4049,50398,0,4055,3,4057,0,4058,576000,4059,576000,4060,576000,4061,576000,4061,576000,4062,576000,4063,787200,4063,787200
4141,0,4145,3,4142,5384712,4149,50398,0,4155,3,4156,0,4157,576000,4158,576000,4159,576000,4159,576000,4160,576000,4161,576000,4162,787200,4163,787200
4245,0,4247,3,4246,5386452,4250,50398,0,4259,3,4259,0,4260,1804800,4260,1804800,4260,1804800,4261,1804800,4261,1804800,4261,1804800,4262,787200,4262,787200
4342,0,4345,3,4343,5387336,4349,50398,0,4354,3,4355,0,4355,1804800,4355,1804800,4356,1804800,4356,1804800,4356,1804800,4357,1804800,4360,787200,4360,787200
4443,0,4446,3,4444,5386988,4449,50398,0,4455,3,4455,0,4456,576000,4457,576000,4458,576000,4458,576000,4459,576000,4459,576000,4460,787200,4461,787200
4545,0,4547,3,4546,5367428,4549,50398,0,4553,3,4553,0,4553,1017600,4554,1017600,4554,1017600,4555,1017600,4555,1017600,4555,1017600,4556,787200,4556,787200
4646,0,4647,3,4646,5367972,4649,50398,0,,,,,,,,,,,,,,,,,,,,
