Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
21,0,23,3,22,5274760,24,0,0,27,0,27,0,28,1804800,28,1804800,28,1804800,29,1804800,29,1804800,29,1804800,29,2208000,30,2208000
108,0,111,3,109,5271920,115,0,0,122,0,122,0,123,1804800,124,1804800,125,1804800,125,1804800,126,1804800,127,1804800,127,2208000,127,2208000
209,0,211,3,210,5269792,213,0,0,217,11,218,0,218,1248000,219,1248000,219,1248000,220,1248000,220,1248000,221,1248000,221,787200,222,787200
313,0,314,3,313,5272148,317,184793,157915,321,11,321,0,322,1804800,322,1804800,323,1804800,323,1804800,327,1804800,327,1804800,327,787200,328,787200
413,0,414,3,413,5275392,415,184793,157915,418,11,418,0,418,1804800,419,1804800,420,1804800,420,1804800,420,1804800,420,1804800,421,787200,421,787200
516,0,518,3,517,5278748,522,184793,157915,526,11,527,0,527,1017600,528,1017600,528,1017600,528,1017600,529,1017600,529,1017600,530,787200,530,787200
618,0,621,3,619,5279560,628,184793,157915,635,11,635,0,636,1248000,636,1248000,637,1248000,637,1248000,638,1248000,639,1248000,640,787200,640,787200
719,0,721,3,720,5308084,723,184793,157915,725,11,726,0,727,1708800,727,1248000,727,1248000,728,1248000,728,1248000,728,1516800,729,1900800,729,1900800
819,0,821,3,820,5315408,823,184793,157915,826,11,826,0,827,1804800,827,1804800,827,1804800,827,1804800,828,1804800,828,1804800,828,2208000,828,2208000
920,0,922,3,921,5326244,924,184793,157915,928,11,928,0,929,1516800,929,1516800,929,1516800,930,1516800,930,1516800,930,1516800,930,2208000,931,2208000
1023,0,1025,3,1024,5334340,1028,184793,157915,1033,11,1033,0,1034,768000,1034,768000,1035,768000,1035,768000,1036,768000,1036,768000,1037,2208000,1037,2208000
1122,0,1125,3,1123,5340600,1133,184793,157915,1136,11,1138,0,1138,1248000,1139,1248000,1139,1248000,1140,1248000,1140,1248000,1140,1248000,1141,2208000,1141,2208000
1223,0,1225,3,1224,5331056,1228,184793,157915,1232,11,1233,0,1233,768000,1234,768000,1235,768000,1235,768000,1236,768000,1236,768000,1237,2208000,1238,2208000
1324,0,1327,3,1325,5331836,1330,184793,157915,1335,11,1335,0,1336,768000,1336,768000,1337,768000,1337,768000,1338,768000,1338,768000,1339,2208000,1339,2208000
1425,0,1427,3,1426,5331812,1430,184793,157915,1435,4,1436,0,1437,768000,1437,768000,1438,768000,1438,768000,1439,768000,1439,768000,1440,2208000,1440,2208000
1527,0,1529,3,1528,5334520,1532,67197,40319,1536,4,1536,0,1536,1248000,1538,1248000,1538,1248000,1539,1248000,1539,1248000,1540,1248000,1540,2208000,1540,2208000
1628,0,1630,3,1629,5335252,1634,67197,40319,1641,4,1641,0,1642,768000,1642,1017600,1643,1017600,1643,1017600,1644,1017600,1644,1017600,1644,2208000,1645,2208000
1732,0,1735,3,1733,5335756,1741,67197,40319,1746,4,1747,0,1747,1324800,1748,1324800,1748,1324800,1748,1324800,1749,1324800,1749,1324800,1749,2208000,1750,2208000
