Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
20,0,21,3,21,5339152,24,0,0,26,0,27,0,27,1804800,27,1804800,28,1804800,28,1804800,28,1804800,28,1804800,29,2208000,29,2208000
107,0,108,3,107,5344696,110,0,0,115,0,116,0,116,1804800,117,1804800,117,1804800,117,1804800,118,1804800,118,1804800,118,2208000,118,2208000
208,0,210,3,209,5347988,213,0,0,217,0,218,0,219,1017600,220,1017600,220,1017600,221,1017600,221,1017600,222,1017600,222,787200,223,787200
308,0,310,3,309,5355076,313,0,0,320,4,321,0,321,1804800,322,1804800,322,1804800,323,1804800,323,1804800,324,1804800,325,2073600,325,2208000
409,0,411,3,410,5359384,414,67197,52078,418,4,418,0,419,1612800,419,1612800,419,1612800,419,1612800,420,1612800,420,1612800,420,979200,421,979200
510,0,512,3,511,5370836,516,67197,52078,522,4,523,0,523,1804800,524,1612800,525,1612800,525,1612800,526,1612800,526,1804800,527,2208000,527,2208000
610,0,612,3,610,5397744,616,67197,52078,621,4,622,0,624,1804800,624,1804800,625,1804800,625,1804800,625,1804800,626,1804800,626,2208000,627,2208000
711,0,713,3,712,5386212,716,67197,52078,722,4,723,0,723,1804800,724,1804800,724,1804800,725,1804800,725,1804800,726,1804800,726,2208000,727,2208000
811,0,813,3,812,5392512,819,67197,52078,826,4,826,0,827,1804800,827,1804800,828,1804800,829,1804800,829,1804800,830,1804800,830,2208000,831,2208000
912,0,914,3,913,5399812,917,67197,52078,924,4,924,0,925,1804800,926,1804800,927,1804800,928,1804800,928,1804800,929,1804800,929,2208000,930,2208000
1013,0,1016,3,1014,5456868,1019,67197,52078,1024,4,1025,0,1026,1804800,1026,1804800,1027,1804800,1028,1804800,1028,1804800,1029,1804800,1031,2208000,1031,2208000
1113,0,1115,3,1114,5457404,1118,67197,52078,1123,4,1123,0,1124,1516800,1124,1516800,1125,1516800,1125,1516800,1126,1516800,1127,1708800,1127,2208000,1128,2208000
1214,0,1217,3,1215,5457044,1221,67197,52078,1227,4,1227,0,1229,768000,1229,768000,1230,768000,1231,768000,1232,768000,1232,768000,1233,2208000,1234,2208000
1315,0,1318,3,1316,5455996,1322,67197,52078,1329,4,1329,0,1330,1324800,1331,1324800,1332,1324800,1332,1324800,1333,1324800,1333,1324800,1334,2208000,1335,2208000
1415,0,1417,3,1415,5446636,1419,67197,52078,1424,4,1424,0,1425,1248000,1425,1248000,1426,1248000,1426,1248000,1427,1248000,1427,1248000,1427,2208000,1428,2208000
