Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
22,0,25,3,23,5396980,28,0,0,37,0,38,0,39,1804800,39,1804800,40,1804800,40,1804800,41,1804800,41,1804800,42,2208000,43,2208000
76,0,78,3,77,5397616,85,0,0,91,0,91,0,92,1804800,95,1804800,96,1804800,96,1804800,97,1804800,97,1804800,98,2208000,98,2208000
177,0,178,3,177,5399380,181,0,0,185,0,185,0,186,1612800,187,1708800,188,1708800,188,1708800,189,1708800,189,1804800,189,2208000,190,2208000
278,0,279,3,278,5401680,283,0,0,286,0,286,0,287,1804800,287,1804800,287,1804800,287,1804800,288,1804800,288,1804800,288,787200,288,787200
380,0,384,3,381,5403192,388,0,0,396,0,397,0,398,768000,399,1248000,400,1248000,400,1248000,401,1248000,401,1248000,401,787200,402,787200
481,0,485,3,483,5404200,489,0,0,496,0,497,0,498,768000,499,1248000,499,1248000,500,1248000,500,1248000,501,1248000,501,787200,502,787200
581,0,584,3,583,5404704,588,0,0,593,0,594,0,596,768000,596,768000,597,768000,598,768000,599,1248000,600,1248000,601,787200,602,787200
683,0,686,3,684,5406468,690,0,0,696,10,697,0,697,1804800,698,1804800,698,1804800,698,1804800,699,1804800,699,1804800,699,979200,699,979200
784,0,786,3,785,5407980,789,167994,6675,792,10,792,0,792,1804800,793,1804800,793,1804800,793,1804800,794,1804800,794,1804800,794,787200,794,787200
887,0,889,3,888,5409744,891,167994,6675,894,10,894,0,895,1804800,895,1804800,896,1804800,896,1804800,896,1804800,896,1804800,897,787200,897,787200
988,0,991,3,989,5409376,994,167994,6675,999,10,999,0,1000,1612800,1000,1612800,1000,1612800,1001,1612800,1001,1612800,1001,1612800,1002,787200,1002,787200
1089,0,1093,3,1090,5400680,1106,167994,6675,1112,10,1112,0,1113,1248000,1113,1248000,1114,1248000,1114,1248000,1115,1248000,1115,1248000,1115,787200,1116,787200
1191,0,1195,3,1192,5401184,1200,167994,6675,1208,10,1209,0,1210,576000,1211,576000,1212,576000,1213,576000,1214,576000,1215,576000,1215,787200,1216,787200
1292,0,1295,3,1294,5401436,1302,167994,6675,1309,10,1310,0,1311,576000,1312,576000,1313,576000,1313,576000,1314,576000,1315,576000,1315,787200,1316,787200
1394,0,1398,3,1396,5401208,1403,167994,6675,1411,10,1412,0,1413,576000,1413,576000,1414,576000,1415,576000,1416,576000,1416,576000,1417,787200,1417,787200
1495,0,1499,3,1497,5401520,1504,167994,6675,1511,10,1524,0,1525,1248000,1526,1248000,1527,1248000,1527,1248000,1528,1248000,1528,1248000,1529,787200,1530,787200
1596,0,1602,3,1600,5401472,1610,167994,6675,1620,10,1620,0,1621,1248000,1621,1248000,1622,1248000,1622,1248000,1623,1248000,1623,1248000,1624,787200,1624,787200
1700,0,1703,3,1701,5401976,1708,167994,6675,1721,3,1722,0,1723,1248000,1723,1248000,1724,1248000,1724,1248000,1724,1248000,1725,1248000,1725,787200,1725,787200
1799,0,1804,3,1802,5402228,1808,50398,0,1817,3,1819,0,1819,1248000,1820,1248000,1821,1248000,1821,1248000,1821,1248000,1822,1248000,1822,787200,1823,787200
1900,0,1903,3,1901,5400656,1911,50398,0,1922,3,1923,0,1925,1248000,1925,1248000,1926,1248000,1926,1248000,1927,1248000,1928,1248000,1929,979200,1930,979200
2000,0,2003,3,2001,5395312,2006,50398,0,2013,3,2013,0,2014,768000,2015,768000,2015,768000,2017,768000,2018,768000,2019,1248000,2019,787200,2020,787200
2102,0,2105,3,2103,5395796,2112,50398,0,2121,3,2122,0,2122,1248000,2123,1248000,2123,1248000,2124,1248000,2124,1248000,2124,1248000,2125,787200,2125,787200
2203,0,2205,3,2204,5396552,2213,50398,0,2219,3,2219,0,2220,1017600,2220,1017600,2223,1017600,2225,1017600,2226,1017600,2227,1017600,2227,787200,2228,787200
2304,0,2307,3,2305,5397308,2313,50398,0,2321,3,2322,0,2323,1248000,2323,1248000,2324,1248000,2325,1248000,2326,1248000,2326,1248000,2327,787200,2327,787200
2405,0,2409,3,2407,5398064,2416,50398,0,2425,3,2427,0,2428,1248000,2429,1248000,2430,1248000,2430,1248000,2431,1248000,2431,1248000,2432,787200,2432,787200
2506,0,2509,3,2508,5398616,2517,50398,0,2524,3,2525,0,2527,576000,2529,576000,2529,576000,2530,576000,2533,576000,2534,576000,2535,787200,2536,787200
2606,0,2609,3,2607,5399372,2612,50398,0,2617,3,2617,0,2618,768000,2619,768000,2620,768000,2620,768000,2621,768000,2621,768000,2622,787200,2622,787200
2708,0,2711,3,2709,5399908,2716,50398,0,2723,3,2723,0,2724,576000,2725,576000,2725,576000,2726,576000,2727,576000,2727,576000,2728,787200,2729,787200
2809,0,2813,3,2810,5400184,2817,50398,0,2823,4,2824,0,2824,576000,2825,576000,2825,576000,2826,576000,2827,576000,2827,576000,2828,787200,2828,787200
2908,0,2910,3,2909,5410996,2912,67197,0,2915,4,2915,0,2916,1804800,2916,1804800,2916,1804800,2917,1804800,2917,1804800,2917,1804800,2917,787200,2918,787200
3009,0,3010,3,3009,5407492,3012,67197,0,3017,4,3018,0,3018,1804800,3018,1804800,3019,1804800,3019,1804800,3019,1804800,3019,1804800,3020,787200,3020,787200
3109,0,3111,3,3110,5407996,3114,67197,0,3120,4,3120,0,3121,1804800,3122,1804800,3122,1804800,3122,1804800,3123,1804800,3123,1804800,3123,787200,3123,787200
3210,0,3213,3,3212,5403312,3217,67197,0,3221,4,3222,0,3222,1516800,3223,1516800,3223,1516800,3224,1516800,3224,1516800,3224,1516800,3224,787200,3225,787200
3311,0,3313,3,3312,5403060,3318,67197,0,3323,4,3323,0,3324,1017600,3324,1017600,3324,1017600,3325,1017600,3325,1017600,3325,1017600,3326,787200,3326,787200
3419,0,3424,3,3421,5403312,3430,67197,0,3440,4,3441,0,3442,1248000,3442,1248000,3444,1248000,3444,1248000,3444,1248000,3445,1248000,3445,787200,3445,787200
3520,0,3523,3,3521,5403764,3528,67197,0,3535,4,3536,0,3536,576000,3537,576000,3538,576000,3538,576000,3539,1248000,3539,1248000,3539,787200,3540,787200
3622,0,3625,3,3623,5404772,3631,67197,0,3638,4,3638,0,3639,1248000,3639,1248000,3640,1248000,3640,1248000,3640,1248000,3641,1248000,3641,787200,3641,787200
3723,0,3725,3,3724,5405300,3729,67197,0,3734,4,3735,0,3735,768000,3736,768000,3736,768000,3737,768000,3737,768000,3737,768000,3738,787200,3739,787200
