Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
48,0,49,3,48,5352936,52,0,0,56,0,57,0,57,1804800,58,1804800,58,1804800,59,1804800,59,1804800,59,1804800,60,2208000,60,2208000
108,0,110,3,108,5355352,114,0,0,119,0,119,0,120,1804800,121,1804800,121,1804800,122,1804800,122,1804800,123,1804800,123,2208000,124,2208000
209,0,211,3,210,5355728,218,0,0,224,0,226,0,227,1804800,229,1804800,230,1804800,244,1804800,244,1804800,245,1804800,245,2208000,246,2208000
311,0,313,3,311,5361932,316,0,0,320,0,321,0,321,1804800,322,1804800,323,1804800,323,1804800,324,1804800,325,1804800,325,2208000,326,2208000
412,0,414,3,413,5366492,417,0,0,421,0,422,0,422,1804800,423,1804800,423,1804800,423,1804800,424,1804800,424,1804800,424,2208000,425,2208000
512,0,514,3,513,5371076,517,0,0,521,0,522,0,523,1516800,523,1516800,524,1516800,524,1516800,525,1516800,526,1516800,526,2208000,527,2208000
613,0,616,3,615,5378888,620,0,0,626,0,627,0,628,768000,628,768000,629,768000,630,768000,630,768000,631,768000,632,2208000,632,2208000
713,0,715,3,714,5383416,719,0,0,723,8,724,0,724,1804800,725,1804800,725,1804800,726,1516800,726,1516800,727,1516800,727,2208000,728,2208000
815,0,817,3,815,5386440,820,134395,90717,824,8,825,0,826,1804800,827,1804800,827,1804800,827,1804800,828,1804800,828,1804800,828,2208000,828,2208000
915,0,916,3,915,5390696,918,134395,90717,922,8,923,0,923,1804800,924,1804800,924,1804800,924,1804800,925,1804800,926,1804800,927,2208000,928,2208000
1016,0,1018,3,1017,5394728,1021,134395,90717,1026,8,1026,0,1027,1017600,1027,1017600,1027,1017600,1028,1017600,1028,1017600,1029,1017600,1029,2208000,1030,2208000
1116,0,1118,3,1117,5415808,1121,134395,90717,1126,8,1127,0,1127,1804800,1128,1804800,1128,1804800,1129,1804800,1129,1804800,1130,1804800,1130,2208000,1130,2208000
1217,0,1219,3,1218,5402288,1224,134395,90717,1229,8,1230,0,1230,1324800,1231,1324800,1232,1324800,1232,1324800,1233,1324800,1234,1324800,1234,2208000,1235,2208000
1318,0,1320,3,1319,5405736,1325,134395,90717,1329,8,1330,0,1331,1804800,1334,1804800,1335,1804800,1335,1804800,1336,1804800,1337,1804800,1337,2208000,1338,2208000
1423,0,1425,3,1424,5408652,1428,134395,90717,1435,8,1436,0,1436,1804800,1437,1804800,1438,1804800,1439,1804800,1440,1804800,1440,1804800,1441,2208000,1441,2208000
1524,0,1525,3,1524,5421232,1528,134395,90717,1533,8,1534,0,1537,1804800,1538,1804800,1538,1804800,1539,1804800,1539,1804800,1540,1804800,1540,2208000,1540,2208000
1623,0,1625,3,1623,5409632,1628,134395,90717,1632,8,1634,0,1634,1516800,1635,1516800,1635,1516800,1636,1516800,1636,1516800,1636,1516800,1637,2208000,1637,2208000
1724,0,1726,3,1725,5411908,1729,134395,90717,1732,8,1733,0,1734,1516800,1734,1516800,1735,1516800,1735,1516800,1736,1516800,1736,1516800,1737,2208000,1738,1036800
1824,0,1827,3,1825,5412356,1832,134395,90717,1838,13,1839,0,1839,1017600,1840,1017600,1840,1017600,1841,1017600,1841,1017600,1842,1017600,1842,1248000,1842,1248000
1926,0,1929,3,1927,5412608,1934,218392,174714,1942,13,1943,0,1944,1017600,1945,1017600,1945,1017600,1946,1017600,1947,1017600,1948,1017600,1948,787200,1949,787200
2027,0,2029,3,2027,5415852,2033,218392,174714,2039,13,2039,0,2040,1017600,2041,1017600,2041,1017600,2042,1017600,2043,1017600,2043,1017600,2044,2208000,2044,2208000
2127,0,2129,3,2128,5419104,2132,218392,174714,2136,13,2136,0,2137,1804800,2137,1804800,2137,1804800,2138,1804800,2138,1804800,2139,1804800,2139,2073600,2139,2073600
2229,0,2232,3,2230,5421528,2238,218392,174714,2246,13,2246,0,2247,1248000,2248,1248000,2249,1248000,2250,1248000,2250,1248000,2251,1248000,2251,787200,2251,787200
2330,0,2332,3,2331,5422032,2337,218392,174714,2345,13,2346,0,2346,768000,2347,768000,2348,768000,2349,768000,2349,768000,2350,768000,2350,1401600,2351,1401600
2431,0,2435,3,2433,5423144,2439,218392,174714,2448,13,2449,0,2450,1017600,2450,1017600,2451,1017600,2451,1017600,2452,1017600,2452,1017600,2453,787200,2453,787200
2533,0,2538,3,2535,5423900,2542,218392,174714,2550,13,2551,0,2552,1017600,2554,1017600,2554,1017600,2555,1017600,2556,1017600,2556,1017600,2557,787200,2557,787200
2635,0,2640,3,2636,5424372,2644,218392,174714,2651,13,2652,0,2654,1516800,2654,1516800,2655,1516800,2655,1516800,2655,1516800,2656,1516800,2656,1248000,2656,1248000
2733,0,2735,3,2734,5424908,2737,218392,174714,2743,13,2743,0,2743,1017600,2743,1017600,2744,1017600,2744,1017600,2744,1017600,2744,1017600,2744,1555200,2744,1555200
2835,0,2839,3,2837,5425160,2843,218392,174714,2850,16,2851,0,2852,768000,2853,768000,2854,768000,2855,768000,2856,768000,2857,768000,2857,787200,2858,787200
2937,0,2940,3,2938,5426484,2946,268790,225112,2953,16,2954,0,2955,768000,2955,768000,2956,768000,2957,768000,2957,768000,2958,1248000,2958,787200,2959,787200
3038,0,3041,3,3040,5426736,3047,268790,225112,3059,16,3059,0,3060,1248000,3060,1248000,3061,1248000,3061,1248000,3062,1248000,3062,1248000,3063,787200,3063,787200
3138,0,3139,3,3138,5437792,3141,268790,225112,3149,16,3151,0,3151,1804800,3152,1804800,3152,1804800,3153,1804800,3153,1804800,3155,1804800,3155,787200,3155,787200
3238,0,3240,3,3239,5449184,3243,268790,225112,3246,16,3247,0,3247,1804800,3247,1804800,3248,1804800,3248,1804800,3248,1804800,3249,1804800,3249,787200,3250,787200
3340,0,3341,3,3340,5446944,3343,268790,225112,3348,16,3349,0,3350,1708800,3350,1708800,3351,1708800,3352,1708800,3353,1708800,3353,1708800,3354,787200,3354,787200
3441,0,3442,3,3441,5450976,3444,268790,225112,3447,16,3447,0,3447,1804800,3448,1804800,3448,1804800,3449,1804800,3449,1804800,3449,1804800,3450,787200,3450,787200
3541,0,3543,3,3542,5449276,3546,268790,225112,3557,16,3558,0,3558,1248000,3559,1248000,3559,1248000,3559,1248000,3560,1248000,3560,1248000,3560,787200,3561,787200
3642,0,3643,3,3642,5448848,3644,268790,225112,3646,16,3647,0,3647,1804800,3648,1804800,3648,1804800,3648,1804800,3648,1804800,3649,1804800,3649,787200,3649,787200
3743,0,3747,3,3745,5448924,3752,268790,225112,3758,16,3759,0,3759,768000,3760,768000,3761,768000,3761,768000,3762,768000,3763,768000,3763,787200,3764,787200
3844,0,3848,3,3845,5449428,3851,268790,225112,3856,12,3856,0,3857,768000,3858,768000,3858,768000,3859,768000,3859,768000,3859,768000,3860,787200,3860,787200
3946,0,3950,3,3947,5446476,3955,201592,157914,3963,12,3964,0,3965,576000,3966,576000,3967,576000,3968,576000,3969,576000,3970,576000,3970,1248000,3971,1248000
4046,0,4049,3,4047,5441152,4052,201592,157914,4056,12,4057,0,4058,1516800,4058,1516800,4058,1516800,4059,1516800,4059,1516800,4060,1516800,4060,787200,4060,787200
4152,0,4154,3,4153,5441972,4159,201592,157914,4165,12,4166,0,4166,1248000,4168,1248000,4169,1248000,4169,1248000,4170,1248000,4170,1248000,4171,787200,4171,787200
4254,0,4257,3,4255,5442980,4263,201592,157914,4271,12,4271,0,4272,1804800,4273,1804800,4274,1804800,4274,1804800,4274,1804800,4274,1804800,4274,787200,4275,787200
4353,0,4355,3,4354,5444056,4357,201592,157914,4360,12,4361,0,4361,1804800,4361,1804800,4362,1804800,4362,1804800,4363,1804800,4363,1804800,4363,787200,4364,787200
4454,0,4456,3,4455,5447876,4459,201592,157914,4463,12,4464,0,4465,1017600,4466,1017600,4467,1017600,4467,1017600,4468,1017600,4469,1017600,4470,787200,4470,787200
4555,0,4557,3,4556,5448712,4566,201592,157914,4581,12,4582,0,4583,1248000,4583,1248000,4584,1248000,4584,1248000,4585,1248000,4586,1248000,4587,787200,4587,787200
