Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,0,27,3,26,5297000,29,0,0,32,0,32,0,33,1804800,33,1804800,33,1804800,34,1804800,34,1804800,34,1804800,35,2208000,35,2208000
110,0,111,3,110,5291848,113,0,0,116,0,116,0,116,1804800,116,1804800,117,1804800,117,1804800,117,1804800,117,1804800,118,2208000,118,2208000
211,0,213,3,212,5293140,215,0,0,219,0,219,0,220,1248000,220,1248000,220,1248000,221,1248000,221,1248000,221,1248000,222,787200,222,787200
311,0,313,3,312,5295724,315,0,0,319,9,319,0,320,1516800,320,1516800,321,1516800,321,1516800,322,1516800,322,1516800,323,2073600,323,2073600
411,0,413,3,412,5306524,415,151194,0,419,9,419,0,420,1248000,420,1248000,421,1248000,421,1248000,422,1248000,422,1248000,422,2208000,423,2208000
512,0,514,3,513,5313328,517,151194,0,521,9,522,0,522,768000,523,768000,523,768000,523,768000,524,768000,524,768000,525,2208000,525,2208000
613,0,615,3,614,5323316,619,151194,0,638,9,639,0,640,1804800,640,1804800,640,1804800,641,1804800,641,1804800,642,1804800,642,2208000,642,2208000
720,0,722,3,721,5334072,725,151194,0,738,9,738,0,739,1804800,739,1804800,740,1804800,740,1804800,741,1804800,741,1804800,742,2208000,743,2208000
817,0,820,3,818,5338900,831,151194,0,837,9,837,0,838,1804800,838,1804800,838,1804800,839,1804800,839,1804800,839,1804800,840,2208000,840,2208000
917,0,919,3,918,5349312,932,151194,0,941,9,941,0,942,1804800,943,1804800,943,1804800,944,1804800,945,1804800,946,1804800,946,2208000,947,2208000
1021,0,1023,3,1022,5367644,1028,151194,0,1035,9,1036,0,1037,1804800,1037,1804800,1038,1804800,1039,1804800,1039,1804800,1040,1804800,1040,2208000,1041,2208000
1123,0,1125,3,1124,5375036,1132,151194,0,1139,9,1140,0,1141,1804800,1141,1804800,1142,1804800,1142,1804800,1143,1804800,1143,1804800,1144,2208000,1144,2208000
1227,0,1230,3,1227,5379280,1234,151194,0,1240,9,1241,0,1242,1804800,1243,1804800,1243,1804800,1244,1804800,1246,1804800,1247,1804800,1248,2208000,1250,2208000
1326,0,1328,3,1327,5386124,1332,151194,0,1335,34,1336,0,1336,1708800,1337,1708800,1337,1708800,1338,1708800,1338,1708800,1339,1708800,1339,2208000,1339,2208000
1427,0,1430,3,1428,5388268,1433,571180,325473,1437,34,1438,0,1438,1612800,1439,1612800,1439,1708800,1440,1708800,1441,1708800,1441,1708800,1441,2208000,1442,2208000
1528,0,1533,3,1530,5391068,1536,571180,325473,1543,34,1544,0,1545,1804800,1546,1804800,1547,1804800,1548,1804800,1549,1804800,1549,1804800,1550,2208000,1550,2208000
1629,0,1632,3,1630,5401612,1636,571180,325473,1641,34,1642,0,1642,1804800,1643,1804800,1643,1804800,1644,1804800,1644,1804800,1645,1804800,1647,2208000,1647,2208000
1730,0,1733,3,1730,5401896,1737,571180,325473,1744,34,1745,0,1746,1708800,1747,1017600,1748,1708800,1749,1017600,1749,1017600,1750,1017600,1750,2208000,1751,2208000
1830,0,1834,3,1832,5407900,1838,571180,325473,1843,34,1844,0,1845,1516800,1845,1516800,1846,1516800,1846,1516800,1847,1516800,1847,1516800,1848,2208000,1849,2208000
1930,0,1933,3,1932,5414980,1938,571180,325473,1944,34,1945,0,1946,1516800,1947,1516800,1947,1248000,1948,1248000,1948,1248000,1949,1516800,1950,2208000,1951,2208000
2033,0,2036,3,2034,5417232,2040,571180,325473,2048,34,2049,0,2049,1248000,2050,1248000,2051,1248000,2051,1248000,2052,1248000,2052,1248000,2053,787200,2053,787200
2134,0,2137,3,2136,5418484,2140,571180,325473,2144,34,2144,0,2145,1248000,2145,1248000,2146,1248000,2146,1248000,2146,1248000,2147,1248000,2147,787200,2147,787200
2234,0,2236,3,2235,5419516,2239,571180,325473,2242,34,2242,0,2243,1612800,2243,1612800,2243,1612800,2244,1612800,2244,1612800,2244,1612800,2244,787200,2245,787200
2336,0,2339,3,2337,5419564,2343,571180,325473,2349,22,2350,0,2350,1017600,2351,1017600,2352,1017600,2352,1017600,2353,1017600,2353,1017600,2354,787200,2354,787200
2437,0,2439,3,2437,5420328,2443,369587,123880,2448,22,2449,0,2450,768000,2450,768000,2451,768000,2452,768000,2452,768000,2453,768000,2453,787200,2454,787200
2539,0,2542,3,2541,5421108,2546,369587,123880,2552,22,2553,0,2553,1248000,2554,1248000,2555,1248000,2555,1248000,2556,1248000,2556,1248000,2556,787200,2557,787200
2643,0,2647,3,2644,5421864,2652,369587,123880,2660,22,2660,0,2662,1248000,2663,1248000,2664,1248000,2666,1248000,2666,1248000,2667,1248000,2668,787200,2668,787200
