Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
37,0,39,3,38,5403716,41,0,0,44,0,44,0,45,1804800,45,1804800,46,1804800,46,1804800,47,1804800,48,1804800,48,2208000,48,2208000
116,0,119,3,117,5407304,122,0,0,126,0,127,0,127,1804800,128,1804800,128,1804800,129,1804800,129,1804800,130,1804800,130,2208000,130,2208000
217,0,219,3,217,5416628,224,0,0,229,0,230,0,231,1248000,231,1248000,232,1248000,233,1248000,233,1248000,234,1248000,234,2208000,235,2208000
317,0,319,3,318,5422664,321,0,0,328,0,328,0,329,1804800,330,1804800,330,1804800,331,1804800,333,1804800,334,1804800,334,1900800,335,1900800
419,0,421,3,420,5435284,426,0,0,432,0,432,0,433,1804800,433,1804800,433,1804800,434,1804800,434,1804800,434,1804800,434,2208000,435,2208000
519,0,521,3,520,5440336,524,0,0,528,0,529,0,529,1804800,530,1248000,531,1248000,531,1248000,532,1248000,532,1248000,533,2208000,534,2208000
621,0,623,3,622,5461420,627,0,0,633,0,635,0,635,1804800,636,1804800,637,1804800,638,1804800,642,1804800,643,1804800,643,2208000,644,2208000
723,0,728,3,724,5457276,733,0,0,740,6,741,0,742,1612800,743,1612800,743,1612800,744,1612800,744,1612800,745,1612800,747,2208000,747,2208000
824,0,827,3,825,5459260,833,100796,0,844,6,845,0,849,1804800,850,1804800,851,1804800,852,1804800,852,1804800,853,1804800,854,2208000,854,2208000
928,0,931,3,930,5458468,938,100796,0,949,6,949,0,951,1804800,952,1804800,953,1804800,954,1804800,954,1804800,955,1804800,956,2208000,956,2208000
1026,0,1028,3,1026,5441764,1034,100796,0,1041,6,1042,0,1043,1804800,1043,1804800,1044,1804800,1044,1804800,1044,1804800,1045,1804800,1045,2208000,1046,2208000
1125,0,1128,3,1126,5444940,1133,100796,0,1138,6,1140,0,1141,1804800,1141,1804800,1142,1804800,1143,1804800,1144,1804800,1145,1804800,1145,2208000,1146,2208000
1226,0,1227,3,1226,5430044,1228,100796,0,1232,6,1233,0,1233,1804800,1234,1804800,1234,1804800,1234,1804800,1235,1804800,1235,1804800,1235,979200,1235,979200
1327,0,1329,3,1328,5429696,1332,100796,0,1337,6,1338,0,1338,1324800,1339,1324800,1339,1324800,1340,1324800,1340,1324800,1340,1324800,1341,787200,1341,787200
1428,0,1432,3,1430,5429948,1437,100796,0,1443,6,1444,0,1445,1248000,1445,1248000,1446,1248000,1446,1248000,1446,1248000,1447,1248000,1447,787200,1448,787200
