Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
15,0,18,3,16,5307480,23,184793,109196,29,0,30,0,31,1804800,32,1804800,32,1804800,33,1804800,33,1804800,34,1804800,35,2208000,35,2208000
74,0,76,3,75,5311520,82,0,0,87,0,88,0,91,1804800,92,1804800,92,1804800,93,1804800,94,1804800,95,1804800,95,2208000,96,2208000
175,0,177,3,176,5318388,182,0,0,188,0,189,0,190,1708800,191,1708800,191,1708800,192,1708800,192,1708800,193,1708800,193,2208000,194,2208000
275,0,277,3,276,5326916,280,0,0,285,0,285,0,286,1804800,286,1804800,287,1804800,287,1804800,287,1804800,288,1804800,288,2208000,289,2208000
376,0,378,3,376,5328176,381,0,0,386,0,386,0,387,1804800,387,1804800,388,1804800,388,1804800,389,1804800,389,1804800,390,2208000,390,2208000
477,0,478,3,477,5344012,481,0,0,485,0,486,0,486,1804800,487,1804800,487,1804800,487,1804800,488,1804800,488,1804800,488,2208000,489,2208000
577,0,581,3,579,5348336,585,0,0,594,0,595,0,596,768000,597,768000,598,1248000,598,1248000,601,1248000,601,1248000,602,2208000,602,2208000
678,0,680,3,679,5348864,688,0,0,694,0,695,0,696,1324800,697,1324800,698,1708800,698,1708800,698,1708800,699,1708800,699,1036800,700,1036800
779,0,781,3,780,5349876,784,0,0,788,0,788,0,789,1804800,790,1804800,791,1804800,791,1804800,791,1804800,791,1804800,792,787200,792,787200
880,0,882,3,881,5351364,883,0,0,888,11,888,0,888,1804800,889,1804800,889,1804800,889,1804800,890,1804800,890,1804800,890,787200,890,787200
981,0,983,3,982,5351868,986,184793,109196,991,11,991,0,992,1017600,992,1017600,993,1017600,993,1017600,993,1017600,994,1017600,994,787200,994,787200
1082,0,1085,3,1083,5352908,1090,184793,109196,1098,11,1099,0,1100,1248000,1101,1248000,1101,1248000,1102,1248000,1103,1248000,1103,1248000,1104,787200,1105,787200
1182,0,1184,3,1183,5347512,1186,184793,109196,1189,11,1189,0,1190,1804800,1190,1804800,1191,1804800,1191,1804800,1191,1804800,1192,1804800,1192,787200,1192,787200
1283,0,1285,3,1284,5347152,1288,184793,109196,1294,11,1294,0,1295,1017600,1295,1017600,1296,1017600,1296,1017600,1297,1017600,1297,1017600,1298,787200,1298,787200
1384,0,1386,3,1385,5347664,1391,184793,109196,1398,11,1399,0,1399,1017600,1400,1017600,1400,1017600,1401,1017600,1401,1017600,1402,1017600,1402,787200,1403,787200
1485,0,1488,3,1486,5348200,1492,184793,109196,1498,11,1499,0,1500,1017600,1500,1017600,1501,1017600,1501,1017600,1502,1017600,1502,1017600,1503,787200,1503,787200
1585,0,1588,3,1586,5348940,1592,184793,109196,1598,11,1599,0,1599,1324800,1600,1324800,1600,1324800,1600,1324800,1601,1324800,1601,1324800,1601,787200,1602,787200
1687,0,1690,3,1688,5349192,1695,184793,109196,1702,11,1702,0,1703,1248000,1703,1248000,1704,1248000,1704,1248000,1705,1248000,1705,1248000,1705,787200,1706,787200
1788,0,1792,3,1790,5348936,1797,184793,109196,1806,11,1807,0,1807,768000,1808,768000,1809,768000,1810,768000,1811,768000,1811,768000,1812,787200,1813,787200
1890,0,1894,3,1891,5349440,1900,184793,109196,1909,4,1910,0,1911,768000,1911,768000,1912,768000,1913,768000,1913,768000,1914,768000,1915,787200,1915,787200
1989,0,1993,3,1991,5349480,1997,67197,0,2003,4,2004,0,2005,1017600,2005,1017600,2006,1017600,2007,1017600,2007,1017600,2007,1017600,2008,787200,2008,787200
2090,0,2094,3,2092,5350040,2099,67197,0,2106,4,2107,0,2108,768000,2109,768000,2110,768000,2110,768000,2111,768000,2112,768000,2112,787200,2113,787200
2191,0,2196,3,2194,5350820,2201,67197,0,2208,4,2209,0,2210,1017600,2211,1017600,2211,1017600,2212,1017600,2212,1017600,2213,1017600,2214,787200,2214,787200
2292,0,2295,3,2294,5351104,2305,67197,0,2312,4,2313,0,2313,768000,2314,768000,2315,768000,2315,768000,2316,768000,2316,768000,2317,787200,2318,787200
2393,0,2396,3,2394,5351844,2401,67197,0,2408,4,2408,0,2409,768000,2410,768000,2411,768000,2412,768000,2412,768000,2413,768000,2414,787200,2415,787200
2494,0,2498,3,2495,5353568,2502,67197,0,2508,4,2509,0,2510,768000,2511,768000,2512,768000,2512,768000,2513,768000,2514,768000,2514,787200,2515,787200
2595,0,2599,3,2596,5354096,2605,67197,0,2613,4,2614,0,2615,576000,2615,576000,2616,576000,2617,576000,2617,576000,2618,1248000,2618,787200,2618,787200
