Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
25,0,27,3,26,5293080,29,0,0,32,0,33,0,33,1804800,34,1804800,34,1804800,35,1804800,35,1804800,36,1804800,36,2208000,36,2208000
107,0,109,3,108,5296676,112,0,0,117,0,117,0,118,1804800,118,1804800,119,1804800,119,1804800,119,1804800,120,1804800,120,2208000,120,2208000
208,0,212,3,210,5302372,217,0,0,230,0,230,0,231,1804800,232,1804800,232,1804800,233,1804800,233,1804800,234,1804800,234,2208000,236,2208000
309,0,310,3,309,5309900,314,0,0,318,0,319,0,319,1804800,320,1804800,320,1804800,321,1804800,321,1804800,322,1804800,322,2208000,323,2208000
409,0,412,3,410,5321840,416,0,0,420,0,421,0,422,1804800,423,1804800,424,1804800,425,1804800,426,1804800,426,1804800,426,2208000,428,2208000
509,0,511,3,510,5331156,514,0,0,519,0,519,0,520,1708800,520,1708800,521,1708800,521,1708800,522,1708800,522,1708800,522,2208000,523,2208000
610,0,613,3,611,5333912,616,0,0,621,0,622,0,622,1804800,623,1804800,623,1804800,624,1804800,624,1804800,625,1804800,625,2208000,625,2208000
711,0,713,3,712,5341772,718,0,0,722,0,723,0,723,1804800,724,1804800,724,1804800,725,1804800,725,1804800,726,1804800,726,2208000,727,2208000
812,0,815,3,813,5345300,818,0,0,823,0,823,0,824,1804800,825,1804800,825,1804800,826,1804800,826,1804800,827,1804800,827,2208000,828,2208000
913,0,916,3,914,5351876,920,0,0,925,9,925,0,926,1804800,927,1804800,928,1804800,928,1804800,929,1804800,930,1804800,930,2208000,931,2208000
1013,0,1016,3,1014,5356020,1019,151194,94205,1023,9,1024,0,1024,1516800,1025,1516800,1025,1516800,1025,1516800,1026,1516800,1026,1516800,1026,1248000,1027,1248000
1115,0,1117,3,1116,5357028,1120,151194,94205,1126,9,1127,0,1127,1804800,1128,1804800,1128,1804800,1128,1804800,1129,1804800,1129,1804800,1130,787200,1131,787200
1215,0,1217,3,1216,5349128,1220,151194,94205,1223,9,1224,0,1224,1516800,1224,1516800,1225,1516800,1225,1516800,1225,1516800,1226,1516800,1226,787200,1226,787200
1317,0,1321,3,1319,5350024,1325,151194,94205,1331,9,1332,0,1333,768000,1334,768000,1335,768000,1336,768000,1336,768000,1337,768000,1337,787200,1338,787200
1418,0,1420,3,1419,5350024,1423,151194,94205,1428,9,1429,0,1430,1017600,1431,1017600,1432,1017600,1432,1017600,1433,1017600,1434,1017600,1434,787200,1435,787200
1519,0,1521,3,1520,5349920,1525,151194,94205,1531,9,1532,0,1533,1017600,1533,1017600,1534,1017600,1534,1017600,1535,1017600,1535,1017600,1536,787200,1536,787200
1620,0,1622,3,1621,5350196,1627,151194,94205,1634,9,1635,0,1636,768000,1637,768000,1637,768000,1638,768000,1639,768000,1639,768000,1640,787200,1640,787200
1721,0,1724,3,1722,5350700,1731,151194,94205,1738,9,1739,0,1740,1324800,1740,1324800,1740,1324800,1741,1324800,1741,1324800,1742,1324800,1742,787200,1742,787200
1823,0,1826,3,1824,5350976,1836,151194,94205,1844,9,1846,0,1846,1248000,1847,1248000,1849,1248000,1850,1248000,1850,1248000,1851,1248000,1852,787200,1852,787200
1925,0,1928,3,1926,5351984,1933,151194,94205,1940,7,1941,0,1941,1017600,1942,1017600,1942,1017600,1943,1017600,1943,1017600,1944,1017600,1944,787200,1945,787200
2026,0,2029,3,2027,5352512,2033,117595,60606,2038,7,2039,0,2040,1612800,2040,1612800,2041,1612800,2041,1612800,2041,1612800,2041,1612800,2042,787200,2042,787200
2127,0,2131,3,2129,5352716,2136,117595,60606,2142,7,2143,0,2144,1248000,2144,1248000,2145,1248000,2145,1248000,2145,1248000,2146,1248000,2146,787200,2147,787200
