Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
36,0,38,3,37,5309400,41,0,0,46,0,47,0,48,1804800,48,1804800,49,1804800,49,1804800,50,1804800,50,1804800,50,2208000,51,2208000
110,0,113,3,111,5305996,117,0,0,126,0,126,0,128,1804800,129,1804800,129,1804800,130,1804800,132,1804800,133,1804800,134,2208000,134,2208000
211,0,213,3,212,5314008,216,0,0,221,0,221,0,222,1804800,222,1804800,223,1804800,225,1804800,225,1804800,226,1804800,227,2208000,230,2208000
312,0,314,3,312,5318292,318,0,0,322,0,323,0,323,1708800,324,1708800,324,1708800,325,1708800,325,1708800,325,1708800,325,2208000,325,2208000
413,0,416,3,414,5331276,421,0,0,427,0,427,0,428,1248000,429,1248000,430,1804800,430,1804800,431,1804800,433,1248000,434,2208000,434,2208000
514,0,518,3,516,5335064,522,0,0,526,0,527,0,527,1612800,528,1612800,528,1612800,529,1612800,530,1612800,531,1612800,531,2131200,533,2131200
614,0,618,3,616,5335884,624,0,0,630,0,632,0,633,768000,635,768000,636,768000,637,768000,639,768000,640,1248000,640,2073600,641,2073600
714,0,717,3,715,5334400,720,0,0,734,0,735,0,737,1804800,738,1804800,739,1804800,740,1804800,740,1804800,740,1804800,741,1401600,741,1401600
816,0,819,3,817,5336668,823,0,0,827,31,827,0,828,1804800,828,1804800,829,1804800,830,1804800,831,1804800,831,1804800,833,2073600,834,2073600
916,0,918,3,916,5338680,922,900554,624352,926,31,927,0,927,1804800,927,1804800,928,1804800,928,1804800,928,1804800,929,1804800,929,1401600,930,1401600
1016,0,1018,3,1017,5337584,1022,520781,244579,1026,31,1026,0,1027,1804800,1027,1804800,1027,1804800,1028,1804800,1028,1804800,1028,1804800,1029,1248000,1029,1248000
1117,0,1120,3,1118,5337532,1123,520781,244579,1132,31,1132,0,1133,1017600,1134,1017600,1134,1017600,1135,1017600,1136,1017600,1136,1017600,1137,1766400,1138,1766400
1219,0,1222,3,1221,5338932,1225,520781,244579,1230,31,1231,0,1231,1017600,1232,1017600,1233,1017600,1234,1017600,1237,1017600,1238,1017600,1239,1766400,1239,1766400
1319,0,1322,3,1321,5338708,1326,520781,244579,1331,31,1333,0,1334,1017600,1335,1017600,1336,1017600,1337,1017600,1338,1017600,1339,1017600,1339,1766400,1340,1766400
1420,0,1423,3,1421,5329128,1427,520781,244579,1440,31,1440,0,1441,1612800,1441,1612800,1442,1612800,1442,1612800,1443,1612800,1443,1612800,1443,1555200,1444,1555200
1521,0,1524,3,1522,5329816,1533,520781,244579,1540,31,1540,0,1541,1612800,1542,1612800,1543,1612800,1543,1612800,1543,1612800,1544,1612800,1544,1401600,1544,1401600
1623,0,1626,3,1624,5329644,1632,520781,244579,1641,31,1642,0,1643,1248000,1643,1248000,1644,1248000,1645,1248000,1646,1248000,1646,1248000,1647,1036800,1648,1036800
1723,0,1726,3,1724,5329912,1735,520781,244579,1742,58,1743,0,1744,1248000,1744,1248000,1745,1248000,1746,1248000,1746,1248000,1747,1248000,1748,1248000,1749,1248000
1823,0,1826,3,1824,5330696,1832,974365,698163,1842,58,1843,0,1843,1248000,1845,1248000,1846,1248000,1846,1248000,1847,1248000,1848,1248000,1849,1401600,1849,1401600
1924,0,1926,3,1925,5331656,1932,974365,698163,1941,58,1941,0,1944,1248000,1945,1248000,1946,1248000,1946,1248000,1947,1248000,1948,1248000,1948,1766400,1949,1766400
2024,0,2026,3,2025,5324764,2029,974365,698163,2038,58,2038,0,2039,1248000,2040,1516800,2040,1516800,2040,1516800,2040,1516800,2041,1516800,2041,1766400,2041,1766400
2126,0,2128,3,2126,5323136,2133,974365,698163,2140,58,2141,0,2141,768000,2142,768000,2142,768000,2143,768000,2144,768000,2144,768000,2144,1401600,2145,1401600
2226,0,2229,3,2227,5324464,2234,974365,698163,2240,58,2241,0,2241,1017600,2242,1017600,2242,1017600,2242,1017600,2243,1017600,2243,1017600,2244,1766400,2244,1766400
2327,0,2330,3,2328,5324968,2334,974365,698163,2342,58,2343,0,2343,768000,2344,768000,2345,768000,2345,768000,2346,768000,2347,768000,2348,2208000,2348,2208000
2428,0,2431,3,2429,5325236,2435,974365,698163,2442,58,2443,0,2443,768000,2444,768000,2445,768000,2445,768000,2446,768000,2447,768000,2448,1900800,2449,1900800
2528,0,2531,3,2529,5325492,2537,2323844,2047642,2543,58,2544,0,2544,768000,2545,768000,2546,768000,2547,768000,2547,768000,2549,768000,2550,1900800,2551,1900800
2629,0,2632,3,2630,5326020,2638,2323844,2047642,2643,58,2644,0,2645,768000,2645,768000,2647,768000,2648,768000,2649,768000,2650,768000,2650,2208000,2651,2208000
2732,0,2735,3,2733,5327004,2740,2323844,2047642,2746,64,2747,0,2748,768000,2749,768000,2749,768000,2750,768000,2751,768000,2752,768000,2753,1401600,2754,1401600
2832,0,2836,3,2833,5327256,2840,1859209,1583007,2844,64,2845,0,2846,768000,2847,768000,2847,768000,2848,768000,2849,768000,2850,768000,2851,1766400,2852,1766400
2933,0,2937,3,2935,5327764,2939,1859209,1583007,2942,64,2942,0,2942,1248000,2943,1248000,2943,1248000,2944,1248000,2945,1017600,2946,1017600,2946,1766400,2947,1766400
3034,0,3039,3,3036,5328524,3043,1859209,1583007,3051,64,3052,0,3054,768000,3055,768000,3057,768000,3058,768000,3058,768000,3059,768000,3059,1555200,3060,1555200
3135,0,3138,3,3136,5329280,3142,1859209,1583007,3148,64,3148,0,3151,1017600,3153,1017600,3154,1017600,3155,1017600,3155,1017600,3156,1017600,3156,1555200,3156,1555200
3236,0,3240,3,3238,5330288,3242,1859209,1583007,3249,64,3250,0,3251,768000,3252,768000,3253,768000,3253,768000,3254,768000,3254,768000,3255,2208000,3256,2208000
3337,0,3339,3,3338,5330800,3342,1859209,1583007,3348,64,3349,0,3350,768000,3352,768000,3353,768000,3354,768000,3355,768000,3356,768000,3356,1900800,3357,1900800
3437,0,3439,3,3438,5331568,3442,1859209,1583007,3450,64,3451,0,3452,768000,3453,768000,3454,768000,3455,768000,3456,768000,3456,768000,3457,1248000,3457,1248000
3538,0,3540,3,3538,5332324,3546,1859209,1583007,3554,64,3556,0,3556,768000,3557,768000,3557,768000,3558,768000,3558,768000,3559,768000,3559,1555200,3559,1401600
3638,0,3641,3,3640,5333332,3643,1859209,1583007,3650,64,3653,0,3653,768000,3654,768000,3654,768000,3655,768000,3656,768000,3656,768000,3656,2208000,3657,2208000
3739,0,3742,3,3740,5334088,3746,1859209,1583007,3754,62,3755,0,3756,768000,3756,768000,3757,768000,3757,768000,3758,768000,3758,768000,3759,1401600,3759,1401600
3840,0,3842,3,3841,5336608,3846,1041563,765361,3854,62,3855,0,3856,1248000,3856,1248000,3857,1248000,3857,1248000,3857,1248000,3858,1248000,3858,1248000,3858,1248000
3941,0,3942,3,3941,5352988,3944,1041563,765361,3950,62,3951,0,3952,1804800,3952,1804800,3953,1804800,3953,1804800,3954,1804800,3954,1804800,3954,1401600,3955,1401600
4042,0,4043,3,4042,5355784,4044,1041563,765361,4047,62,4047,0,4049,1804800,4054,1804800,4054,1804800,4054,1804800,4054,1804800,4055,1804800,4055,1401600,4055,1401600
4142,0,4143,3,4142,5360092,4145,1041563,765361,4148,62,4149,0,4149,1804800,4149,1804800,4149,1804800,4150,1804800,4150,1804800,4150,1804800,4150,1248000,4151,1248000
4242,0,4243,3,4242,5362912,4245,1041563,765361,4247,62,4248,0,4248,1708800,4248,1708800,4248,1708800,4249,1708800,4249,1708800,4249,1708800,4249,2208000,4249,2208000
4344,0,4344,3,4344,5362728,4345,1041563,765361,4347,62,4351,0,4352,1804800,4352,1804800,4352,1804800,4352,1804800,4352,1804800,4353,1804800,4353,1766400,4353,1766400
4444,0,4445,3,4445,5368700,4447,1041563,765361,4449,62,4449,0,4450,1804800,4451,1804800,4451,1804800,4453,1804800,4453,1804800,4453,1804800,4454,1555200,4454,1555200
4547,0,4548,3,4547,5369112,4550,2484109,2207907,4552,62,4552,0,4552,1804800,4553,1804800,4553,1804800,4553,1804800,4553,1804800,4554,1804800,4554,1766400,4555,1766400
4647,0,4648,3,4647,5369872,4650,2484109,2207907,,,,,,,,,,,,,,,,,,,,
