Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
38,0,40,3,38,5255432,43,0,0,48,4,49,0,50,1804800,50,1804800,51,1804800,52,1804800,52,1804800,53,1804800,54,2208000,55,2208000
114,0,116,3,115,5259440,119,67197,38639,125,4,125,0,126,1804800,126,1804800,127,1804800,127,1804800,128,1804800,129,1804800,130,2208000,131,2208000
215,0,218,3,216,5265844,223,67197,38639,233,4,235,0,236,768000,237,768000,238,768000,239,768000,240,768000,241,1248000,242,2208000,243,2208000
317,0,321,3,318,5267956,326,67197,38639,333,4,334,0,335,1804800,335,1804800,337,1804800,338,1804800,338,1804800,339,1804800,339,2208000,340,2208000
417,0,420,3,418,5275184,424,67197,38639,430,4,431,0,432,1804800,432,1804800,433,1804800,433,1804800,434,1804800,434,1804800,435,2208000,436,2208000
518,0,520,3,518,5276540,525,67197,38639,532,4,533,0,534,768000,535,768000,535,768000,536,768000,537,768000,538,768000,539,787200,539,787200
618,0,621,3,619,5281124,626,67197,38639,634,4,635,0,636,768000,637,768000,638,768000,639,768000,640,768000,641,1248000,642,2208000,643,2208000
720,0,722,3,721,5290496,733,67197,38639,738,4,738,0,739,1804800,740,1804800,741,1804800,742,1804800,742,1804800,743,1804800,743,2208000,744,2208000
820,0,822,3,821,5302156,825,67197,38639,830,4,831,0,831,1804800,832,1804800,832,1804800,833,1804800,833,1804800,833,1804800,834,2208000,834,2208000
922,0,924,3,923,5302024,927,67197,38639,931,4,932,0,933,1804800,933,1804800,933,1804800,934,1804800,934,1804800,934,1804800,934,2208000,935,2208000
1024,0,1027,3,1025,5303536,1030,67197,38639,1035,16,1035,0,1036,1017600,1036,1017600,1037,1017600,1037,1017600,1038,1017600,1039,1017600,1039,787200,1039,787200
1124,0,1127,3,1125,5304576,1130,268790,240232,1135,16,1136,0,1137,1248000,1137,1248000,1138,1248000,1138,1248000,1139,1248000,1139,1248000,1140,787200,1140,787200
