Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
23,0,24,3,24,5384896,26,0,0,28,0,28,0,28,1804800,29,1804800,29,1804800,29,1804800,29,1804800,30,1804800,30,2208000,30,2208000
109,0,110,3,109,5386692,111,0,0,116,0,117,0,118,1804800,118,1804800,119,1804800,119,1804800,119,1804800,120,1804800,120,2208000,120,2208000
209,0,211,3,210,5376200,214,0,0,218,0,220,0,223,1804800,224,1804800,225,1804800,225,1804800,226,1804800,226,1804800,227,1766400,227,1766400
310,0,312,3,311,5382248,314,0,0,319,0,320,0,320,1804800,321,1804800,321,1804800,322,1804800,322,1804800,322,1804800,323,787200,323,787200
412,0,413,3,413,5395172,418,0,0,424,0,424,0,425,1516800,425,1516800,426,1516800,426,1516800,427,1516800,427,1516800,428,2208000,428,2208000
513,0,516,3,514,5403716,520,0,0,528,10,528,0,529,1804800,529,1804800,530,1804800,530,1804800,530,1804800,531,1804800,531,2073600,532,2073600
614,0,616,3,615,5388660,620,167994,124316,624,10,625,0,626,1804800,626,1804800,627,1804800,627,1804800,628,1804800,628,1804800,629,2208000,629,2208000
714,0,716,3,715,5395496,719,167994,124316,727,10,728,0,728,1804800,729,1804800,729,1804800,729,1804800,730,1804800,730,1804800,731,2208000,732,2208000
815,0,817,3,816,5403168,820,167994,124316,824,10,825,0,826,1804800,827,1804800,828,1804800,828,1804800,829,1804800,829,1804800,829,2208000,830,2208000
915,0,918,3,916,5413156,921,167994,124316,926,10,927,0,928,1804800,928,1804800,929,1804800,929,1804800,929,1804800,930,1804800,930,2208000,931,2208000
1016,0,1018,3,1017,5419280,1020,167994,124316,1024,10,1025,0,1025,1804800,1026,1804800,1027,1804800,1027,1804800,1028,1804800,1028,1804800,1029,2208000,1029,2208000
