Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
77,0,79,3,78,5277152,83,0,0,3,0,4,0,4,1804800,5,1804800,5,1804800,6,1804800,6,1804800,7,1804800,7,2208000,8,2208000
177,0,181,3,179,5292280,186,0,0,88,0,88,0,89,1804800,89,1804800,90,1804800,91,1804800,91,1804800,92,1804800,92,2208000,92,2208000
279,0,281,3,279,5303148,284,0,0,193,0,194,0,195,1804800,196,1804800,196,1804800,197,1804800,197,1804800,198,1804800,199,2208000,200,2208000
379,0,382,3,380,5305164,385,0,0,289,0,289,0,290,1804800,290,1804800,291,1804800,291,1804800,291,1804800,292,1804800,292,2208000,293,2208000
482,0,485,3,483,5300628,489,0,0,391,0,392,0,392,1248000,393,1248000,394,1248000,395,1248000,395,1516800,396,1516800,396,1248000,397,1248000
583,0,585,3,584,5300628,588,117595,94076,494,7,495,0,495,1248000,496,1248000,496,1248000,496,1248000,497,1248000,497,1248000,497,787200,498,787200
683,0,685,3,684,5301132,689,117595,94076,593,7,594,0,595,1248000,595,1248000,595,1248000,596,1248000,596,1248000,596,1248000,597,787200,597,787200
784,0,786,3,785,5301384,791,117595,94076,693,7,694,0,695,1708800,695,1708800,695,1708800,696,1708800,696,1708800,696,1708800,696,787200,696,787200
884,0,886,3,885,5301888,888,117595,94076,801,7,801,0,802,1804800,802,1804800,803,1804800,803,1804800,803,1804800,803,1804800,804,787200,804,787200
985,0,986,3,985,5303400,989,117595,94076,894,7,895,0,895,1804800,896,1804800,896,1804800,897,1804800,897,1804800,897,1804800,897,787200,897,787200
1086,0,1089,3,1087,5301352,1093,117595,94076,993,7,994,0,994,1804800,994,1804800,995,1804800,995,1804800,995,1804800,995,1804800,995,787200,996,787200
1186,0,1189,3,1187,5292184,1193,117595,94076,1098,7,1099,0,1099,1017600,1100,1017600,1100,1017600,1101,1017600,1101,1017600,1102,1017600,1102,787200,1103,787200
1288,0,1291,3,1289,5292820,1296,117595,94076,1197,7,1198,0,1198,1804800,1198,1804800,1199,1804800,1199,1804800,1199,1804800,1199,1804800,1199,787200,1200,787200
1389,0,1392,3,1390,5293324,1398,117595,94076,1302,7,1303,0,1303,768000,1304,768000,1305,768000,1306,768000,1306,768000,1307,768000,1308,787200,1309,787200
1489,0,1494,3,1490,5293860,1498,117595,94076,1407,7,1408,0,1408,768000,1409,768000,1410,768000,1410,768000,1411,768000,1411,768000,1413,787200,1414,787200
1591,0,1594,3,1592,5294384,1598,67197,43678,1503,4,1504,0,1505,1017600,1505,1017600,1507,1017600,1508,1017600,1508,1017600,1509,1017600,1509,787200,1510,787200
1693,0,1697,3,1695,5294636,1704,67197,43678,1608,4,1609,0,1610,576000,1610,576000,1611,576000,1612,576000,1612,576000,1613,576000,1614,787200,1614,787200
1795,0,1798,3,1796,5295140,1806,67197,43678,1711,4,1712,0,1713,768000,1714,768000,1715,768000,1715,1248000,1716,1248000,1716,1248000,1717,787200,1717,787200
1895,0,1899,3,1896,5295896,1903,67197,43678,1814,4,1815,0,1816,1248000,1817,1248000,1818,1248000,1818,1248000,1819,1248000,1819,1248000,1820,787200,1820,787200
1995,0,1997,3,1996,5296636,2001,67197,43678,1911,4,1912,0,1913,768000,1913,768000,1914,768000,1915,1248000,1916,1248000,1916,1248000,1917,787200,1917,787200
2096,0,2100,3,2098,5296928,2112,67197,43678,2007,4,2008,0,2009,1017600,2009,1017600,2010,1017600,2010,1017600,2011,1017600,2011,1017600,2011,787200,2012,787200
2197,0,2201,3,2198,5297684,2208,67197,43678,2117,4,2118,0,2118,1248000,2119,1248000,2119,1248000,2120,1248000,2120,1248000,2121,1248000,2121,787200,2121,787200
2299,0,2304,3,2300,5297028,2311,67197,43678,2216,4,2217,0,2217,1248000,2218,1248000,2219,1248000,2220,1248000,2220,1248000,2221,1248000,2221,787200,2221,787200
2399,0,2403,3,2401,5297808,2408,67197,43678,2320,4,2321,0,2321,1248000,2322,1248000,2323,1248000,2324,1248000,2325,1248000,2326,1248000,2326,787200,2326,787200
2500,0,2505,3,2501,5298800,2509,67197,43678,2415,4,2416,0,2417,1017600,2418,1017600,2419,1017600,2419,1017600,2420,1017600,2420,1017600,2420,787200,2421,787200
