Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
29,0,31,3,30,5307472,32,0,0,34,0,35,0,35,1804800,36,1804800,36,1804800,36,1804800,37,1804800,37,1804800,37,2208000,37,2208000
107,0,109,3,108,5343076,112,0,0,126,0,128,0,128,1804800,129,1804800,130,1804800,131,1804800,131,1804800,132,1804800,132,2208000,133,2208000
209,0,211,3,210,5359820,235,0,0,240,0,241,0,242,1804800,242,1804800,243,1804800,243,1804800,244,1804800,244,1804800,245,2208000,245,2208000
312,0,314,3,313,5349856,317,0,0,323,0,323,0,324,1804800,324,1804800,325,1804800,325,1804800,326,1804800,327,1804800,327,2208000,328,2208000
412,0,414,3,413,5356236,417,0,0,421,0,421,0,422,1248000,423,1248000,423,1248000,424,1248000,424,1248000,424,1248000,425,2208000,425,2208000
513,0,516,3,514,5356992,519,0,0,523,0,524,0,525,1017600,525,1017600,526,1017600,526,1017600,527,1017600,527,1017600,528,787200,528,787200
615,0,618,3,616,5357496,627,0,0,637,7,639,0,641,1324800,642,1324800,643,1324800,643,1324800,643,1324800,644,1324800,644,787200,651,787200
715,0,717,3,716,5359040,720,117595,0,725,7,725,0,726,1804800,727,1804800,727,1804800,728,1804800,728,1804800,728,1804800,729,787200,729,787200
815,0,817,3,816,5360552,819,117595,0,823,7,824,0,824,1612800,825,1612800,825,1612800,826,1612800,826,1612800,826,1612800,827,1248000,827,1248000
916,0,918,3,917,5362348,921,117595,0,925,7,926,0,927,1804800,927,1804800,927,1804800,928,1804800,928,1804800,928,1804800,928,787200,928,787200
1016,0,1018,3,1017,5364348,1019,117595,0,1022,7,1022,0,1022,1804800,1023,1804800,1023,1804800,1023,1804800,1023,1804800,1023,1804800,1024,787200,1024,787200
