Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
79,0,81,3,80,5316984,83,0,0,87,0,88,0,88,1804800,89,1804800,89,1804800,89,1804800,89,1804800,90,1804800,0,2208000,0,2208000
182,0,184,3,182,5317740,187,0,0,193,0,193,0,194,1017600,195,1017600,195,1017600,196,1017600,196,1248000,197,1248000,90,2208000,90,2208000
282,0,285,3,283,5321236,291,0,0,295,9,296,0,297,1516800,298,1516800,298,1516800,299,1516800,299,1516800,300,1516800,197,787200,197,787200
383,0,385,3,384,5326560,388,151194,120956,393,9,393,0,394,1804800,406,1804800,407,1804800,407,1804800,408,1804800,408,1804800,300,1555200,301,1555200
484,0,486,3,484,5331772,488,151194,120956,491,9,492,0,492,1804800,492,1804800,493,1804800,493,1804800,493,1804800,494,1804800,409,2208000,409,2208000
584,0,586,3,585,5345948,590,151194,120956,595,9,595,0,596,1516800,596,1708800,597,1708800,597,1708800,598,1708800,599,1708800,494,2208000,494,2208000
687,0,689,3,687,5352028,692,151194,120956,705,9,705,0,706,1804800,706,1804800,707,1804800,707,1804800,708,1804800,708,1804800,599,2208000,600,2208000
787,0,791,3,789,5374820,808,151194,120956,823,9,823,0,824,1804800,825,1804800,826,1804800,827,1804800,828,1804800,828,1804800,709,2208000,709,2208000
895,0,897,3,896,5388280,919,151194,120956,923,9,924,0,925,1804800,925,1804800,926,1804800,926,1804800,927,1804800,927,1804800,829,2208000,829,2208000
995,0,997,3,996,5394960,1001,151194,120956,1006,9,1006,0,1007,1804800,1008,1804800,1008,1804800,1009,1804800,1009,1804800,1010,1804800,928,2208000,936,2208000
1095,0,1097,3,1096,5413368,1103,151194,120956,1109,9,1110,0,1110,1804800,1112,1804800,1112,1804800,1113,1804800,1114,1804800,1115,1804800,1010,2208000,1011,2208000
1196,0,1198,3,1197,5429988,1200,151194,120956,1204,9,1204,0,1205,1804800,1205,1804800,1206,1804800,1206,1804800,1207,1804800,1207,1804800,1115,2208000,1116,2208000
1298,0,1302,3,1300,5416780,1307,151194,120956,1314,11,1315,0,1317,1248000,1318,1248000,1319,1248000,1320,1248000,1320,1248000,1321,1248000,1208,2208000,1208,2208000
1399,0,1403,3,1400,5419592,1408,184793,154555,1414,11,1415,0,1416,1324800,1417,1708800,1418,1708800,1418,1708800,1418,1708800,1419,1708800,1322,2208000,1322,2208000
1499,0,1502,3,1500,5422804,1507,184793,154555,1520,11,1520,0,1521,1248000,1522,1248000,1522,1248000,1523,1248000,1523,1248000,1524,1248000,1419,1248000,1420,1248000
1599,0,1601,3,1600,5424820,1606,184793,154555,1612,11,1612,0,1613,768000,1614,768000,1614,768000,1615,768000,1615,768000,1616,768000,1525,2073600,1525,2073600
1700,0,1703,3,1701,5425032,1707,184793,154555,1714,11,1715,0,1716,768000,1717,1248000,1717,1516800,1718,1248000,1718,1248000,1719,1248000,1616,2208000,1617,1766400
1802,0,1805,3,1804,5419324,1809,184793,154555,1815,11,1816,0,1817,1248000,1818,1248000,1818,1248000,1819,1248000,1819,1248000,1820,1248000,1720,2208000,1720,2208000
1904,0,1907,3,1905,5419576,1913,184793,154555,1921,11,1922,0,1923,768000,1923,768000,1926,768000,1926,768000,1927,768000,1928,768000,1820,787200,1820,787200
2006,0,2010,3,2007,5420080,2017,184793,154555,2027,11,2028,0,2029,1017600,2030,1017600,2030,1017600,2031,1017600,2031,1017600,2031,1017600,1928,787200,1929,787200
2106,0,2110,3,2107,5420576,2116,184793,154555,2124,11,2125,0,2126,576000,2127,576000,2127,576000,2128,576000,2129,576000,2129,576000,2032,787200,2033,787200
2207,0,2209,3,2208,5420848,2214,184793,154555,2220,11,2221,0,2221,768000,2222,768000,2223,768000,2223,768000,2224,768000,2225,768000,2130,787200,2130,787200
2308,0,2310,3,2309,5421604,2317,184793,154555,2326,4,2327,0,2328,768000,2330,768000,2330,768000,2331,768000,2332,768000,2333,768000,2225,787200,2226,787200
2409,0,2412,3,2410,5422156,2416,67197,36959,2423,4,2423,0,2424,768000,2425,768000,2426,768000,2426,768000,2427,768000,2428,768000,2334,787200,2334,787200
2509,0,2511,3,2510,5424032,2516,67197,36959,2522,4,2522,0,2523,768000,2524,768000,2524,768000,2525,768000,2526,768000,2527,768000,2429,787200,2429,787200
2610,0,2613,3,2611,5426804,2619,67197,36959,2627,4,2628,0,2629,768000,2629,768000,2630,768000,2631,768000,2632,768000,2633,768000,2527,2208000,2528,2208000
2711,0,2715,3,2713,5427080,2724,67197,36959,2732,4,2735,0,2736,768000,2737,1248000,2737,1248000,2739,1248000,2739,1248000,2740,1248000,2635,787200,2636,787200
2811,0,2814,3,2812,5431900,2819,67197,36959,2823,4,2824,0,2827,1516800,2828,1516800,2828,1516800,2829,1516800,2829,1516800,2830,1516800,2741,787200,2741,787200
2912,0,2914,3,2913,5444548,2918,67197,36959,2922,4,2923,0,2923,1612800,2923,1612800,2924,1612800,2924,1612800,2925,1612800,2925,1612800,2831,787200,2831,787200
3013,0,3015,3,3014,5448444,3019,67197,36959,3025,4,3025,0,3026,1612800,3026,1612800,3026,1612800,3027,1612800,3027,1612800,3027,1612800,2926,787200,2926,787200
3113,0,3114,3,3114,5452776,3116,67197,36959,3120,4,3120,0,3120,1804800,3121,1804800,3121,1804800,3121,1804800,3121,1804800,3122,1804800,3028,787200,3028,787200
3214,0,3215,3,3215,5455048,3219,67197,36959,3221,4,3222,0,3222,1804800,3222,1804800,3223,1804800,3223,1804800,3223,1804800,3224,1804800,3122,787200,3122,787200
3315,0,3319,3,3316,5455600,3324,67197,36959,3334,4,3335,0,3336,768000,3337,1248000,3338,1248000,3338,1248000,3339,1248000,3339,1248000,3224,787200,3224,787200
3415,0,3416,3,3416,5456104,3418,67197,36959,3421,0,3422,0,3422,1804800,3422,1804800,3423,1804800,3423,1804800,3423,1804800,3423,1804800,3339,787200,3340,787200
3517,0,3521,3,3519,5455828,3528,0,0,3534,4,3535,0,3536,576000,3537,1248000,3537,1248000,3538,1248000,3538,1248000,3539,1248000,3423,787200,3424,787200
3619,0,3623,3,3621,5456048,3626,67197,36959,3633,4,3634,0,3635,576000,3636,576000,3637,1248000,3637,1248000,3638,1248000,3638,1248000,3539,787200,3539,787200
3719,0,3721,3,3720,5456552,3729,67197,36959,3734,4,3735,0,3735,768000,3737,768000,3738,1248000,3738,1248000,3739,1248000,3739,1248000,3638,787200,3638,787200
3820,0,3823,3,3821,5457332,3827,67197,36959,3832,4,3833,0,3834,576000,3835,576000,3835,576000,3836,576000,3837,1248000,3837,1248000,3740,787200,3741,787200
3921,0,3923,3,3922,5457868,3926,67197,36959,3931,4,3932,0,3933,576000,3933,576000,3934,576000,3935,576000,3935,576000,3936,576000,3837,787200,3838,787200
4022,0,4024,3,4023,5458592,4026,67197,36959,4031,4,4031,0,4032,768000,4032,768000,4033,768000,4034,768000,4034,768000,4035,768000,3936,787200,3937,787200
4122,0,4125,3,4123,5459096,4127,67197,36959,4132,4,4132,0,4133,768000,4133,768000,4134,768000,4134,768000,4135,768000,4135,768000,4035,787200,4036,787200
4223,0,4225,3,4224,5458852,4226,67197,36959,4228,4,4228,0,4229,1804800,4230,1804800,4230,1804800,4230,1804800,4230,1804800,4231,1804800,4136,787200,4136,787200
4326,0,4330,3,4327,5459776,4335,67197,36959,4344,4,4345,0,4347,576000,4348,576000,4350,576000,4352,576000,4355,576000,4357,1248000,4231,787200,4231,787200
4426,0,4428,3,4427,5459216,4430,67197,36959,4433,4,4433,0,4434,1804800,4435,1804800,4435,1804800,4436,1804800,4436,1804800,4436,1804800,4358,787200,4358,787200
4527,0,4531,3,4528,5458924,4537,67197,36959,4544,3,4545,0,4546,1017600,4546,1017600,4546,1017600,4547,1017600,4547,1017600,4547,1017600,4437,787200,4437,787200
,,,,,,,,,,,,,,,,,,,,,,,,,4548,787200,4548,787200
