Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
64,5308652,70,0,0,63,1804800,65,1804800,66,1804800,67,1804800,68,1804800,70,1804800,71,2208000,72,2208000
165,5298360,168,0,0,163,1804800,165,1804800,166,1804800,167,1804800,168,1804800,169,1804800,170,787200,171,787200
266,5300232,271,0,0,264,1804800,266,1804800,268,1804800,269,1804800,270,1804800,271,1804800,272,787200,273,787200
366,5302020,372,0,0,364,1804800,367,1804800,368,1804800,369,1804800,370,1804800,372,1804800,374,787200,375,787200
468,5304140,473,0,0,466,1804800,468,1804800,470,1804800,471,1804800,472,1804800,473,1804800,475,787200,476,787200
568,5307668,572,0,0,566,1804800,568,1804800,569,1804800,570,1804800,571,1804800,572,1804800,573,787200,574,787200
668,5310020,673,0,0,666,1804800,669,1804800,670,1804800,671,1804800,672,1804800,673,1804800,674,787200,675,787200
771,5312840,777,0,0,768,1516800,772,1516800,773,1516800,775,1516800,776,1516800,777,1516800,778,787200,779,787200
871,5314376,881,0,0,868,768000,872,768000,875,768000,877,768000,879,768000,882,768000,884,787200,886,787200
973,5314856,980,0,0,969,1017600,973,1017600,975,1017600,977,1017600,979,768000,981,768000,983,787200,985,787200
1073,5316368,1080,0,0,1070,1516800,1074,1516800,1076,1516800,1078,1248000,1080,1248000,1081,1248000,1083,787200,1085,787200
1173,5317652,1180,0,0,1170,1324800,1174,1324800,1175,1324800,1177,1324800,1179,1248000,1181,1248000,1182,787200,1183,787200
1274,5319700,1278,0,0,1271,1612800,1274,1612800,1275,1612800,1276,1612800,1277,1612800,1278,1612800,1279,787200,1280,787200
1373,5324292,1377,0,0,1372,1804800,1373,1804800,1374,1804800,1375,1804800,1376,1804800,1377,1804800,1379,787200,1380,787200
1478,5314368,1487,0,0,1474,576000,1479,576000,1481,576000,1483,576000,1486,576000,1488,576000,1490,787200,1492,787200
