Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
77,5340592,82,0,0,74,1804800,77,1804800,79,1804800,80,1804800,81,1804800,82,1804800,82,2208000,83,2208000
178,5341600,184,0,0,175,1017600,178,1017600,180,1017600,182,1017600,183,1017600,185,1017600,186,787200,189,787200
278,5343428,284,0,0,276,1804800,278,1804800,281,1804800,282,1804800,283,1804800,285,1804800,286,787200,287,787200
378,5344216,381,0,0,376,1804800,378,1804800,379,1804800,380,1804800,380,1804800,381,1804800,382,787200,382,787200
479,5346232,484,0,0,477,1804800,480,1804800,481,1804800,482,1804800,483,1804800,484,1804800,485,787200,486,787200
581,5317984,584,0,0,578,1804800,581,1804800,582,1804800,583,1804800,584,1804800,584,1804800,585,787200,586,787200
685,5318488,697,0,0,681,576000,687,576000,689,576000,692,576000,695,576000,697,576000,701,787200,703,787200
788,5318260,800,0,0,782,576000,789,576000,792,576000,795,576000,797,576000,801,576000,804,787200,806,787200
887,5318488,899,0,0,883,576000,889,576000,891,576000,894,576000,897,576000,900,576000,903,787200,905,787200
991,5318788,1007,0,0,984,576000,992,576000,997,576000,1001,576000,1005,1248000,1007,1248000,1009,787200,1011,787200
1088,5319016,1097,0,0,1084,576000,1089,576000,1091,576000,1093,576000,1095,576000,1098,576000,1101,787200,1103,787200
1186,5314764,1190,0,0,1184,1804800,1187,1804800,1188,1804800,1189,1804800,1189,1804800,1190,1804800,1194,787200,1197,787200
1290,5304456,1297,0,0,1286,576000,1290,576000,1292,576000,1294,576000,1296,576000,1298,576000,1300,787200,1302,787200
1391,5304456,1399,0,0,1387,576000,1392,576000,1394,576000,1396,576000,1398,576000,1400,576000,1402,787200,1404,787200
1493,5304228,1501,0,0,1489,576000,1494,576000,1496,576000,1498,576000,1500,576000,1502,576000,1505,787200,1506,787200
1593,5304284,1602,0,0,1590,576000,1594,576000,1597,576000,1599,576000,1601,576000,1603,576000,1605,787200,1607,787200
1696,5304788,1707,0,0,1691,576000,1697,576000,1701,576000,1703,576000,1706,576000,1708,576000,1710,787200,1712,787200
1796,5304560,1806,0,0,1792,576000,1797,576000,1799,576000,1802,576000,1804,576000,1807,576000,1809,787200,1810,787200
1899,5304376,1908,0,0,1894,576000,1899,576000,1902,576000,1904,576000,1906,576000,1909,576000,1911,787200,1914,787200
1999,5304376,2010,0,0,1995,576000,2000,576000,2004,576000,2006,576000,2008,576000,2011,576000,2013,787200,2015,787200
2100,5304424,2113,0,0,2096,576000,2101,576000,2107,576000,2110,576000,2112,576000,2114,576000,2116,787200,2119,787200
2201,5304424,2213,0,0,2197,576000,2202,576000,2204,576000,2209,576000,2211,576000,2213,576000,2215,787200,2217,787200
2304,5304700,2315,0,0,2298,576000,2305,576000,2309,576000,2311,576000,2313,576000,2316,576000,2320,787200,2323,787200
2403,5305180,2413,0,0,2399,576000,2404,576000,2407,576000,2410,576000,2412,576000,2414,576000,2416,787200,2422,787200
2505,5304952,2517,0,0,2501,576000,2506,576000,2509,576000,2511,576000,2513,576000,2518,576000,2521,787200,2527,787200
2606,5305228,2617,0,0,2602,576000,2607,576000,2610,576000,2613,576000,2615,576000,2618,576000,2621,787200,2623,787200
2708,5305732,2717,0,0,2704,576000,2709,1804800,2712,1804800,2714,1804800,2716,1804800,2717,1804800,2718,787200,2720,787200
2809,5306796,2815,0,0,2805,1248000,2810,1248000,2811,1248000,2812,1248000,2814,1248000,2815,1248000,2816,787200,2818,787200
2914,5306700,2929,0,0,2907,576000,2916,576000,2921,576000,2924,576000,2927,1248000,2930,1248000,2933,787200,2936,787200
3011,5302896,3017,0,0,3008,1017600,3012,1017600,3014,1017600,3015,1017600,3016,1017600,3017,1017600,3019,787200,3020,787200
3114,5302896,3123,0,0,3110,576000,3115,576000,3117,576000,3120,576000,3122,576000,3124,576000,3127,787200,3129,787200
3215,5302920,3225,0,0,3211,576000,3216,576000,3218,576000,3221,576000,3223,576000,3225,576000,3228,787200,3230,787200
3316,5303204,3327,0,0,3312,576000,3317,576000,3320,576000,3323,576000,3325,576000,3328,576000,3331,787200,3334,787200
3417,5303228,3428,0,0,3413,576000,3418,576000,3421,576000,3424,576000,3426,576000,3429,576000,3431,787200,3433,787200
3518,5303448,3529,0,0,3515,576000,3519,576000,3522,576000,3524,576000,3527,576000,3530,576000,3532,787200,3534,787200
3619,5303652,3632,0,0,3616,576000,3620,576000,3622,576000,3628,576000,3631,576000,3633,576000,3635,787200,3638,787200
3721,5303652,3735,0,0,3717,576000,3722,576000,3727,576000,3731,576000,3733,576000,3735,576000,3738,787200,3740,787200
3821,5304220,3831,0,0,3817,576000,3822,576000,3824,576000,3826,576000,3829,576000,3832,576000,3834,787200,3836,787200
3922,5304496,3932,0,0,3918,576000,3923,576000,3925,576000,3928,576000,3930,576000,3932,576000,3935,787200,3938,787200
4023,5304748,4033,0,0,4019,576000,4023,576000,4027,576000,4029,576000,4031,576000,4034,576000,4038,787200,4040,787200
4123,5305032,4136,0,0,4120,576000,4125,576000,4128,576000,4132,576000,4134,576000,4136,576000,4139,787200,4142,787200
4223,5305008,4227,0,0,4221,1248000,4224,1248000,4225,1612800,4226,1612800,4227,1612800,4227,1612800,4228,787200,4229,787200
4326,5305788,4341,0,0,4322,576000,4327,576000,4330,576000,4332,576000,4334,576000,4344,576000,4347,787200,4348,787200
