Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
75,5384648,82,0,0,73,1804800,75,1804800,78,1804800,79,1804800,81,1804800,82,1804800,83,2208000,85,2208000
175,5385688,181,0,0,173,1804800,176,1804800,177,1804800,179,1804800,180,1804800,181,1804800,182,2208000,183,2208000
275,5386664,279,0,0,274,1804800,276,1804800,277,1804800,278,1804800,279,1804800,280,1804800,281,1248000,281,1248000
376,5387168,380,0,0,375,1804800,376,1804800,377,1804800,378,1804800,379,1804800,381,1804800,382,1248000,382,1248000
477,5388080,480,0,0,476,1804800,478,1804800,478,1804800,479,1804800,480,1804800,480,1804800,481,2208000,482,2208000
579,5388932,584,0,0,577,1804800,580,1804800,581,1804800,582,1804800,583,1804800,584,1804800,586,1248000,587,1248000
680,5391696,683,0,0,678,1804800,680,1804800,681,1804800,681,1804800,683,1804800,683,1804800,684,1248000,685,1248000
780,5391344,784,0,0,779,1804800,781,1804800,782,1804800,783,1804800,784,1804800,785,1804800,785,1248000,786,1248000
882,5392100,885,0,0,879,1804800,882,1804800,883,1804800,884,1804800,885,1804800,885,1804800,886,1248000,887,1248000
981,5392636,984,0,0,980,1804800,981,1804800,982,1804800,983,1804800,984,1804800,985,1804800,985,1248000,986,1248000
1082,5393236,1086,128368,57163,1080,1804800,1083,1804800,1083,1804800,1084,1804800,1085,1804800,1086,1804800,1087,1248000,1088,1248000
1183,5394236,1187,128368,57163,1181,1804800,1183,1804800,1184,1804800,1185,1804800,1186,1804800,1187,1804800,1188,1248000,1188,1248000
1283,5395008,1288,128368,57163,1281,1248000,1284,1248000,1285,1248000,1286,1248000,1287,1248000,1288,1248000,1289,1036800,1291,1036800
1386,5395732,1391,128368,57163,1383,1248000,1386,1248000,1388,1248000,1389,1248000,1390,1248000,1391,1248000,1392,1036800,1393,1036800
1486,5396772,1492,33598,0,1484,1248000,1487,1248000,1488,1248000,1490,1248000,1491,1248000,1493,1248000,1494,1036800,1495,1036800
1589,5397152,1596,33598,0,1585,768000,1589,768000,1591,768000,1593,768000,1595,768000,1597,768000,1600,787200,1602,787200
1689,5397916,1698,33598,0,1686,768000,1690,1248000,1692,1248000,1694,1248000,1696,1248000,1699,1248000,1701,787200,1703,787200
1789,5398420,1795,33598,0,1787,1248000,1790,1248000,1792,1248000,1793,1248000,1794,1248000,1796,1248000,1797,787200,1799,787200
1890,5398892,1899,33598,0,1887,768000,1891,1017600,1893,1017600,1895,1017600,1897,1017600,1899,1017600,1901,2073600,1903,2073600
1994,5400348,2001,33598,0,1991,1248000,1995,1248000,1997,1248000,1999,1248000,2000,1248000,2001,1248000,2002,787200,2003,787200
2095,5401388,2103,33598,0,2093,1248000,2096,1248000,2099,1248000,2100,1248000,2101,1248000,2103,1248000,2105,787200,2106,787200
2195,5402852,2213,33598,0,2193,1804800,2195,1804800,2197,1804800,2199,1612800,2211,1804800,2214,1804800,2215,2208000,2217,2208000
2297,5398892,2303,67197,0,2295,1804800,2297,1804800,2299,1804800,2300,1804800,2302,1804800,2303,1804800,2305,2208000,2306,2208000
