Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
77,5396884,81,0,0,76,1804800,78,1804800,79,1804800,80,1804800,81,1804800,82,1804800,83,2208000,84,2208000
178,5397924,182,0,0,176,1804800,178,1804800,179,1804800,180,1804800,181,1804800,182,1804800,183,2208000,184,2208000
279,5398928,282,256736,48247,277,1804800,279,1804800,280,1804800,281,1804800,282,1804800,283,1804800,283,1248000,284,1248000
379,5399684,383,256736,48247,377,1804800,380,1804800,381,1804800,381,1804800,382,1804800,383,1804800,384,1248000,384,1248000
480,5400472,483,256736,48247,478,1804800,480,1804800,481,1804800,482,1804800,483,1804800,483,1804800,484,1248000,485,1248000
580,5400724,585,256736,48247,579,1804800,581,1804800,582,1804800,583,1804800,585,1804800,586,1804800,587,1248000,588,1248000
681,5402740,683,256736,48247,679,1804800,681,1804800,682,1804800,682,1804800,683,1804800,684,1804800,684,1248000,685,1248000
782,5403496,787,256736,48247,780,1804800,783,1804800,784,1804800,785,1804800,786,1804800,788,1804800,789,1248000,790,1248000
882,5404568,886,256736,48247,881,1804800,882,1804800,884,1804800,885,1804800,885,1804800,886,1804800,887,1248000,888,1248000
983,5405196,988,256736,48247,981,1804800,984,1804800,985,1804800,986,1804800,987,1804800,988,1804800,988,1248000,989,1248000
1084,5405920,1087,256736,48247,1082,1804800,1084,1804800,1085,1804800,1085,1804800,1086,1804800,1087,1804800,1088,1248000,1089,1248000
1185,5409196,1188,256736,48247,1183,1804800,1185,1804800,1186,1804800,1187,1804800,1188,1804800,1189,1804800,1189,2208000,1190,2208000
1288,5409700,1293,256736,48247,1286,1248000,1288,1248000,1289,1248000,1291,1248000,1292,1248000,1293,1248000,1294,1036800,1295,1036800
1386,5410236,1391,256736,48247,1384,1248000,1387,1248000,1388,1248000,1389,1248000,1390,1248000,1391,1248000,1393,1036800,1394,1036800
1487,5410992,1492,67197,0,1485,1248000,1488,1248000,1489,1248000,1490,1248000,1491,1248000,1493,1248000,1494,1036800,1495,1036800
1590,5411748,1601,67197,0,1587,576000,1592,576000,1594,576000,1597,576000,1600,768000,1602,768000,1604,787200,1606,787200
1690,5403960,1697,67197,0,1687,1804800,1691,1804800,1692,1804800,1695,1804800,1696,1804800,1697,1804800,1699,787200,1701,787200
1790,5405152,1800,67197,0,1788,768000,1792,768000,1794,768000,1796,768000,1798,1248000,1800,1248000,1803,1401600,1805,1401600
1893,5406160,1904,67197,0,1889,768000,1894,768000,1897,768000,1900,1017600,1902,1017600,1905,1017600,1907,787200,1909,787200
1993,5406664,2001,50398,0,1990,768000,1994,768000,1996,768000,1998,768000,2000,768000,2002,768000,2004,787200,2005,787200
2094,5407120,2107,50398,0,2091,768000,2095,768000,2099,768000,2103,768000,2105,768000,2107,768000,2110,787200,2112,787200
2196,5407428,2206,50398,0,2192,768000,2197,768000,2199,768000,2202,768000,2204,768000,2207,768000,2208,787200,2212,787200
2296,5407680,2305,50398,0,2293,768000,2296,768000,2299,576000,2302,576000,2304,576000,2306,576000,2308,787200,2310,787200
2396,5407964,2407,50398,0,2393,768000,2397,768000,2402,576000,2404,576000,2405,576000,2407,576000,2409,787200,2412,787200
2499,5408468,2510,50398,0,2495,576000,2500,576000,2503,576000,2506,576000,2508,576000,2511,576000,2515,787200,2518,787200
2599,5409028,2610,50398,0,2596,768000,2600,576000,2604,576000,2606,576000,2608,576000,2611,576000,2613,787200,2615,787200
2701,5409784,2711,50398,0,2698,1612800,2703,1612800,2705,1612800,2708,1612800,2709,1612800,2712,1612800,2714,787200,2717,787200
2801,5410084,2807,50398,0,2799,768000,2802,768000,2803,768000,2805,768000,2806,768000,2808,768000,2809,787200,2811,787200
2903,5411296,2911,50398,0,2899,1017600,2904,1017600,2906,1017600,2907,1017600,2909,1017600,2911,1017600,2913,787200,2915,787200
3005,5412140,3013,67197,0,3002,768000,3005,768000,3008,768000,3010,768000,3011,768000,3014,768000,3016,787200,3018,787200
3107,5412644,3116,67197,0,3104,576000,3108,576000,3110,576000,3112,576000,3114,576000,3116,576000,3119,787200,3121,787200
3211,5412588,3221,67197,0,3207,576000,3212,576000,3215,576000,3217,576000,3219,576000,3222,576000,3224,787200,3225,787200
3313,5413368,3324,67197,0,3308,768000,3314,768000,3318,768000,3320,768000,3322,768000,3325,768000,3328,787200,3331,787200
3413,5416872,3423,67197,0,3409,768000,3414,768000,3417,768000,3419,768000,3421,768000,3423,768000,3425,787200,3427,787200
3513,5417636,3530,67197,0,3509,768000,3515,768000,3520,768000,3523,768000,3526,768000,3531,768000,3536,787200,3540,787200
3613,5418700,3625,67197,0,3610,1017600,3614,1017600,3619,576000,3622,576000,3624,576000,3626,576000,3628,787200,3631,787200
3715,5419228,3727,67197,0,3711,768000,3716,768000,3721,576000,3723,576000,3725,576000,3728,576000,3731,787200,3735,787200
3817,5420016,3830,67197,0,3812,1017600,3819,1248000,3823,1248000,3825,1248000,3828,1248000,3831,1248000,3833,787200,3835,787200
3916,5412888,3926,67197,0,3913,768000,3916,768000,3919,768000,3921,768000,3924,768000,3926,768000,3929,1900800,3931,1900800
4017,5413416,4024,67197,0,4013,1017600,4017,1017600,4019,1017600,4021,1017600,4023,1017600,4025,1017600,4027,787200,4030,787200
4118,5413920,4127,83997,0,4114,1017600,4119,768000,4121,768000,4123,768000,4125,768000,4127,768000,4131,787200,4133,787200
4220,5413724,4229,83997,0,4216,1017600,4221,768000,4223,768000,4225,768000,4228,768000,4231,768000,4235,787200,4238,787200
4318,5415488,4323,83997,0,4316,1804800,4318,1516800,4319,1516800,4320,1516800,4322,1516800,4323,1516800,4324,2208000,4325,2208000
4418,5415564,4426,83997,0,4417,1804800,4419,1516800,4422,1516800,4424,1516800,4425,1516800,4426,1516800,4427,2208000,4429,2208000
4521,5416216,4530,83997,0,4518,1248000,4522,768000,4524,768000,4525,768000,4528,768000,4530,768000,4533,787200,4537,787200
4623,5416972,4636,83997,0,4619,576000,4623,576000,4627,576000,4630,576000,4633,576000,4637,576000,4639,787200,4640,787200
4723,5417532,4732,83997,0,4720,1017600,4724,1017600,4726,1017600,4729,1017600,4731,1017600,4733,1017600,4735,787200,4736,787200
4823,5418264,4829,83997,0,4820,1248000,4823,1248000,4825,1248000,4827,1248000,4828,1248000,4830,1248000,4832,787200,4833,787200
4924,5418320,4931,83997,0,4921,1017600,4924,1017600,4926,1017600,4928,1017600,4930,1017600,4932,1017600,4933,787200,4935,787200
5025,5419304,5032,83997,0,5022,1248000,5026,1248000,5027,1248000,5029,1248000,5031,1248000,5032,1248000,5034,787200,5035,787200
5124,5419808,5129,83997,0,5122,1248000,5125,1248000,5126,1248000,5128,1248000,5129,1248000,5130,1248000,5131,1401600,5133,1401600
5226,5420312,5233,83997,0,5223,1248000,5226,1248000,5228,1248000,5230,1248000,5232,1248000,5233,1248000,5235,787200,5236,787200
5326,5421196,5333,83997,0,5324,1017600,5327,1017600,5329,1017600,5331,1017600,5332,1017600,5334,1017600,5337,787200,5339,787200
5427,5402300,5431,83997,0,5425,1804800,5427,1804800,5428,1804800,5429,1804800,5430,1804800,5431,1804800,5432,787200,5433,787200
5528,5402520,5536,83997,0,5525,1017600,5529,1017600,5531,1017600,5533,1017600,5535,1017600,5536,1017600,5539,787200,5540,787200
5629,5402428,5637,83997,0,5626,768000,5630,768000,5632,768000,5634,768000,5636,768000,5638,768000,5640,787200,5641,787200
5730,5402460,5737,83997,0,5727,1248000,5731,1248000,5733,1248000,5734,1248000,5736,1248000,5737,1248000,5739,787200,5740,787200
5830,5402964,5838,83997,0,5827,1516800,5831,1516800,5832,1516800,5834,1516800,5836,1516800,5838,1516800,5839,787200,5840,787200
5931,5403752,5937,83997,0,5928,1248000,5931,1248000,5933,1248000,5934,1248000,5935,1248000,5938,1248000,5939,787200,5941,787200
6033,5404092,6043,83997,0,6029,576000,6034,576000,6036,576000,6039,576000,6041,576000,6044,576000,6047,787200,6050,787200
6132,5404652,6140,83997,0,6130,768000,6133,768000,6135,768000,6136,768000,6138,1017600,6140,1017600,6142,787200,6146,787200
6240,5405416,6250,83997,0,6237,576000,6242,1248000,6244,1248000,6247,1248000,6249,1248000,6251,1248000,6252,787200,6253,787200
6341,5405668,6350,83997,0,6338,768000,6342,768000,6344,768000,6346,768000,6348,768000,6350,768000,6352,787200,6354,787200
6441,5406400,6450,83997,0,6439,1017600,6442,1017600,6444,1017600,6447,1017600,6449,1017600,6451,1017600,6452,787200,6453,787200
6541,5407180,6550,83997,0,6539,1248000,6542,1248000,6545,1248000,6547,1248000,6549,1248000,6550,1248000,6552,1036800,6553,1036800
6644,5407488,6653,83997,0,6641,1248000,6646,1248000,6649,1248000,6651,1248000,6653,1248000,6654,1248000,6655,787200,6657,787200
6743,5408520,6752,83997,0,6741,1516800,6744,1516800,6746,1516800,6749,1516800,6750,1516800,6753,1516800,6755,787200,6757,787200
6846,5409504,6857,83997,0,6842,1017600,6848,1017600,6850,1017600,6852,1017600,6855,1017600,6858,1248000,6860,1248000,6862,1248000
6945,5410228,6954,83997,0,6943,1248000,6946,1248000,6949,1248000,6950,1248000,6952,1248000,6954,1248000,6955,1766400,6957,1766400
7049,5411024,7062,83997,0,7044,1017600,7053,1017600,7056,1017600,7057,1017600,7060,1248000,7063,1248000,7064,787200,7067,787200
