Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
74,5414012,78,0,0,73,1804800,75,1804800,76,1804800,76,1804800,77,1804800,78,1804800,79,2208000,80,2208000
176,5416052,182,0,0,174,1804800,176,1804800,177,1804800,179,1804800,180,1804800,182,1804800,184,2208000,185,2208000
276,5416872,280,0,0,274,1804800,276,1804800,277,1804800,278,1804800,279,1804800,280,1804800,281,1248000,282,1248000
377,5417856,381,0,0,375,1804800,377,1804800,378,1804800,379,1804800,380,1804800,381,1804800,382,1248000,383,1248000
476,5418784,480,0,0,475,1804800,477,1804800,478,1804800,479,1804800,480,1804800,480,1804800,481,1248000,482,1248000
577,5420044,581,128368,0,576,1804800,577,1804800,578,1804800,580,1804800,580,1804800,581,1804800,582,1248000,583,1248000
678,5422124,683,128368,0,676,1804800,678,1804800,679,1804800,680,1804800,682,1804800,683,1804800,684,1248000,685,1248000
778,5423384,782,128368,0,777,1804800,778,1804800,780,1804800,780,1804800,781,1804800,782,1804800,783,1248000,784,1248000
879,5423888,882,128368,0,877,1804800,879,1804800,880,1804800,881,1804800,882,1804800,883,1804800,883,1248000,884,1248000
980,5425620,985,128368,0,978,1804800,980,1804800,981,1804800,983,1804800,984,1804800,985,1804800,987,2208000,988,2208000
1080,5425904,1083,128368,0,1078,1804800,1080,1804800,1081,1804800,1082,1804800,1083,1804800,1083,1804800,1084,1248000,1085,1248000
1180,5426436,1183,128368,0,1179,1804800,1180,1804800,1181,1804800,1182,1804800,1183,1804800,1183,1804800,1184,1248000,1185,1248000
1281,5427192,1287,128368,0,1279,1248000,1282,1248000,1283,1248000,1284,1248000,1286,1248000,1287,1248000,1289,1036800,1290,1036800
1382,5427504,1387,33598,0,1380,1248000,1383,1324800,1384,1324800,1385,1324800,1386,1324800,1387,1324800,1389,1036800,1389,1036800
1483,5427960,1488,33598,0,1481,1248000,1483,1248000,1485,1248000,1486,1248000,1487,1248000,1489,1248000,1490,1036800,1491,1036800
1588,5428236,1599,33598,0,1583,576000,1589,576000,1593,576000,1595,576000,1597,576000,1602,1248000,1605,787200,1606,787200
1687,5429560,1699,33598,0,1683,576000,1688,576000,1692,576000,1694,576000,1698,576000,1700,576000,1703,787200,1704,787200
1787,5430064,1795,33598,0,1784,768000,1787,768000,1789,768000,1791,768000,1793,768000,1795,768000,1797,787200,1800,787200
1887,5430572,1899,50398,0,1884,576000,1888,576000,1891,576000,1895,576000,1897,576000,1900,576000,1903,787200,1904,787200
1989,5431328,1999,50398,0,1986,768000,1990,768000,1993,768000,1994,768000,1997,768000,2000,768000,2002,787200,2004,787200
2090,5431612,2096,50398,0,2087,768000,2091,768000,2092,768000,2093,768000,2095,768000,2096,768000,2098,787200,2100,787200
2196,5432304,2206,50398,0,2192,768000,2197,768000,2200,768000,2201,768000,2204,768000,2207,768000,2209,1401600,2212,1401600
2293,5421456,2304,50398,0,2290,1248000,2293,1248000,2296,1248000,2300,1248000,2302,1248000,2304,1248000,2306,787200,2307,787200
2395,5422040,2405,50398,0,2391,768000,2395,768000,2397,768000,2399,768000,2404,1017600,2407,1017600,2411,787200,2413,787200
2496,5422212,2507,50398,0,2492,576000,2497,576000,2501,576000,2503,576000,2505,576000,2507,576000,2510,787200,2512,787200
2596,5422748,2607,50398,0,2593,576000,2597,576000,2599,576000,2603,576000,2605,576000,2608,576000,2611,787200,2613,787200
2699,5423284,2705,50398,0,2694,1248000,2699,1248000,2701,1248000,2703,1248000,2704,1248000,2705,1248000,2708,787200,2709,787200
2799,5423788,2806,50398,0,2796,1017600,2799,1017600,2801,1017600,2803,768000,2805,768000,2806,768000,2809,787200,2811,787200
2904,5423560,2916,50398,0,2899,768000,2905,576000,2908,576000,2911,576000,2913,576000,2916,576000,2919,787200,2920,787200
3005,5424448,3022,83997,0,3000,1017600,3013,576000,3017,576000,3019,576000,3021,576000,3023,1248000,3024,787200,3026,787200
3107,5424732,3121,83997,0,3103,576000,3108,576000,3112,576000,3117,576000,3120,576000,3122,1248000,3124,787200,3125,787200
3208,5425488,3219,83997,0,3204,768000,3208,768000,3212,768000,3215,768000,3217,768000,3220,768000,3221,787200,3223,787200
