Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
24,5342684,28,0,0,10,1804800,25,1804800,26,1804800,26,1804800,27,1804800,28,1804800,29,2208000,29,2208000
112,5342692,116,0,0,110,1804800,112,1804800,113,1804800,114,1804800,115,1804800,116,1804800,117,2208000,118,2208000
214,5344204,220,0,0,211,1017600,214,1017600,216,1017600,217,1017600,219,1017600,221,768000,222,787200,224,787200
314,5344720,319,0,0,312,1804800,314,1804800,316,1804800,318,1804800,319,1804800,320,1804800,321,787200,321,787200
417,5345236,431,0,0,414,768000,418,768000,421,768000,425,768000,429,768000,432,768000,434,787200,436,787200
518,5345488,528,0,0,514,576000,519,576000,522,576000,524,576000,526,576000,529,576000,531,787200,534,787200
619,5345796,629,0,0,616,576000,620,576000,623,576000,625,576000,627,576000,629,576000,631,787200,634,787200
721,5345772,730,0,0,717,576000,721,576000,724,576000,727,576000,729,576000,731,576000,733,787200,735,787200
821,5345796,829,0,0,817,768000,822,768000,824,768000,826,768000,827,768000,829,768000,831,787200,833,787200
925,5346048,937,0,0,920,576000,926,576000,929,576000,933,576000,935,576000,939,576000,941,787200,943,787200
1025,5346024,1034,0,0,1021,576000,1026,576000,1029,576000,1031,576000,1033,576000,1035,576000,1037,787200,1039,787200
1127,5345796,1135,0,0,1123,576000,1128,576000,1130,576000,1132,576000,1134,576000,1136,576000,1138,787200,1140,787200
1228,5346048,1239,0,0,1224,576000,1229,576000,1232,576000,1234,576000,1237,576000,1239,576000,1242,787200,1243,787200
1330,5347060,1349,0,0,1325,768000,1332,768000,1336,768000,1340,1804800,1345,1804800,1349,1804800,1350,787200,1351,787200
1427,5350336,1431,0,0,1425,1804800,1427,1804800,1429,1804800,1430,1804800,1431,1804800,1432,1804800,1433,787200,1434,787200
1531,5339776,1541,0,0,1527,576000,1532,576000,1534,576000,1537,576000,1539,576000,1542,576000,1544,787200,1546,787200
1632,5340240,1643,0,0,1627,576000,1633,576000,1636,576000,1639,576000,1641,576000,1644,576000,1646,787200,1650,787200
1732,5340264,1743,0,0,1728,576000,1733,576000,1736,576000,1738,576000,1741,576000,1744,576000,1746,787200,1749,787200
1834,5340288,1846,0,0,1829,576000,1835,576000,1838,576000,1840,576000,1843,576000,1847,576000,1849,787200,1852,787200
1934,5340792,1945,0,0,1930,576000,1935,576000,1937,576000,1940,576000,1942,576000,1946,576000,1949,787200,1951,787200
2036,5341044,2050,0,0,2031,576000,2038,576000,2041,576000,2043,576000,2046,576000,2051,576000,2054,787200,2057,787200
2136,5341296,2145,0,0,2132,576000,2137,576000,2139,576000,2142,576000,2143,576000,2146,576000,2147,787200,2149,787200
2237,5341044,2245,0,0,2233,576000,2237,576000,2240,576000,2242,576000,2243,576000,2246,576000,2249,787200,2251,787200
2338,5341068,2346,0,0,2334,576000,2339,576000,2341,576000,2343,576000,2345,576000,2347,576000,2349,787200,2351,787200
