Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
60,5431204,62,0,0,59,1804800,60,1804800,61,1804800,61,1804800,62,1804800,63,1804800,63,2208000,64,2208000
161,5432748,163,0,0,159,1804800,161,1804800,162,1804800,162,1804800,163,1804800,164,1804800,164,787200,165,787200
261,5434512,264,0,0,260,1804800,262,1804800,262,1804800,263,1804800,263,1804800,264,1804800,265,1900800,266,2208000
364,5411076,373,0,0,361,1017600,365,576000,368,576000,370,576000,372,576000,374,576000,376,787200,378,787200
467,5411076,477,0,0,463,576000,468,576000,471,576000,473,576000,475,576000,478,576000,480,787200,484,787200
569,5411580,585,0,0,564,576000,571,576000,575,576000,579,576000,582,576000,586,1248000,588,787200,590,787200
666,5415132,669,0,0,664,1804800,666,1804800,667,1804800,668,1804800,668,1804800,669,1804800,670,787200,670,787200
771,5405116,780,0,0,766,576000,772,576000,775,576000,777,576000,779,576000,781,576000,783,787200,787,787200
871,5405304,882,0,0,867,576000,872,576000,874,576000,876,576000,880,576000,882,576000,884,787200,886,787200
974,5405328,983,0,0,968,576000,975,576000,978,576000,980,576000,982,576000,984,576000,986,787200,987,787200
1073,5405580,1082,0,0,1068,576000,1074,576000,1076,576000,1078,576000,1081,576000,1083,576000,1085,787200,1087,787200
1173,5406084,1182,0,0,1170,576000,1174,576000,1176,576000,1178,576000,1180,576000,1183,576000,1185,787200,1187,787200
1274,5405888,1286,0,0,1270,576000,1275,576000,1278,576000,1281,576000,1284,576000,1287,768000,1289,787200,1291,787200
1374,5401100,1381,0,0,1371,1612800,1375,1612800,1378,1612800,1379,1612800,1380,1612800,1381,1612800,1382,787200,1384,787200
1476,5401124,1483,0,0,1472,576000,1476,576000,1478,576000,1480,576000,1482,576000,1484,576000,1486,787200,1488,787200
1582,5401028,1595,0,0,1574,576000,1583,576000,1587,576000,1590,576000,1594,576000,1597,576000,1599,787200,1602,787200
1680,5401304,1691,0,0,1675,576000,1680,576000,1684,576000,1687,576000,1689,576000,1692,576000,1694,787200,1696,787200
1780,5401556,1792,0,0,1775,576000,1782,576000,1785,576000,1788,576000,1790,576000,1792,576000,1795,787200,1797,787200
