Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,5400904,28,0,0,9,1804800,26,1804800,27,1804800,27,1804800,28,1804800,29,1804800,29,2208000,30,2208000
111,5402952,116,0,0,109,1804800,111,1804800,112,1804800,114,1804800,115,1804800,116,1804800,117,2208000,118,2208000
211,5403960,214,0,0,210,1804800,212,1804800,212,1804800,213,1804800,214,1804800,215,1804800,215,2208000,216,2208000
312,5408084,315,0,0,310,1804800,312,1804800,313,1804800,314,1804800,315,1804800,316,1804800,316,1248000,317,1248000
412,5409596,416,0,0,411,1804800,413,1804800,414,1804800,414,1804800,415,1804800,416,1804800,417,1248000,418,1248000
513,5410888,518,0,0,511,1804800,513,1804800,515,1804800,517,1804800,517,1804800,519,1804800,519,1248000,520,1248000
613,5411896,620,0,0,612,1804800,614,1804800,616,1804800,617,1804800,619,1804800,620,1804800,622,1248000,625,1248000
714,5413328,717,0,0,712,1804800,714,1804800,715,1804800,716,1804800,717,1804800,718,1804800,718,1248000,719,1248000
814,5413832,819,128368,104849,813,1804800,815,1804800,816,1804800,818,1804800,819,1804800,820,1804800,820,1248000,821,1248000
915,5414852,918,128368,104849,913,1804800,915,1804800,916,1804800,917,1804800,918,1804800,918,1804800,919,1248000,920,1248000
1016,5415356,1019,128368,104849,1014,1804800,1016,1804800,1017,1804800,1018,1804800,1018,1804800,1019,1804800,1020,1248000,1021,1248000
1116,5416176,1119,128368,104849,1115,1804800,1116,1804800,1117,1804800,1118,1804800,1118,1804800,1119,1804800,1120,1248000,1121,1248000
1217,5416176,1220,128368,104849,1215,1804800,1217,1804800,1218,1804800,1219,1804800,1219,1804800,1220,1804800,1221,1248000,1221,1248000
1319,5416900,1324,128368,104849,1317,1248000,1319,1248000,1321,1248000,1322,1248000,1323,1248000,1324,1248000,1325,1036800,1326,1036800
1421,5417680,1427,33598,10079,1419,1248000,1422,1248000,1423,1248000,1424,1248000,1426,1248000,1428,1248000,1429,1036800,1430,1036800
1521,5418412,1526,33598,10079,1520,1248000,1522,1248000,1523,1248000,1524,1248000,1525,1248000,1526,1248000,1528,1036800,1529,1036800
1624,5418916,1635,33598,10079,1621,576000,1625,576000,1628,768000,1631,768000,1633,768000,1635,768000,1637,787200,1639,787200
1726,5419572,1738,33598,10079,1723,576000,1727,768000,1730,768000,1734,768000,1737,768000,1738,768000,1740,787200,1742,787200
1828,5420076,1840,33598,10079,1825,768000,1829,768000,1832,768000,1836,768000,1839,768000,1841,768000,1848,787200,1850,787200
1929,5420336,1937,33598,10079,1925,768000,1929,1248000,1932,1248000,1934,1248000,1936,1248000,1937,1248000,1938,787200,1940,787200
2030,5421344,2036,50398,26879,2027,576000,2031,1248000,2033,1248000,2034,1248000,2035,1248000,2036,1248000,2038,787200,2040,787200
2135,5422416,2147,50398,26879,2128,768000,2136,768000,2139,768000,2141,768000,2144,768000,2148,1248000,2150,787200,2152,787200
2232,5422976,2242,50398,26879,2229,768000,2233,768000,2236,768000,2238,768000,2241,768000,2244,768000,2247,787200,2250,787200
