Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
81,5374084,86,0,0,80,1804800,82,1804800,84,1804800,84,1804800,85,1804800,86,1804800,87,2208000,87,2208000
183,5375352,190,0,0,181,1017600,184,1017600,186,1017600,188,1017600,189,1017600,191,768000,193,787200,194,787200
284,5376864,290,0,0,282,1804800,285,1804800,286,1804800,288,1804800,289,1804800,290,1804800,291,787200,292,787200
391,5376832,407,0,0,383,576000,392,576000,396,576000,402,576000,405,576000,408,576000,411,787200,412,787200
490,5376864,500,0,0,484,576000,491,576000,494,576000,496,576000,498,576000,500,576000,503,787200,505,787200
589,5377116,597,0,0,585,768000,590,576000,592,576000,594,576000,596,576000,598,576000,600,787200,602,787200
690,5377620,700,0,0,686,576000,691,576000,694,576000,696,576000,698,576000,700,576000,703,787200,705,787200
792,5377392,802,0,0,787,576000,793,576000,796,576000,798,576000,800,576000,803,576000,806,787200,808,787200
891,5377896,900,0,0,888,576000,892,576000,894,576000,896,576000,898,576000,900,576000,903,787200,904,787200
993,5378116,1001,0,0,989,576000,994,576000,996,576000,998,576000,1000,576000,1002,576000,1005,787200,1007,787200
1095,5378092,1106,0,0,1091,576000,1096,576000,1099,576000,1101,576000,1104,576000,1107,576000,1109,787200,1111,787200
1193,5379100,1196,0,0,1191,1804800,1194,1804800,1195,1804800,1195,1804800,1196,1804800,1197,1804800,1198,787200,1199,787200
1294,5371716,1297,0,0,1292,1612800,1294,1612800,1295,1612800,1296,1612800,1296,1612800,1297,1612800,1298,787200,1298,787200
1398,5371896,1407,0,0,1394,576000,1399,576000,1401,576000,1403,576000,1405,576000,1407,576000,1409,787200,1411,787200
1500,5371896,1509,0,0,1496,576000,1501,576000,1504,576000,1506,576000,1508,576000,1510,576000,1512,787200,1514,787200
1602,5371216,1611,0,0,1598,576000,1602,576000,1605,576000,1607,576000,1609,576000,1611,576000,1614,787200,1615,787200
1703,5371216,1713,0,0,1700,576000,1704,576000,1707,576000,1709,576000,1711,576000,1714,576000,1716,787200,1718,787200
1804,5371248,1814,0,0,1801,576000,1805,576000,1808,576000,1810,576000,1812,576000,1815,576000,1817,787200,1819,787200
1905,5370996,1914,0,0,1902,576000,1906,576000,1909,576000,1911,576000,1912,576000,1915,576000,1917,787200,1919,787200
2007,5371272,2016,0,0,2003,576000,2008,576000,2010,576000,2012,576000,2014,576000,2017,576000,2019,787200,2021,787200
2108,5370996,2119,0,0,2104,576000,2109,576000,2111,576000,2114,576000,2116,576000,2120,576000,2123,787200,2125,787200
2210,5371500,2218,0,0,2206,576000,2210,576000,2213,576000,2215,576000,2217,576000,2219,576000,2221,787200,2223,787200
2311,5371500,2322,0,0,2307,576000,2312,576000,2315,576000,2318,576000,2320,576000,2323,576000,2326,787200,2328,787200
2414,5371272,2424,0,0,2409,576000,2414,576000,2417,576000,2420,576000,2422,576000,2424,576000,2427,787200,2429,787200
2514,5371280,2526,0,0,2510,576000,2515,576000,2520,576000,2522,576000,2524,576000,2527,576000,2529,787200,2531,787200
2616,5371532,2625,0,0,2612,576000,2617,576000,2619,576000,2621,576000,2623,576000,2626,576000,2628,787200,2630,787200
2716,5371304,2722,0,0,2713,1804800,2717,1804800,2719,1804800,2720,1804800,2721,1804800,2722,1804800,2723,787200,2724,787200
2817,5371580,2825,0,0,2814,576000,2818,576000,2820,576000,2822,576000,2824,576000,2826,576000,2828,787200,2830,787200
2921,5371580,2932,0,0,2915,576000,2922,576000,2925,576000,2928,576000,2931,576000,2933,576000,2936,787200,2939,787200
3018,5369108,3024,0,0,3016,1804800,3019,1804800,3021,1804800,3022,1804800,3023,1804800,3025,1804800,3026,787200,3027,787200
3121,5369340,3130,0,0,3117,576000,3122,576000,3124,576000,3126,576000,3129,576000,3131,576000,3133,787200,3136,787200
3223,5369448,3236,0,0,3219,576000,3224,576000,3228,576000,3231,576000,3233,576000,3237,576000,3240,787200,3243,787200
