Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
72,5295636,75,0,0,70,1804800,72,1804800,73,1804800,74,1804800,74,1804800,75,1804800,76,2208000,76,2208000
173,5298724,179,0,0,171,1324800,174,1324800,175,1324800,177,1248000,179,1248000,180,1248000,185,787200,186,787200
274,5297716,281,0,0,272,1804800,275,1804800,276,1804800,278,1804800,280,1804800,281,1804800,282,787200,283,787200
378,5298440,388,0,0,374,768000,379,768000,382,768000,384,768000,386,768000,389,768000,391,787200,393,787200
475,5298440,479,0,0,474,1804800,476,1804800,477,1804800,477,1804800,478,1804800,479,1804800,479,787200,480,787200
577,5298472,583,0,0,574,1324800,577,768000,579,768000,581,768000,582,768000,584,768000,586,979200,587,979200
681,5297716,692,0,0,676,576000,682,576000,684,576000,687,576000,690,576000,693,576000,696,787200,698,787200
781,5297968,791,0,0,777,576000,782,576000,785,576000,787,576000,789,576000,791,576000,794,787200,796,787200
882,5297464,891,0,0,878,576000,883,576000,885,576000,887,576000,889,576000,892,576000,894,787200,896,787200
985,5297464,995,0,0,981,576000,986,576000,989,576000,991,576000,993,576000,995,576000,998,787200,1000,787200
1086,5297968,1095,0,0,1082,576000,1087,576000,1089,576000,1091,576000,1094,576000,1096,576000,1099,787200,1101,787200
1187,5298220,1198,0,0,1183,576000,1188,576000,1190,576000,1194,576000,1197,576000,1199,576000,1202,787200,1204,787200
1293,5298220,1302,0,0,1289,576000,1294,576000,1296,576000,1299,576000,1301,576000,1303,576000,1305,787200,1307,787200
1395,5298472,1405,0,0,1390,576000,1396,576000,1399,576000,1401,576000,1403,576000,1406,576000,1409,787200,1411,787200
1495,5298244,1507,0,0,1490,576000,1496,576000,1499,576000,1503,576000,1506,576000,1509,576000,1513,787200,1515,787200
