Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
62,5412024,65,0,0,60,1804800,62,1804800,63,1804800,64,1804800,65,1804800,65,1804800,66,2208000,67,2208000
163,5413504,167,0,0,161,1804800,163,1804800,164,1804800,165,1804800,166,1804800,167,1804800,168,2208000,169,2208000
265,5413788,269,0,0,262,1804800,265,1804800,266,1804800,267,1804800,268,1804800,270,1804800,270,787200,271,787200
367,5414040,376,0,0,363,576000,368,576000,370,576000,373,576000,375,576000,377,576000,380,787200,382,787200
468,5414040,477,0,0,464,576000,469,576000,471,576000,473,576000,475,576000,478,576000,480,787200,482,787200
570,5414292,579,0,0,566,576000,571,576000,573,576000,575,576000,578,576000,580,576000,582,787200,584,787200
671,5414316,680,0,0,667,576000,672,576000,674,576000,676,576000,678,576000,680,576000,683,787200,685,787200
772,5414788,781,0,0,769,576000,773,576000,775,576000,778,576000,779,576000,782,576000,784,787200,786,787200
873,5414844,881,0,0,870,576000,874,576000,877,576000,879,1804800,880,1804800,881,1804800,882,787200,883,787200
972,5410236,978,0,0,970,1804800,973,1804800,974,1804800,977,1804800,978,1804800,979,1804800,979,787200,980,787200
1078,5408000,1091,0,0,1073,576000,1079,576000,1084,576000,1086,576000,1088,576000,1091,576000,1094,787200,1096,787200
1179,5408024,1187,0,0,1176,576000,1180,576000,1182,576000,1184,576000,1186,576000,1188,576000,1190,787200,1193,787200
1281,5408308,1290,0,0,1278,576000,1282,576000,1284,576000,1287,576000,1289,576000,1291,576000,1294,787200,1298,787200
1380,5407120,1391,0,0,1378,1804800,1380,1804800,1387,1804800,1389,1804800,1390,1804800,1391,1804800,1392,979200,1398,787200
1481,5407972,1488,0,0,1479,1804800,1481,1804800,1484,1804800,1486,1804800,1487,1804800,1489,1804800,1489,787200,1490,787200
1584,5408316,1595,0,0,1580,576000,1586,576000,1589,576000,1591,576000,1593,576000,1596,576000,1598,787200,1603,787200
1686,5404276,1700,0,0,1682,576000,1688,576000,1693,576000,1697,576000,1699,1248000,1701,1248000,1706,787200,1708,787200
