Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
25,5354036,28,0,0,9,1804800,26,1804800,26,1804800,27,1804800,28,1804800,28,1804800,29,2208000,30,2208000
111,5354296,115,0,0,110,1804800,112,1804800,113,1804800,113,1804800,114,1804800,115,1804800,116,2208000,117,2208000
212,5355084,216,0,0,210,1804800,212,1804800,213,1804800,214,1804800,215,1804800,216,1804800,217,2208000,218,2208000
313,5355628,318,0,0,311,1804800,313,1804800,314,1804800,315,1804800,317,1804800,318,1804800,319,787200,320,787200
416,5355628,424,0,0,413,576000,417,576000,418,576000,420,576000,422,576000,424,576000,426,787200,428,787200
519,5355652,532,0,0,513,576000,520,576000,523,576000,526,576000,529,576000,533,576000,537,787200,540,787200
619,5355456,632,0,0,614,576000,621,576000,624,576000,626,576000,630,576000,633,576000,636,787200,638,787200
719,5355776,731,0,0,715,576000,720,576000,725,576000,727,576000,730,576000,732,576000,736,787200,739,787200
819,5355800,828,0,0,816,576000,820,576000,822,576000,824,576000,826,576000,829,576000,830,787200,832,787200
921,5355800,932,0,0,917,576000,922,576000,925,576000,927,576000,930,576000,933,576000,935,787200,937,787200
1022,5356556,1034,0,0,1018,576000,1024,576000,1028,576000,1030,576000,1033,576000,1036,576000,1038,787200,1040,787200
1119,5359780,1122,0,0,1117,1804800,1119,1804800,1120,1804800,1121,1804800,1121,1804800,1122,1804800,1122,787200,1123,787200
1224,5349228,1236,0,0,1219,576000,1226,576000,1229,576000,1232,576000,1234,576000,1236,576000,1239,787200,1240,787200
