Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
72,5383324,75,0,0,57,1804800,72,1804800,73,1804800,74,1804800,74,1804800,75,1804800,75,2208000,76,2208000
162,5384372,165,0,0,158,1804800,162,1804800,163,1804800,164,1804800,165,1804800,165,1804800,166,2208000,167,2208000
259,5386388,264,0,0,258,1516800,260,1516800,261,1516800,262,1516800,264,1516800,265,1516800,266,787200,267,787200
310,5386892,324,0,0,308,1804800,310,1804800,313,1804800,317,1804800,320,1804800,328,1804800,332,787200,335,787200
411,5364716,415,0,0,410,1612800,412,1612800,413,1612800,414,1612800,414,1612800,415,1612800,416,787200,417,787200
515,5363708,522,0,0,511,576000,516,576000,517,576000,519,576000,521,576000,523,576000,525,787200,527,787200
616,5363708,624,0,0,612,576000,617,576000,619,576000,621,576000,622,576000,625,576000,627,787200,629,787200
717,5363960,726,0,0,713,576000,718,576000,721,576000,723,576000,724,576000,726,576000,729,787200,731,787200
817,5364464,826,0,0,814,576000,818,576000,820,576000,822,576000,824,576000,827,576000,829,787200,831,787200
919,5364716,930,0,0,915,576000,921,576000,923,576000,925,576000,928,576000,931,576000,933,787200,936,787200
1021,5364740,1030,0,0,1017,576000,1022,576000,1024,576000,1026,576000,1028,576000,1031,576000,1033,787200,1036,787200
1124,5363480,1135,0,0,1118,768000,1125,768000,1129,576000,1132,576000,1133,576000,1136,576000,1139,787200,1141,787200
1222,5364236,1232,0,0,1219,576000,1223,576000,1226,576000,1228,576000,1231,576000,1233,576000,1235,787200,1237,787200
1326,5363952,1340,0,0,1321,576000,1327,576000,1331,576000,1334,576000,1338,576000,1341,576000,1348,787200,1350,787200
1423,5367488,1426,0,0,1421,1804800,1423,1804800,1424,1804800,1425,1804800,1425,1804800,1426,1804800,1427,787200,1427,787200
1527,5355932,1536,0,0,1523,576000,1528,576000,1530,576000,1532,576000,1534,576000,1536,576000,1539,787200,1541,787200
1628,5355932,1637,0,0,1625,576000,1629,576000,1631,576000,1633,576000,1636,576000,1638,576000,1640,787200,1642,787200
1729,5356148,1738,0,0,1725,576000,1730,576000,1732,576000,1735,576000,1737,576000,1739,576000,1741,787200,1746,787200
1830,5355896,1839,0,0,1826,576000,1831,576000,1833,576000,1835,576000,1837,576000,1840,576000,1842,787200,1844,787200
1932,5356432,1941,0,0,1928,576000,1933,576000,1935,576000,1937,576000,1939,576000,1941,576000,1943,787200,1945,787200
2033,5356432,2044,0,0,2029,576000,2034,576000,2038,576000,2040,576000,2042,576000,2044,576000,2047,787200,2048,787200
2134,5356180,2143,0,0,2130,576000,2135,576000,2137,576000,2139,576000,2141,576000,2144,576000,2146,787200,2148,787200
2235,5355676,2244,0,0,2231,576000,2236,576000,2238,576000,2240,576000,2242,576000,2245,576000,2247,787200,2249,787200
2336,5356440,2345,0,0,2332,576000,2337,576000,2339,576000,2341,576000,2343,576000,2345,576000,2348,787200,2350,787200
2438,5356440,2454,0,0,2434,576000,2439,576000,2448,576000,2450,576000,2452,576000,2454,576000,2457,787200,2459,787200
2538,5356440,2547,0,0,2535,576000,2539,576000,2542,576000,2544,576000,2546,576000,2548,576000,2550,787200,2554,787200
2639,5355936,2648,0,0,2636,576000,2640,576000,2643,576000,2645,576000,2647,576000,2649,576000,2651,787200,2653,787200
2740,5355708,2750,0,0,2737,576000,2741,576000,2744,576000,2746,576000,2748,576000,2750,576000,2753,787200,2755,787200
2841,5356464,2849,0,0,2838,576000,2842,576000,2844,576000,2846,576000,2848,576000,2850,576000,2852,787200,2854,787200
2943,5356464,2952,0,0,2939,576000,2944,576000,2947,576000,2949,576000,2951,576000,2953,576000,2955,787200,2957,787200
3043,5355960,3053,0,0,3040,768000,3044,768000,3046,768000,3048,576000,3050,576000,3053,576000,3056,787200,3061,787200
3145,5356268,3158,0,0,3141,576000,3146,576000,3151,576000,3154,576000,3156,576000,3159,576000,3162,787200,3165,787200
3247,5356268,3259,0,0,3241,576000,3248,576000,3252,576000,3255,576000,3257,576000,3260,576000,3263,787200,3268,787200
3347,5352844,3355,0,0,3343,576000,3348,576000,3350,576000,3352,576000,3354,576000,3356,576000,3358,787200,3360,787200
3449,5352616,3458,0,0,3444,576000,3449,576000,3452,576000,3454,576000,3456,576000,3458,576000,3460,787200,3462,787200
3548,5353096,3560,0,0,3544,576000,3549,576000,3552,576000,3556,576000,3558,576000,3561,576000,3563,787200,3565,787200
3649,5352844,3660,0,0,3645,576000,3650,576000,3652,576000,3654,576000,3657,576000,3660,576000,3662,787200,3664,787200
3751,5352592,3760,0,0,3746,576000,3752,576000,3754,576000,3757,576000,3759,576000,3761,576000,3763,787200,3766,787200
3852,5353292,3860,0,0,3848,576000,3852,576000,3855,576000,3857,576000,3859,576000,3861,576000,3863,787200,3865,787200
3954,5353388,3963,0,0,3949,576000,3955,576000,3957,576000,3959,576000,3961,576000,3964,576000,3966,787200,3967,787200
4053,5353160,4063,0,0,4049,576000,4054,576000,4056,576000,4059,576000,4061,576000,4063,576000,4065,787200,4067,787200
4154,5353892,4166,0,0,4150,576000,4155,576000,4159,576000,4162,576000,4164,576000,4167,768000,4169,787200,4171,787200
4256,5353184,4265,0,0,4251,576000,4257,576000,4259,576000,4261,576000,4263,576000,4266,576000,4268,787200,4271,787200
4354,5353372,4358,0,0,4352,1804800,4354,1804800,4356,1804800,4357,1804800,4358,1804800,4359,1804800,4361,787200,4362,787200
