Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
32,5323868,35,0,0,15,1804800,32,1804800,33,1804800,34,1804800,35,1804800,36,1804800,37,2208000,37,2208000
117,5324128,119,0,0,115,1804800,117,1804800,117,1804800,118,1804800,119,1804800,119,1804800,120,2208000,121,2208000
218,5326152,222,0,0,216,1248000,218,1248000,220,1248000,221,1248000,222,1248000,223,1248000,224,787200,225,787200
320,5327160,327,0,0,317,1804800,321,1804800,323,1804800,325,1804800,326,1804800,327,1804800,328,787200,328,787200
422,5326932,432,0,0,418,576000,423,576000,426,576000,428,576000,430,576000,433,576000,435,787200,437,787200
522,5327128,533,0,0,519,576000,523,576000,526,576000,528,576000,531,576000,533,576000,536,787200,538,787200
623,5327632,630,0,0,620,1017600,624,768000,626,768000,627,768000,629,768000,631,768000,632,787200,634,787200
732,5328192,744,0,0,721,576000,733,576000,736,576000,738,576000,741,576000,744,1248000,746,787200,747,787200
826,5327680,835,0,0,822,576000,827,576000,829,576000,831,576000,833,576000,836,576000,838,787200,840,787200
934,5327884,945,0,0,928,576000,935,576000,938,576000,941,576000,944,1248000,946,1248000,948,787200,950,787200
1031,5328136,1044,0,0,1026,576000,1033,576000,1037,576000,1040,576000,1042,576000,1044,1248000,1047,787200,1048,787200
1132,5328412,1143,0,0,1126,576000,1133,576000,1136,576000,1137,576000,1140,576000,1144,1248000,1145,787200,1147,787200
1233,5328460,1244,0,0,1228,576000,1234,576000,1237,576000,1239,576000,1242,576000,1245,768000,1247,787200,1250,787200
1333,5328964,1345,0,0,1328,576000,1334,576000,1338,576000,1341,576000,1344,768000,1346,768000,1349,787200,1352,787200
1434,5328736,1445,0,0,1429,576000,1435,576000,1439,576000,1441,576000,1443,576000,1446,768000,1449,787200,1450,787200
1533,5331004,1539,0,0,1531,1804800,1533,1804800,1536,1804800,1537,1804800,1538,1804800,1539,1804800,1540,787200,1541,787200
1639,5321796,1651,0,0,1633,768000,1640,768000,1644,576000,1646,576000,1649,576000,1652,576000,1654,787200,1656,787200
1736,5322048,1741,0,0,1734,1248000,1737,1248000,1738,1248000,1739,1248000,1740,1248000,1741,1248000,1742,787200,1743,787200
1839,5321948,1848,0,0,1835,576000,1840,576000,1842,576000,1844,576000,1846,576000,1849,576000,1850,787200,1852,787200
1937,5322360,1942,0,0,1935,1516800,1938,1516800,1939,1516800,1940,1516800,1941,1516800,1942,1516800,1943,787200,1944,787200
2039,5313192,2050,0,0,2036,576000,2040,576000,2043,576000,2045,576000,2047,576000,2051,576000,2054,787200,2056,787200
2141,5313420,2151,0,0,2137,576000,2142,576000,2145,576000,2147,576000,2149,576000,2152,576000,2154,787200,2156,787200
2243,5312940,2253,0,0,2238,576000,2244,576000,2247,576000,2249,576000,2251,576000,2253,576000,2256,787200,2258,787200
2341,5303340,2345,0,0,2339,1804800,2342,1804800,2343,1804800,2344,1248000,2345,1248000,2346,1248000,2346,787200,2347,787200
2445,5303844,2454,0,0,2441,576000,2446,576000,2449,576000,2451,576000,2453,576000,2455,576000,2459,787200,2461,787200
2546,5303592,2555,0,0,2542,576000,2547,576000,2549,576000,2551,576000,2553,576000,2556,576000,2559,787200,2562,787200
2648,5303592,2661,0,0,2644,576000,2649,576000,2653,576000,2655,576000,2658,576000,2662,576000,2664,787200,2665,787200
2748,5303592,2758,0,0,2744,576000,2749,576000,2752,576000,2754,576000,2756,576000,2759,576000,2761,787200,2763,787200
2850,5304348,2858,0,0,2846,576000,2851,576000,2853,576000,2855,576000,2857,576000,2859,576000,2861,787200,2864,787200
2949,5303964,2954,0,0,2946,1612800,2950,1612800,2951,1612800,2952,1612800,2954,1612800,2955,1612800,2957,787200,2958,787200
3051,5304512,3060,0,0,3048,576000,3052,576000,3054,576000,3056,576000,3058,576000,3061,576000,3063,979200,3064,787200
3154,5304544,3166,0,0,3149,576000,3156,576000,3159,576000,3161,576000,3164,576000,3167,576000,3172,787200,3176,787200
3252,5302408,3261,0,0,3249,1017600,3253,1017600,3256,1017600,3258,1017600,3260,1017600,3262,1017600,3263,787200,3265,787200
3355,5302660,3365,0,0,3350,576000,3356,576000,3359,576000,3361,576000,3363,576000,3366,576000,3369,787200,3371,787200
3456,5302432,3474,0,0,3452,576000,3457,576000,3465,576000,3469,576000,3472,576000,3474,576000,3477,787200,3480,787200
3556,5302456,3563,0,0,3553,768000,3557,768000,3559,768000,3560,768000,3562,768000,3564,768000,3565,787200,3567,787200
3658,5302488,3666,0,0,3654,576000,3658,576000,3661,576000,3663,576000,3665,576000,3667,576000,3670,787200,3674,787200
3761,5302236,3774,0,0,3756,576000,3762,576000,3765,576000,3769,576000,3772,576000,3775,576000,3777,787200,3780,787200
3863,5302488,3874,0,0,3857,576000,3864,576000,3867,576000,3870,576000,3872,576000,3875,576000,3878,787200,3882,787200
3962,5303100,3972,0,0,3958,576000,3963,576000,3966,1248000,3969,1248000,3970,1248000,3972,1248000,3976,787200,3979,787200
4062,5302780,4074,0,0,4059,576000,4063,576000,4066,576000,4069,576000,4072,576000,4075,576000,4077,787200,4079,787200
4165,5303032,4176,0,0,4161,576000,4166,576000,4169,576000,4171,576000,4174,576000,4177,576000,4180,787200,4182,787200
4266,5303032,4277,0,0,4262,576000,4267,576000,4270,576000,4272,576000,4276,576000,4278,576000,4280,787200,4282,787200
4367,5303332,4376,0,0,4363,576000,4368,576000,4370,576000,4372,576000,4374,576000,4377,576000,4379,787200,4381,787200
4468,5303544,4478,0,0,4464,576000,4469,576000,4471,576000,4473,576000,4476,576000,4479,576000,4482,787200,4484,787200
4570,5302728,4581,0,0,4566,576000,4571,576000,4573,576000,4575,576000,4578,576000,4581,576000,4584,787200,4586,787200
4670,5303004,4679,0,0,4666,768000,4671,768000,4674,768000,4676,768000,4678,768000,4680,768000,4682,787200,4684,787200
4772,5303508,4784,0,0,4768,576000,4774,576000,4778,576000,4780,576000,4782,576000,4785,768000,4787,787200,4788,787200
4873,5303592,4885,0,0,4868,576000,4874,576000,4877,576000,4880,576000,4882,576000,4886,768000,4888,787200,4889,787200
4975,5303496,4988,0,0,4970,576000,4976,576000,4981,576000,4984,768000,4986,768000,4989,768000,4991,787200,4993,787200
5075,5303496,5084,0,0,5071,576000,5076,576000,5078,576000,5080,576000,5082,576000,5085,576000,5087,787200,5089,787200
5177,5303496,5188,0,0,5173,576000,5178,576000,5181,576000,5184,576000,5186,576000,5189,576000,5192,787200,5194,787200
5280,5303244,5291,0,0,5274,576000,5281,576000,5284,576000,5287,576000,5289,576000,5294,576000,5297,787200,5300,787200
5378,5303244,5389,0,0,5375,576000,5380,576000,5382,576000,5385,576000,5387,576000,5390,576000,5392,787200,5394,787200
5481,5303244,5494,0,0,5477,576000,5482,576000,5485,576000,5489,576000,5492,576000,5494,576000,5497,787200,5499,787200
5583,5303160,5595,0,0,5578,576000,5584,576000,5586,576000,5591,576000,5593,576000,5596,576000,5599,787200,5601,787200
5683,5303664,5694,0,0,5679,576000,5685,576000,5687,576000,5690,576000,5693,576000,5695,576000,5698,787200,5700,787200
5784,5303412,5794,0,0,5781,576000,5785,576000,5788,576000,5790,576000,5792,576000,5795,576000,5798,787200,5800,787200
5886,5303412,5894,0,0,5882,576000,5886,576000,5889,576000,5891,576000,5893,576000,5895,576000,5898,787200,5900,787200
5989,5303364,6000,0,0,5985,576000,5990,576000,5993,576000,5995,576000,5998,576000,6000,576000,6003,787200,6005,787200
6089,5303388,6101,0,0,6086,576000,6090,576000,6093,576000,6095,576000,6099,576000,6102,576000,6104,787200,6106,787200
6191,5303388,6200,0,0,6187,576000,6192,576000,6194,576000,6196,576000,6199,576000,6201,576000,6203,787200,6206,787200
6292,5303388,6301,0,0,6288,576000,6293,576000,6296,576000,6298,576000,6300,576000,6302,576000,6305,787200,6306,787200
6393,5302884,6402,0,0,6389,576000,6394,576000,6396,576000,6398,576000,6401,576000,6403,576000,6405,787200,6407,787200
6444,5303388,6454,0,0,6440,576000,6445,576000,6447,576000,6450,576000,6452,576000,6455,576000,6459,787200,6461,787200
6545,5303640,6556,0,0,6541,768000,6546,576000,6550,576000,6553,576000,6555,576000,6557,576000,6560,787200,6562,787200
6647,5304144,6656,0,0,6643,576000,6648,576000,6650,576000,6653,576000,6655,576000,6657,576000,6659,787200,6661,787200
6747,5303208,6757,0,0,6743,576000,6748,576000,6751,576000,6753,576000,6756,576000,6758,576000,6760,787200,6762,787200
6849,5303728,6858,0,0,6845,768000,6850,768000,6852,768000,6854,768000,6856,768000,6859,768000,6861,787200,6862,787200
6951,5303728,6961,0,0,6947,576000,6952,576000,6955,576000,6957,576000,6959,576000,6961,576000,6964,787200,6965,787200
7054,5303648,7066,0,0,7050,576000,7055,576000,7059,576000,7062,576000,7064,1248000,7066,1248000,7068,787200,7069,787200
7154,5303900,7167,0,0,7150,576000,7155,576000,7159,576000,7162,576000,7165,576000,7168,576000,7170,787200,7172,787200
7256,5304404,7268,0,0,7251,576000,7257,576000,7261,576000,7264,576000,7266,576000,7269,576000,7272,787200,7274,787200
7357,5304656,7367,0,0,7353,576000,7358,576000,7361,576000,7363,576000,7366,576000,7368,576000,7370,787200,7372,787200
7458,5304656,7469,0,0,7453,576000,7459,576000,7462,576000,7465,576000,7467,576000,7470,576000,7473,787200,7476,787200
7559,5304656,7569,0,0,7554,576000,7560,576000,7563,576000,7565,576000,7568,576000,7570,576000,7573,787200,7575,787200
7660,5305224,7670,0,0,7655,768000,7660,768000,7663,768000,7666,768000,7668,768000,7671,768000,7675,787200,7678,787200
7761,5304500,7769,0,0,7757,1248000,7761,1248000,7764,1248000,7766,1017600,7767,1017600,7769,1017600,7770,787200,7772,787200
7864,5304500,7876,0,0,7858,576000,7866,576000,7869,576000,7872,576000,7874,576000,7877,576000,7880,787200,7882,787200
7965,5305128,7974,0,0,7960,576000,7966,576000,7968,576000,7970,576000,7972,576000,7975,576000,7977,787200,7979,787200
8065,5305152,8075,0,0,8061,576000,8066,576000,8069,576000,8071,576000,8073,576000,8076,576000,8078,787200,8080,787200
8165,5304900,8175,0,0,8161,576000,8166,576000,8169,576000,8171,576000,8173,576000,8176,576000,8179,787200,8181,787200
8265,5305120,8272,0,0,8262,576000,8266,1248000,8268,1248000,8270,1248000,8271,1248000,8272,1248000,8274,787200,8275,787200
8367,5305144,8375,0,0,8363,1017600,8367,768000,8370,768000,8372,768000,8373,768000,8376,768000,8377,787200,8380,787200
8468,5305396,8477,0,0,8465,576000,8469,576000,8471,576000,8473,576000,8475,576000,8478,576000,8480,787200,8482,787200
8569,5305404,8582,0,0,8566,576000,8573,576000,8576,576000,8578,576000,8580,576000,8583,576000,8588,787200,8589,787200
8672,5305428,8683,0,0,8667,576000,8674,576000,8676,576000,8678,576000,8681,576000,8684,1248000,8688,787200,8690,787200
8773,5305428,8785,0,0,8768,576000,8774,576000,8777,576000,8779,576000,8783,576000,8786,1248000,8788,787200,8789,787200
8874,5305932,8884,0,0,8870,576000,8875,576000,8878,576000,8880,576000,8882,576000,8885,576000,8888,787200,8890,787200
8976,5305908,8989,0,0,8970,576000,8977,576000,8980,576000,8982,576000,8985,576000,8990,576000,8993,787200,8998,787200
