Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
21,5354140,24,0,0,7,1804800,22,1804800,23,1804800,23,1804800,24,1804800,25,1804800,25,2208000,26,2208000
109,5354660,114,0,0,108,1804800,110,1804800,111,1804800,112,1804800,113,1804800,115,1804800,116,2208000,117,2208000
209,5355668,212,0,0,208,1804800,210,1804800,210,1804800,211,1804800,212,1804800,212,1804800,213,2208000,214,2208000
311,5357180,313,0,0,309,1804800,311,1804800,312,1804800,312,1804800,313,1804800,313,1804800,314,787200,314,787200
414,5357464,423,0,0,411,576000,415,576000,417,576000,419,576000,421,576000,424,576000,427,787200,429,787200
514,5357464,523,0,0,511,576000,515,576000,517,576000,519,576000,522,576000,524,576000,526,787200,528,787200
616,5357968,626,0,0,612,576000,617,576000,619,576000,622,576000,624,576000,627,576000,629,787200,631,787200
717,5358220,728,0,0,713,576000,718,576000,721,576000,724,576000,727,576000,729,576000,732,787200,734,787200
819,5358496,832,0,0,814,576000,820,576000,825,576000,828,576000,830,576000,834,576000,837,787200,841,787200
920,5359000,932,0,0,915,576000,921,576000,924,576000,927,576000,930,576000,933,576000,936,787200,940,787200
1017,5361820,1021,0,0,1015,1804800,1018,1804800,1019,1804800,1020,1804800,1020,1804800,1021,1804800,1021,787200,1022,787200
1121,5351428,1131,0,0,1117,576000,1122,576000,1124,576000,1127,576000,1129,576000,1136,576000,1142,787200,1144,787200
1222,5351728,1232,0,0,1219,576000,1223,576000,1226,576000,1228,576000,1231,576000,1233,576000,1236,787200,1239,787200
1324,5351752,1333,0,0,1320,576000,1325,576000,1327,576000,1329,576000,1331,576000,1334,576000,1336,787200,1339,787200
1426,5351776,1434,0,0,1422,576000,1427,576000,1429,576000,1431,576000,1433,576000,1435,576000,1437,787200,1439,787200
1530,5351728,1540,0,0,1525,576000,1531,576000,1534,576000,1536,576000,1538,576000,1541,576000,1543,787200,1545,787200
1630,5351752,1640,0,0,1626,576000,1631,576000,1633,576000,1636,576000,1638,576000,1641,576000,1643,787200,1644,787200
1731,5352176,1742,0,0,1727,576000,1732,576000,1735,576000,1737,576000,1739,576000,1743,768000,1744,787200,1746,787200
1834,5351700,1847,0,0,1828,576000,1835,576000,1839,576000,1842,576000,1844,576000,1848,576000,1852,787200,1855,787200
1933,5352456,1943,0,0,1929,576000,1934,576000,1937,576000,1939,576000,1941,576000,1944,576000,1946,787200,1948,787200
2034,5352204,2047,0,0,2031,576000,2035,576000,2040,576000,2042,576000,2045,576000,2047,576000,2050,787200,2054,787200
2135,5352480,2145,0,0,2131,576000,2136,576000,2139,576000,2141,576000,2143,576000,2147,576000,2149,787200,2151,787200
2236,5352228,2246,0,0,2232,576000,2237,576000,2239,576000,2242,576000,2244,576000,2247,576000,2249,787200,2251,787200
2337,5352732,2347,0,0,2333,576000,2338,576000,2340,576000,2343,576000,2345,576000,2348,576000,2350,787200,2352,787200
2439,5352708,2453,0,0,2435,576000,2440,576000,2444,576000,2448,576000,2451,576000,2454,576000,2456,787200,2459,787200
2538,5352928,2542,0,0,2535,1248000,2538,1248000,2540,1248000,2541,1248000,2542,1612800,2543,1612800,2544,787200,2544,787200
2641,5352676,2650,0,0,2638,576000,2642,576000,2644,576000,2646,576000,2648,576000,2651,576000,2653,787200,2655,787200
2743,5352424,2751,0,0,2739,576000,2743,1248000,2746,1248000,2748,1248000,2749,1248000,2752,1248000,2753,787200,2754,787200
2843,5354144,2853,0,0,2840,1017600,2844,576000,2847,576000,2849,576000,2851,576000,2854,576000,2856,1248000,2858,1248000
