Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
68,5437540,74,0,0,67,1804800,69,1804800,69,1804800,71,1804800,73,1804800,74,1804800,75,2208000,77,2208000
169,5438800,172,0,0,167,1804800,169,1804800,170,1804800,170,1804800,171,1804800,172,1804800,173,2208000,173,2208000
269,5439744,273,0,0,267,1804800,269,1804800,270,1804800,272,1804800,273,1804800,274,1804800,275,1401600,276,1401600
370,5440156,374,385104,368305,368,1804800,370,1804800,371,1804800,372,1804800,373,1804800,374,1804800,376,2208000,376,2208000
470,5441356,476,385104,368305,469,1804800,471,1804800,472,1804800,474,1804800,475,1804800,477,1804800,478,2073600,479,1766400
570,5442508,574,385104,368305,569,1804800,571,1804800,572,1804800,572,1804800,573,1804800,574,1804800,575,1248000,576,1248000
671,5443260,675,385104,368305,670,1804800,672,1804800,673,1804800,674,1804800,675,1804800,676,1804800,677,1248000,677,1248000
772,5443688,776,385104,368305,770,1804800,773,1804800,774,1804800,774,1804800,775,1804800,776,1804800,776,1248000,777,1248000
873,5444632,876,385104,368305,871,1804800,873,1804800,874,1804800,875,1804800,876,1804800,876,1804800,877,1248000,878,1248000
973,5445420,977,385104,368305,971,1804800,973,1804800,975,1804800,976,1804800,976,1804800,978,1804800,979,1248000,980,1248000
1073,5446588,1077,385104,368305,1072,1804800,1074,1804800,1074,1804800,1075,1804800,1076,1804800,1077,1804800,1078,1248000,1078,1248000
1173,5447092,1176,385104,368305,1172,1804800,1174,1804800,1174,1804800,1175,1804800,1176,1804800,1177,1804800,1178,1248000,1178,1248000
1275,5447728,1280,385104,368305,1273,1248000,1275,1248000,1277,1248000,1278,1248000,1279,1248000,1280,1248000,1282,1036800,1283,1036800
1375,5448232,1381,385104,368305,1373,1324800,1376,1324800,1377,1324800,1378,1324800,1380,1324800,1381,1324800,1382,1036800,1384,1036800
