Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
81,5416024,84,0,0,79,1804800,81,1804800,82,1804800,82,1804800,83,1804800,84,1804800,85,2208000,86,2208000
182,5416780,188,0,0,180,1017600,183,1017600,184,1017600,186,1017600,187,1017600,188,1017600,190,787200,192,787200
282,5417536,285,0,0,281,1804800,283,1804800,284,1804800,284,1804800,285,1804800,285,1804800,290,1248000,291,1248000
387,5417688,395,0,0,383,768000,387,768000,389,768000,391,576000,393,576000,395,576000,397,787200,399,787200
487,5417940,499,0,0,483,576000,488,576000,491,576000,493,576000,495,576000,500,576000,504,787200,507,787200
587,5415372,593,0,0,584,1248000,587,1248000,589,1248000,591,768000,592,768000,594,768000,595,787200,597,787200
689,5415144,698,0,0,685,576000,690,576000,692,576000,694,576000,696,576000,699,576000,701,787200,704,787200
791,5415120,801,0,0,787,576000,792,576000,794,576000,796,576000,798,576000,802,576000,804,787200,806,787200
892,5415468,903,0,0,887,576000,893,576000,897,576000,899,576000,901,576000,904,576000,908,787200,910,787200
993,5415972,1003,0,0,988,576000,994,576000,996,576000,999,576000,1001,576000,1004,576000,1008,787200,1010,787200
1090,5417468,1094,0,0,1088,1708800,1090,1804800,1091,1804800,1092,1804800,1093,1804800,1094,1804800,1095,787200,1096,787200
1191,5407748,1199,0,0,1189,1516800,1192,1017600,1195,1017600,1196,1017600,1198,1017600,1199,1017600,1201,787200,1202,787200
1293,5407520,1304,0,0,1290,576000,1295,576000,1298,576000,1300,576000,1302,576000,1305,576000,1307,787200,1309,787200
1396,5407292,1405,0,0,1391,576000,1397,576000,1399,576000,1401,576000,1403,576000,1405,576000,1409,787200,1411,787200
1496,5407292,1505,0,0,1492,576000,1497,576000,1499,576000,1502,576000,1503,576000,1505,576000,1507,787200,1509,787200
1599,5407316,1608,0,0,1593,576000,1600,576000,1602,576000,1605,576000,1607,576000,1609,576000,1612,787200,1614,787200
1699,5407988,1709,0,0,1694,576000,1700,576000,1702,576000,1705,576000,1707,576000,1709,576000,1713,787200,1714,787200
1799,5408012,1812,0,0,1795,576000,1800,576000,1805,576000,1807,576000,1810,576000,1812,768000,1815,787200,1817,787200
1900,5408324,1911,0,0,1896,576000,1902,576000,1905,576000,1907,576000,1910,576000,1912,576000,1914,787200,1916,787200
2001,5408260,2011,0,0,1997,576000,2002,576000,2005,576000,2007,576000,2009,576000,2012,576000,2014,787200,2016,787200
2104,5408260,2117,0,0,2100,576000,2105,576000,2109,576000,2112,576000,2115,576000,2118,576000,2120,787200,2125,787200
2204,5408512,2215,0,0,2200,768000,2205,768000,2207,768000,2211,576000,2213,576000,2216,576000,2219,787200,2221,787200
2307,5408764,2318,0,0,2301,576000,2308,576000,2311,576000,2313,576000,2315,576000,2319,576000,2322,787200,2324,787200
2409,5409268,2421,0,0,2403,576000,2410,576000,2413,576000,2416,576000,2419,576000,2423,576000,2425,787200,2428,787200
2510,5409292,2522,0,0,2503,576000,2511,576000,2515,576000,2518,576000,2520,576000,2523,576000,2525,787200,2528,787200
2611,5409544,2618,0,0,2605,576000,2611,1248000,2613,1248000,2615,1248000,2617,1248000,2618,1248000,2619,787200,2621,787200
2711,5408964,2720,0,0,2706,576000,2712,576000,2714,576000,2716,576000,2718,576000,2721,576000,2723,787200,2725,787200
2813,5409184,2832,0,0,2807,576000,2819,576000,2823,576000,2829,576000,2831,1248000,2833,1248000,2834,787200,2836,787200
2912,5409444,2922,0,0,2908,576000,2913,576000,2916,576000,2918,576000,2920,576000,2923,576000,2925,787200,2927,787200
3013,5409184,3023,0,0,3010,576000,3014,576000,3017,576000,3019,576000,3021,576000,3024,576000,3026,787200,3028,787200
3116,5409716,3124,0,0,3112,576000,3116,576000,3119,576000,3120,576000,3122,576000,3124,576000,3126,787200,3128,787200
3218,5409968,3228,0,0,3214,576000,3219,576000,3221,576000,3224,576000,3226,576000,3229,576000,3231,787200,3233,787200
