Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
28,5411960,31,0,0,8,1804800,28,1804800,29,1804800,29,1804800,30,1804800,31,1804800,32,2208000,32,2208000
110,5411508,115,0,0,109,1804800,111,1804800,112,1804800,112,1804800,114,1804800,115,1804800,116,2208000,117,2208000
211,5414532,214,0,0,209,1804800,211,1804800,212,1804800,212,1804800,213,1804800,214,1804800,215,2208000,216,2208000
311,5416264,314,128368,26149,310,1804800,311,1804800,312,1804800,312,1804800,313,1804800,314,1804800,315,1248000,316,1248000
412,5416768,417,128368,26149,410,1804800,412,1804800,413,1804800,415,1804800,416,1804800,417,1804800,418,1248000,419,1248000
512,5417492,515,128368,26149,511,1804800,512,1804800,513,1804800,514,1804800,515,1804800,516,1804800,516,1248000,517,1248000
614,5418280,620,128368,26149,611,1804800,615,1804800,617,1804800,618,1804800,619,1804800,620,1804800,621,1248000,622,1248000
713,5420856,717,128368,26149,711,1804800,713,1804800,714,1804800,715,1804800,716,1804800,717,1804800,718,1248000,719,1248000
813,5421864,817,128368,26149,812,1804800,814,1804800,815,1804800,816,1804800,817,1804800,818,1804800,819,1248000,820,1248000
914,5423156,918,128368,26149,912,1804800,915,1804800,916,1804800,916,1804800,917,1804800,918,1804800,919,1248000,919,1248000
1014,5423684,1019,128368,26149,1013,1804800,1015,1804800,1016,1804800,1017,1804800,1018,1804800,1019,1804800,1020,1248000,1021,1248000
1117,5424472,1120,128368,26149,1114,1804800,1117,1804800,1118,1804800,1119,1804800,1120,1804800,1120,1804800,1121,1248000,1122,1248000
1215,5425480,1220,128368,26149,1214,1804800,1216,1804800,1217,1804800,1218,1804800,1219,1804800,1220,1804800,1221,1248000,1222,1248000
1316,5425984,1321,128368,26149,1315,1248000,1317,1248000,1318,1248000,1319,1248000,1320,1248000,1322,1248000,1323,1036800,1324,1036800
1417,5427016,1420,33598,0,1415,1804800,1417,1804800,1418,1804800,1419,1804800,1419,1804800,1420,1804800,1421,1036800,1422,1036800
1518,5427424,1525,33598,0,1516,1248000,1519,1248000,1520,1248000,1523,1248000,1524,1248000,1526,1248000,1527,1036800,1528,1036800
