Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
70,5455332,75,0,0,68,1804800,70,1804800,72,1804800,73,1804800,74,1804800,75,1804800,77,2208000,78,2208000
169,5456796,173,0,0,168,1804800,170,1804800,171,1804800,171,1804800,172,1804800,173,1804800,174,1248000,174,1248000
270,5457596,274,0,0,268,1804800,270,1804800,271,1804800,272,1804800,273,1804800,274,1804800,275,1248000,276,1248000
371,5459084,374,0,0,369,1804800,371,1804800,372,1804800,373,1804800,374,1804800,375,1804800,376,2208000,377,2208000
471,5460660,475,0,0,470,1804800,471,1804800,473,1804800,474,1804800,475,1804800,476,1804800,477,1248000,478,1248000
572,5461920,577,128368,108209,570,1804800,572,1804800,573,1804800,575,1804800,576,1804800,578,1804800,579,1248000,580,1248000
672,5463356,677,128368,108209,670,1804800,672,1804800,674,1804800,675,1804800,676,1804800,678,1804800,679,1248000,680,1248000
773,5464144,776,128368,108209,771,1804800,773,1804800,774,1804800,775,1804800,775,1804800,776,1804800,778,1248000,779,1248000
873,5464648,877,128368,108209,872,1804800,873,1804800,874,1804800,875,1804800,876,1804800,878,1804800,879,1248000,881,1248000
974,5448796,978,128368,108209,972,1804800,974,1804800,975,1804800,976,1804800,977,1804800,978,1804800,979,1248000,980,1248000
1074,5448040,1079,128368,108209,1073,1804800,1074,1804800,1075,1804800,1077,1804800,1078,1804800,1080,1804800,1081,1248000,1081,1248000
1175,5449300,1180,128368,108209,1173,1708800,1175,1708800,1176,1708800,1177,1708800,1179,1708800,1180,1516800,1181,1036800,1182,1036800
1277,5449860,1283,128368,108209,1275,1324800,1278,1324800,1279,1324800,1281,1248000,1282,1248000,1283,1248000,1284,1036800,1285,1036800
1378,5450388,1384,128368,108209,1375,1248000,1378,1248000,1380,1248000,1381,1248000,1383,1248000,1384,1248000,1386,1036800,1388,1036800
1479,5451396,1487,128368,108209,1477,1248000,1480,1017600,1482,1017600,1484,1017600,1486,1017600,1487,1017600,1489,787200,1490,787200
1581,5451932,1590,128368,108209,1578,576000,1582,768000,1585,768000,1587,768000,1589,768000,1591,768000,1595,787200,1597,787200
1685,5451768,1694,128368,108209,1682,1017600,1685,1017600,1687,1017600,1690,1017600,1693,1017600,1695,1017600,1697,787200,1703,787200
1785,5452352,1794,128368,108209,1780,1804800,1785,1804800,1786,1804800,1788,1804800,1793,1804800,1796,1804800,1797,787200,1798,787200
1882,5454116,1890,128368,108209,1881,1804800,1883,1804800,1886,1804800,1888,1804800,1889,1804800,1890,1804800,1891,787200,1892,787200
1983,5455024,1990,128368,108209,1981,1804800,1984,1804800,1985,1804800,1986,1804800,1987,1804800,1990,1804800,1991,787200,1993,787200
2084,5455572,2091,128368,108209,2082,1248000,2085,1248000,2087,1248000,2088,1248000,2090,1248000,2091,1248000,2093,787200,2094,787200
2188,5456076,2200,128368,108209,2184,768000,2189,768000,2191,768000,2195,768000,2198,768000,2201,1248000,2203,787200,2204,787200
2286,5445800,2294,128368,108209,2283,1708800,2287,1708800,2288,1708800,2291,1708800,2292,1708800,2294,1708800,2296,787200,2297,787200
2387,5446556,2398,128368,108209,2384,576000,2388,576000,2391,576000,2393,576000,2396,576000,2399,768000,2401,787200,2403,787200
2487,5449776,2496,128368,108209,2485,1804800,2487,1804800,2489,1804800,2490,1804800,2491,1804800,2496,1804800,2497,2208000,2499,2208000
