Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
57,5346948,63,0,0,56,1804800,58,1804800,59,1804800,60,1804800,62,1804800,63,1804800,65,2208000,66,2208000
158,5348492,162,0,0,156,1804800,158,1804800,159,1804800,160,1804800,161,1804800,163,1804800,164,2208000,165,2208000
258,5349784,261,256736,243297,256,1804800,258,1804800,259,1804800,260,1804800,260,1804800,261,1804800,262,1248000,263,1248000
358,5350792,362,256736,243297,357,1804800,359,1804800,360,1804800,360,1804800,361,1804800,362,1804800,363,1248000,364,1248000
459,5351548,462,256736,243297,457,1804800,459,1804800,460,1804800,461,1804800,461,1804800,462,1804800,464,1248000,464,1248000
560,5352336,565,256736,243297,558,1804800,560,1804800,562,1804800,563,1804800,565,1804800,566,1804800,567,1248000,567,1248000
660,5352844,663,256736,243297,658,1804800,660,1804800,661,1804800,661,1804800,662,1804800,663,1804800,664,1248000,665,1248000
761,5353912,766,256736,243297,759,1804800,762,1804800,763,1804800,765,1804800,766,1804800,767,1804800,768,1248000,769,1248000
861,5354668,864,256736,243297,859,1804800,861,1804800,862,1804800,863,1804800,864,1804800,865,1804800,865,1248000,866,1248000
961,5355676,964,256736,243297,960,1804800,961,1804800,962,1804800,963,1804800,963,1804800,964,1804800,965,1248000,966,1248000
1062,5356716,1066,256736,243297,1061,1804800,1063,1804800,1064,1804800,1065,1804800,1065,1804800,1066,1804800,1067,1248000,1068,1248000
1162,5358040,1166,256736,243297,1161,1804800,1163,1804800,1164,1804800,1165,1804800,1166,1804800,1167,1804800,1167,1248000,1168,1248000
1263,5359048,1268,256736,243297,1261,1248000,1264,1248000,1265,1248000,1266,1248000,1268,1248000,1269,1516800,1270,1036800,1272,1036800
1364,5359804,1369,256736,243297,1362,1248000,1364,1248000,1366,1248000,1367,1248000,1368,1248000,1369,1324800,1371,1036800,1372,1036800
1467,5360080,1477,256736,243297,1465,1248000,1468,1248000,1471,1324800,1473,1324800,1475,1324800,1477,1324800,1480,787200,1483,787200
1567,5360300,1578,256736,243297,1563,576000,1568,576000,1571,576000,1573,576000,1576,576000,1579,576000,1583,787200,1585,787200
1668,5361340,1676,256736,243297,1664,576000,1669,576000,1671,768000,1672,768000,1674,768000,1676,768000,1678,787200,1682,787200
1768,5361868,1776,128368,114929,1765,576000,1769,768000,1771,768000,1774,768000,1775,768000,1777,768000,1779,787200,1781,787200
1869,5362876,1881,128368,114929,1866,576000,1871,576000,1873,576000,1877,576000,1879,576000,1882,576000,1884,787200,1886,787200
1969,5364160,1979,33598,20159,1966,768000,1970,576000,1972,576000,1975,576000,1977,576000,1979,576000,1981,1555200,1984,1555200
2071,5363948,2081,0,0,2068,576000,2072,576000,2075,576000,2077,576000,2080,576000,2082,576000,2087,787200,2089,787200
2172,5365460,2178,0,0,2169,1017600,2172,1017600,2174,1017600,2176,1017600,2177,1017600,2178,1017600,2180,787200,2183,787200
2272,5355328,2277,0,0,2270,1248000,2273,1248000,2274,1248000,2275,1248000,2276,1248000,2278,1248000,2279,787200,2281,787200
2375,5355608,2383,0,0,2371,576000,2375,576000,2377,576000,2379,576000,2381,576000,2384,576000,2386,787200,2388,787200
2477,5355988,2486,0,0,2473,576000,2478,576000,2480,576000,2482,576000,2484,576000,2487,576000,2489,787200,2490,787200
2576,5356344,2583,0,0,2574,768000,2577,768000,2578,768000,2580,768000,2582,768000,2584,768000,2585,787200,2587,787200
2686,5356712,2693,0,0,2676,576000,2687,576000,2689,1248000,2690,1248000,2692,1248000,2694,1248000,2695,787200,2696,787200
2782,5357248,2790,0,0,2779,768000,2783,768000,2785,768000,2787,768000,2789,768000,2790,1017600,2792,787200,2793,787200
2884,5357816,2893,67197,53758,2880,1017600,2885,1017600,2887,1017600,2889,768000,2892,768000,2894,768000,2895,787200,2897,787200
2984,5358824,2989,67197,53758,2981,1248000,2984,1248000,2986,1248000,2987,1248000,2988,1248000,2989,1017600,2991,787200,2992,787200
3085,5359132,3095,67197,53758,3082,768000,3086,768000,3088,768000,3091,576000,3093,576000,3095,576000,3098,787200,3101,787200
3186,5360076,3191,67197,53758,3183,1017600,3187,1017600,3188,1017600,3189,1017600,3190,1017600,3192,1017600,3193,787200,3194,787200
