device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw),CPU1 Frequency [kHz],CPU2 Frequency [kHz],CPU3 Frequency [kHz],CPU4 Frequency [kHz],CPU5 Frequency [kHz],CPU6 Frequency [kHz],CPU7 Frequency [kHz],CPU8 Frequency [kHz],Memory Usage [KB]
temp,https-www-skysports-com,brave,106181.80952380953,119437.96598639456,1095567.5675675676,1088302.7027027027,1080259.4594594594,1078313.5135135136,1067416.2162162163,1070236.7346938776,1104326.530612245,1110857.142857143,5392860.3513513515
temp,https-www-tinder-com,brave,54721.23312665874,56332.34532311654,696259.4594594594,696908.1081081082,700151.3513513514,709232.4324324324,719870.2702702703,754897.2972972973,803286.4864864865,803286.4864864865,5370207.432432433
temp,https-www-pornhub-com,brave,48654.33645745631,0.0,743575.5102040817,752979.5918367347,756244.8979591837,763428.5714285715,768914.2857142857,831437.8378378379,814702.7027027027,814702.7027027027,5351624.217687075
temp,https-www-amazon-com,brave,23319.506756756757,104110.22297297297,1124367.5675675676,1142270.2702702703,1142140.5405405406,1160432.4324324324,1185859.4594594594,1193254.054054054,1130983.7837837837,1122681.0810810812,5437896.675675675
temp,https-www-mit-edu,brave,28099.72789115646,72568.52380952382,1128881.6326530613,1137632.6530612244,1145861.224489796,1152391.836734694,1179428.5714285714,1193030.1369863013,933172.6027397261,932252.0547945206,5442534.013605442
temp,https-www-wikipedia-com,brave,97069.03496503497,109568.24475524476,1280400.0,1301034.965034965,1304391.6083916083,1319026.5734265735,1330170.6293706293,1371658.7412587414,1030623.7762237763,1032369.2307692308,5431572.055555556
temp,https-www-paypal-com,brave,23968.22341678445,0.0,871264.8648648649,863870.2702702703,867632.4324324324,871264.8648648649,893318.9189189189,920816.3265306122,798171.4285714285,798171.4285714285,5381802.972972973
temp,https-www-theatlantic-com,brave,30007.610738255033,133281.73825503356,1178158.389261745,1186276.5100671141,1197100.6711409397,1208569.1275167784,1207795.9731543625,1231634.899328859,1143495.3020134228,1151355.7046979866,5433884.0
temp,https-www-cic-gc-ca,brave,32280.23166741643,0.0,761170.4697986577,756531.543624161,751763.7583892618,751763.7583892618,754340.9395973154,773025.5033557047,825084.5637583892,815548.9932885906,5330601.288590604
temp,https-udemy-com,brave,23776.98793411772,86036.29931972788,1153816.2162162163,1144994.5945945946,1136172.972972973,1120086.4864864864,1127706.1224489796,1142334.693877551,1559118.3673469387,1554024.4897959183,5381211.27027027
temp,https-www-pcgamer-com,brave,72635.77300987673,0.0,958067.1140939597,971855.033557047,981390.6040268457,1004585.2348993289,1011028.187919463,1050845.6375838926,813487.2483221476,813487.2483221476,5344779.973154362
temp,https-www-stackoverflow-com,brave,96663.41891891892,106606.21621621621,1102962.1621621621,1107113.5135135136,1103610.810810811,1114378.3783783785,1116454.054054054,1127351.3513513512,939102.0408163265,935967.3469387755,5333498.918918919
temp,https-www-nbcnews-com,brave,128156.8445945946,139041.86486486485,1138340.9395973154,1133708.1081081082,1124627.027027027,1133059.4594594594,1139286.4864864864,1169772.972972973,1130205.4054054054,1141362.1621621621,5437892.187919463
temp,https-www-wordpress-org,brave,88942.53691275168,95526.25503355704,1072880.5369127516,1053293.9597315437,1052778.523489933,1064375.8389261744,1079194.6308724831,1117208.0536912752,973143.6241610738,968691.8918918918,5442683.248322148
temp,https-archive-org,brave,1717.8187919463087,88322.26845637584,1224192.0,1228800.0,1240655.033557047,1247613.422818792,1257406.711409396,1276091.2751677851,942346.3087248323,942346.3087248323,5428163.706666667
temp,https-www-youtube-com,brave,80984.29054054055,96534.71621621621,1097750.3355704697,1097492.6174496645,1112826.8456375839,1120300.6711409397,1127481.0810810812,1146551.3513513512,955718.9189189189,956497.2972972973,5447219.463087249
temp,https-www-kickstarter-com,brave,83257.24137931035,94691.8551724138,1101764.3835616438,1083277.2413793104,1086322.7586206896,1088044.1379310344,1113335.1724137932,1121147.5862068965,1010846.8965517242,1007801.3793103448,5441400.993103448
temp,https-www-bookmyshow-com,brave,82020.7602739726,92732.72602739726,1137402.7397260275,1132273.9726027397,1132142.4657534247,1144635.6164383562,1156602.7397260275,1171857.5342465753,953687.6712328767,950531.506849315,5387066.219178082
temp,https-alibabacloud-com,brave,49653.95918367347,68167.32653061225,1139805.4054054054,1139156.7567567567,1140375.5102040817,1150955.1020408163,1149126.530612245,1181126.530612245,934530.612244898,935575.5102040817,5404887.837837838
temp,https-finance-yahoo-com,brave,21432.349852171834,72252.27702702703,1107243.2432432433,1098421.6216216215,1105556.7567567567,1118529.7297297297,1152389.189189189,1180929.7297297297,1021102.7027027027,1021102.7027027027,5417811.594594595
