Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
69,5392972,75,0,0,67,1804800,69,1804800,71,1804800,72,1804800,73,1804800,75,1804800,77,2208000,79,2208000
169,5386104,173,0,0,167,1804800,169,1804800,170,1804800,171,1804800,172,1804800,173,1804800,174,2208000,176,2208000
269,5386884,273,0,0,268,1804800,270,1804800,271,1804800,272,1804800,273,1804800,274,1804800,275,1900800,276,1900800
370,5392176,374,0,0,368,1804800,370,1804800,371,1804800,372,1804800,373,1804800,374,1804800,376,1900800,377,1900800
470,5395848,473,0,0,469,1804800,470,1804800,471,1804800,472,1804800,472,1804800,473,1804800,474,1900800,475,1900800
571,5396888,576,0,0,569,1804800,571,1804800,573,1804800,574,1804800,575,1804800,577,1804800,579,1900800,580,1900800
672,5399640,678,0,0,670,1804800,672,1804800,674,1804800,676,1804800,677,1804800,679,1804800,680,1900800,682,1900800
772,5402548,775,128368,108209,770,1804800,772,1804800,773,1804800,774,1804800,775,1804800,776,1804800,776,1900800,777,1900800
872,5401540,876,128368,108209,871,1804800,872,1804800,873,1804800,874,1804800,875,1804800,876,1804800,877,1900800,878,1900800
974,5402100,979,128368,108209,971,1804800,975,1804800,976,1804800,977,1804800,978,1804800,979,1804800,980,1900800,980,1900800
1074,5402888,1079,128368,108209,1072,1804800,1075,1804800,1076,1804800,1078,1804800,1079,1804800,1080,1804800,1080,1900800,1081,1900800
1174,5403224,1178,128368,108209,1172,1804800,1174,1804800,1176,1804800,1176,1804800,1177,1804800,1178,1804800,1179,1900800,1180,1900800
1275,5403764,1280,128368,108209,1273,1248000,1276,1248000,1277,1248000,1278,1248000,1279,1248000,1281,1248000,1282,1248000,1283,1248000
1376,5404268,1382,128368,108209,1374,1324800,1377,1324800,1378,1324800,1380,1324800,1381,1324800,1383,1248000,1384,1248000,1386,1248000
1477,5404596,1482,33598,13439,1474,1804800,1478,1804800,1479,1804800,1480,1804800,1481,1804800,1482,1248000,1484,787200,1484,787200
1579,5405164,1587,33598,13439,1575,576000,1580,576000,1583,1248000,1584,1248000,1586,1248000,1588,1248000,1589,787200,1591,787200
1680,5406376,1689,33598,13439,1677,1017600,1681,1017600,1684,1017600,1686,1017600,1687,1017600,1690,1017600,1691,787200,1692,787200
1780,5406912,1787,33598,13439,1778,1017600,1781,1017600,1782,1248000,1784,1248000,1785,1248000,1788,1248000,1789,787200,1790,787200
1881,5408204,1887,33598,13439,1878,1017600,1881,1017600,1883,1248000,1884,1248000,1886,1248000,1887,1248000,1888,787200,1889,787200
1982,5408520,1991,50398,30239,1979,768000,1983,768000,1984,768000,1987,768000,1989,768000,1992,768000,1994,787200,1996,787200
2082,5409404,2089,50398,30239,2080,1248000,2082,1516800,2084,1516800,2085,1516800,2086,1516800,2090,1516800,2091,787200,2092,787200
2183,5410412,2192,50398,30239,2181,576000,2184,768000,2186,768000,2189,768000,2190,768000,2192,768000,2195,787200,2196,787200
2284,5411144,2294,50398,30239,2282,768000,2285,768000,2287,768000,2290,768000,2292,768000,2295,768000,2297,787200,2299,787200
2386,5412152,2399,50398,30239,2383,768000,2389,768000,2393,768000,2395,768000,2397,768000,2399,768000,2402,1248000,2404,1248000
2485,5413564,2491,50398,30239,2484,1804800,2486,1804800,2487,1804800,2488,1804800,2489,1804800,2492,1804800,2495,787200,2500,787200
2589,5400232,2596,50398,30239,2586,768000,2590,768000,2591,768000,2593,768000,2595,768000,2597,768000,2598,787200,2600,787200
2690,5400872,2699,50398,30239,2688,768000,2691,768000,2692,768000,2695,768000,2697,768000,2699,768000,2701,787200,2703,787200
2791,5401224,2802,50398,30239,2788,576000,2792,576000,2795,576000,2798,576000,2800,576000,2802,1248000,2804,787200,2806,787200
2892,5401760,2903,50398,30239,2889,576000,2893,576000,2897,576000,2899,576000,2901,576000,2903,1248000,2905,787200,2908,787200
2991,5401988,2997,67197,47038,2989,1248000,2991,1248000,2993,1248000,2995,1248000,2996,1248000,2997,1248000,2998,787200,2999,787200
3093,5402428,3107,67197,47038,3090,576000,3096,576000,3099,576000,3101,576000,3105,768000,3108,768000,3110,787200,3112,787200
3195,5402708,3205,67197,47038,3191,576000,3196,576000,3199,576000,3201,576000,3204,576000,3206,576000,3209,787200,3211,787200
