Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
23,5397528,26,0,0,7,1804800,23,1804800,24,1804800,24,1804800,25,1804800,26,1804800,27,2208000,28,2208000
109,5399132,116,0,0,108,1804800,110,1804800,111,1804800,112,1804800,114,1804800,116,1804800,117,2208000,118,2208000
209,5402440,213,0,0,208,1804800,210,1804800,211,1804800,212,1804800,212,1804800,213,1804800,214,2208000,215,2208000
310,5404236,313,0,0,308,1804800,310,1804800,311,1804800,312,1804800,313,1804800,314,1804800,315,1900800,315,1900800
410,5405748,414,0,0,409,1804800,411,1804800,412,1804800,413,1804800,413,1804800,414,1804800,415,1900800,416,1900800
511,5406252,521,0,0,509,1804800,511,1804800,512,1804800,519,1804800,520,1804800,521,1804800,522,1900800,531,1900800
612,5407512,616,0,0,610,1804800,612,1804800,613,1804800,614,1804800,615,1804800,616,1804800,617,1900800,618,1900800
722,5410852,726,0,0,711,1804800,722,1804800,723,1804800,725,1804800,726,1804800,727,1804800,728,1900800,729,1900800
813,5409032,816,0,0,811,1804800,813,1804800,814,1804800,815,1804800,815,1804800,816,1804800,817,1900800,818,1900800
913,5409788,916,128368,6118,912,1804800,913,1804800,914,1804800,915,1804800,916,1804800,916,1804800,917,1900800,918,1900800
1014,5410424,1017,128368,6118,1012,1804800,1014,1804800,1015,1804800,1016,1804800,1016,1804800,1017,1804800,1018,1900800,1019,1900800
1114,5411032,1117,128368,6118,1113,1804800,1114,1804800,1115,1804800,1116,1804800,1117,1804800,1117,1804800,1118,1900800,1119,1900800
1215,5411788,1219,128368,6118,1214,1804800,1216,1804800,1217,1804800,1217,1804800,1218,1804800,1219,1804800,1220,1900800,1220,1900800
1316,5412608,1320,128368,6118,1314,1248000,1316,1248000,1317,1248000,1319,1248000,1320,1248000,1321,1248000,1322,1248000,1323,1248000
1416,5413456,1421,128368,6118,1414,1324800,1417,1324800,1418,1324800,1419,1324800,1420,1324800,1421,1324800,1422,1248000,1423,1248000
1517,5414512,1522,128368,6118,1515,1248000,1518,1248000,1519,1248000,1520,1248000,1521,1248000,1523,1248000,1524,1248000,1525,1248000
1619,5414848,1629,128368,6118,1616,1017600,1619,1017600,1622,1017600,1626,1017600,1628,1017600,1630,1017600,1632,787200,1634,787200
1719,5415352,1724,128368,6118,1717,1248000,1720,1248000,1721,1248000,1722,1248000,1723,1248000,1725,1248000,1726,787200,1728,787200
1820,5416360,1828,128368,6118,1817,768000,1821,768000,1822,768000,1824,768000,1826,768000,1829,768000,1830,787200,1832,787200
1921,5417116,1932,128368,6118,1918,576000,1922,576000,1925,576000,1928,576000,1930,576000,1933,1248000,1934,787200,1936,787200
2022,5417620,2032,128368,6118,2019,576000,2023,576000,2025,576000,2027,576000,2030,576000,2032,768000,2035,787200,2036,787200
2123,5417652,2139,128368,6118,2120,576000,2124,576000,2129,576000,2135,1248000,2137,1248000,2139,1248000,2141,787200,2142,787200
