Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
32,5455668,36,0,0,14,1804800,33,1804800,34,1804800,35,1804800,36,1804800,37,1804800,38,2208000,38,2208000
116,5457860,122,0,0,114,1804800,116,1804800,118,1804800,120,1804800,121,1804800,123,1804800,124,2208000,125,2208000
216,5450440,222,0,0,215,1804800,216,1804800,218,1804800,219,1804800,220,1804800,222,1804800,224,2208000,225,2208000
318,5453660,323,0,0,316,1804800,319,1804800,320,1804800,321,1804800,322,1804800,323,1804800,325,1900800,326,1900800
418,5455204,425,0,0,417,1804800,419,1804800,421,1804800,423,1804800,424,1804800,425,1804800,426,1900800,427,1900800
520,5455680,525,0,0,517,1804800,520,1804800,521,1804800,522,1804800,524,1804800,525,1804800,527,1900800,528,1900800
620,5456412,625,0,0,617,1804800,620,1804800,622,1804800,623,1804800,625,1804800,626,1804800,627,1900800,628,1900800
720,5456520,723,0,0,718,1804800,720,1804800,721,1804800,722,1804800,723,1804800,723,1804800,724,1900800,725,1900800
821,5456932,825,0,0,819,1804800,821,1804800,822,1804800,822,1804800,824,1804800,825,1804800,826,1900800,827,1900800
921,5457880,927,0,0,920,1804800,922,1804800,923,1804800,924,1804800,926,1804800,927,1804800,928,1900800,929,1900800
1022,5460024,1026,128368,0,1020,1804800,1022,1804800,1023,1804800,1024,1804800,1025,1804800,1026,1804800,1027,1900800,1028,1900800
1123,5460332,1128,128368,0,1121,1804800,1124,1804800,1125,1804800,1126,1804800,1127,1804800,1128,1804800,1129,1900800,1129,1900800
1223,5461056,1226,128368,0,1221,1804800,1223,1804800,1224,1804800,1225,1804800,1225,1804800,1226,1804800,1227,1900800,1228,1900800
1324,5462568,1331,128368,0,1322,1248000,1325,1248000,1326,1248000,1328,1248000,1330,1248000,1332,1324800,1333,1248000,1334,1248000
1425,5463428,1431,128368,0,1422,1248000,1426,1248000,1428,1248000,1429,1248000,1431,1324800,1432,1324800,1433,1248000,1435,1248000
1525,5464656,1533,128368,0,1523,1248000,1526,1248000,1528,1248000,1530,1248000,1532,1324800,1533,1324800,1536,1248000,1537,1248000
1627,5464940,1645,128368,0,1624,576000,1629,576000,1634,1248000,1638,1248000,1642,1248000,1646,1248000,1649,787200,1655,787200
1733,5457584,1754,128368,0,1728,768000,1735,768000,1743,768000,1748,768000,1753,1248000,1755,1248000,1757,787200,1759,787200
1830,5458544,1839,128368,0,1825,1017600,1832,1516800,1834,1516800,1837,1516800,1838,1516800,1840,1516800,1842,787200,1844,787200
1929,5459616,1941,128368,0,1926,1017600,1930,1017600,1932,1324800,1935,1324800,1939,1324800,1941,1324800,1945,787200,1946,787200
2031,5459868,2041,128368,0,2028,576000,2031,576000,2034,576000,2037,576000,2039,576000,2042,576000,2044,787200,2046,787200
2135,5460372,2154,128368,0,2131,576000,2136,576000,2139,576000,2141,576000,2151,576000,2154,1248000,2157,787200,2158,787200
2233,5464404,2240,128368,0,2231,1516800,2234,1516800,2235,1516800,2237,1516800,2239,1516800,2241,1516800,2242,1248000,2243,1248000
2334,5457096,2345,128368,0,2332,1804800,2335,1804800,2338,1804800,2342,1804800,2343,1804800,2346,1804800,2347,787200,2349,787200
2436,5457756,2446,128368,0,2432,576000,2437,576000,2440,576000,2442,576000,2445,576000,2448,576000,2450,787200,2452,787200
2536,5459208,2543,80132,0,2533,1248000,2536,1248000,2539,1248000,2540,1248000,2541,1248000,2543,1248000,2545,787200,2546,787200
2638,5460244,2647,80132,0,2635,768000,2639,768000,2641,768000,2643,768000,2645,768000,2648,768000,2651,787200,2652,787200
