Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
23,5353900,26,0,0,8,1804800,23,1804800,24,1804800,24,1804800,25,1804800,26,1804800,26,2208000,27,2208000
110,5355580,114,0,0,108,1804800,110,1804800,112,1804800,113,1804800,113,1804800,114,1804800,115,2208000,116,2208000
211,5357220,215,0,0,209,1804800,211,1804800,212,1804800,213,1804800,214,1804800,215,1804800,216,1900800,217,1900800
311,5360244,316,0,0,309,1804800,311,1804800,312,1804800,313,1804800,315,1804800,317,1804800,318,1900800,319,1900800
411,5361064,417,0,0,410,1804800,411,1804800,413,1804800,414,1804800,415,1804800,417,1804800,418,1900800,419,1900800
511,5362324,515,0,0,510,1804800,512,1804800,512,1804800,513,1804800,514,1804800,515,1804800,516,1900800,517,1900800
612,5363112,615,0,0,610,1804800,612,1804800,613,1804800,613,1804800,614,1804800,616,1804800,617,1900800,617,1900800
712,5366704,716,0,0,711,1804800,713,1804800,714,1804800,714,1804800,715,1804800,716,1804800,717,1900800,718,1900800
813,5367996,817,0,0,811,1804800,813,1804800,814,1804800,815,1804800,816,1804800,818,1804800,818,1900800,819,1900800
913,5368532,918,0,0,912,1804800,914,1804800,915,1804800,916,1804800,917,1804800,918,1804800,919,1900800,920,1900800
1014,5370296,1020,0,0,1012,1804800,1015,1804800,1017,1804800,1018,1804800,1019,1804800,1020,1804800,1022,1900800,1023,1900800
1116,5370832,1121,128368,0,1114,1804800,1116,1804800,1118,1804800,1119,1804800,1120,1804800,1121,1804800,1122,1900800,1123,1900800
1217,5371652,1224,128368,0,1214,1516800,1218,1248000,1220,1248000,1221,1248000,1223,1248000,1224,1248000,1226,1248000,1227,1248000
1317,5372724,1326,128368,0,1314,1248000,1318,1248000,1320,1248000,1322,1248000,1325,1248000,1326,1804800,1328,1248000,1329,1248000
1418,5373764,1423,128368,0,1415,1248000,1419,1248000,1420,1248000,1421,1248000,1422,1248000,1423,1248000,1424,1248000,1425,1248000
1519,5374300,1529,128368,0,1516,1248000,1520,1017600,1522,1017600,1524,1017600,1527,1017600,1529,1017600,1531,787200,1533,787200
1624,5375248,1638,128368,0,1620,576000,1625,576000,1628,576000,1632,576000,1635,576000,1638,1248000,1640,787200,1642,787200
1725,5375816,1732,33598,0,1721,1248000,1726,1248000,1728,1248000,1729,1248000,1731,1248000,1733,1248000,1735,787200,1738,787200
1827,5376604,1838,33598,0,1822,1248000,1828,1248000,1830,1248000,1832,1248000,1835,1248000,1838,1516800,1840,787200,1841,787200
1930,5377392,1940,33598,0,1927,1017600,1931,1017600,1934,1017600,1936,1017600,1939,1324800,1941,1324800,1943,787200,1946,787200
2031,5378608,2039,33598,0,2028,1017600,2031,1017600,2033,1017600,2035,1017600,2037,1017600,2040,1017600,2042,787200,2045,787200
2131,5379364,2138,33598,0,2128,1612800,2132,1612800,2133,1612800,2135,1612800,2136,1612800,2138,1324800,2140,1401600,2141,1401600
2233,5379552,2242,33598,0,2230,576000,2234,576000,2236,576000,2238,768000,2241,768000,2243,768000,2245,787200,2247,787200
2332,5381348,2339,33598,0,2330,1804800,2333,1804800,2335,1804800,2336,1804800,2338,1804800,2340,1804800,2342,979200,2344,979200
2432,5382104,2437,67197,0,2431,1804800,2432,1804800,2434,1804800,2435,1804800,2436,1804800,2437,1804800,2438,979200,2439,1248000
2536,5381852,2547,67197,0,2532,576000,2537,576000,2540,576000,2542,576000,2545,576000,2547,576000,2550,787200,2552,787200
2637,5382356,2646,67197,0,2633,576000,2638,576000,2640,576000,2643,576000,2645,576000,2647,576000,2649,787200,2651,787200
2736,5368876,2742,67197,0,2734,1248000,2737,1248000,2738,1516800,2740,1516800,2741,1516800,2743,1516800,2744,787200,2745,787200
2838,5369004,2846,67197,0,2835,576000,2839,1248000,2840,1248000,2843,1248000,2845,1248000,2846,1248000,2849,787200,2851,787200
2938,5369600,2955,67197,0,2936,1324800,2939,1708800,2941,1804800,2943,1804800,2954,1804800,2956,1804800,2957,787200,2959,787200
3040,5363120,3047,67197,0,3036,1612800,3041,1248000,3043,1248000,3045,1248000,3046,1248000,3048,1248000,3049,787200,3051,787200
3141,5363396,3156,67197,0,3138,576000,3142,576000,3145,576000,3148,576000,3154,576000,3157,576000,3159,787200,3161,787200
3239,5352908,3245,67197,0,3238,1248000,3240,1248000,3241,1248000,3242,1248000,3244,1248000,3245,1248000,3246,1555200,3247,1555200
3341,5356880,3349,67197,0,3339,768000,3342,768000,3344,768000,3345,768000,3347,768000,3350,768000,3353,787200,3355,787200
3443,5356692,3455,50398,0,3440,576000,3444,576000,3446,576000,3450,576000,3453,576000,3455,576000,3458,787200,3459,787200
3545,5356692,3558,50398,0,3541,576000,3548,576000,3551,576000,3554,576000,3556,576000,3558,768000,3561,787200,3563,787200
3644,5355716,3653,50398,0,3641,1804800,3645,1804800,3647,1804800,3648,1804800,3651,1804800,3653,1804800,3654,787200,3655,787200
3745,5355612,3748,50398,0,3743,576000,3745,576000,3746,576000,3747,576000,3748,576000,3749,576000,3751,787200,3752,787200
3847,5355612,3857,50398,0,3843,576000,3848,576000,3850,576000,3852,576000,3855,576000,3857,576000,3861,787200,3864,787200
3950,5356116,3965,50398,0,3947,576000,3951,576000,3953,576000,3956,576000,3961,576000,3966,576000,3968,787200,3970,787200
4050,5356904,4062,50398,0,4047,768000,4051,768000,4054,768000,4057,768000,4059,576000,4062,576000,4064,787200,4066,787200
4150,5358448,4155,50398,0,4148,1612800,4151,1612800,4153,1612800,4154,1612800,4155,1612800,4156,1612800,4157,787200,4159,787200
4252,5357696,4265,50398,0,4249,768000,4253,768000,4257,768000,4260,576000,4262,576000,4266,576000,4273,787200,4281,787200
4355,5357560,4361,50398,0,4351,1248000,4355,1248000,4356,1248000,4358,1017600,4360,1017600,4361,1017600,4363,787200,4367,787200
4455,5358088,4461,50398,0,4452,1248000,4455,1248000,4457,1248000,4458,1017600,4460,1017600,4461,1017600,4463,787200,4464,787200
4559,5358340,4571,83997,0,4554,1017600,4560,1017600,4562,1017600,4565,1017600,4569,1017600,4572,1017600,4574,787200,4576,787200
4657,5358844,4671,83997,0,4653,1017600,4658,576000,4662,576000,4664,576000,4667,576000,4671,576000,4674,787200,4676,787200
4758,5359380,4768,83997,0,4754,768000,4758,576000,4761,576000,4763,576000,4765,576000,4769,576000,4771,787200,4773,787200
4858,5360364,4866,83997,0,4856,1248000,4859,768000,4861,768000,4862,768000,4864,768000,4869,768000,4871,787200,4873,787200
4962,5360868,4971,83997,0,4959,768000,4963,768000,4965,768000,4968,768000,4970,768000,4972,768000,4973,787200,4975,787200
5063,5361908,5075,83997,0,5060,1017600,5064,1017600,5068,1017600,5072,1017600,5074,1017600,5076,1017600,5077,787200,5078,787200
5170,5362412,5182,83997,0,5162,768000,5172,768000,5175,768000,5177,768000,5179,1248000,5184,1248000,5188,787200,5190,787200
5267,5363264,5275,83997,0,5262,768000,5268,768000,5270,768000,5272,768000,5274,768000,5276,768000,5278,787200,5279,787200
5366,5363892,5374,83997,0,5363,1017600,5367,1017600,5370,1017600,5371,1017600,5373,1017600,5374,1017600,5376,787200,5377,787200
5467,5364648,5475,83997,0,5464,768000,5468,768000,5470,768000,5472,768000,5474,768000,5475,768000,5477,787200,5478,787200
5568,5365404,5578,100796,0,5564,1017600,5569,1017600,5573,1017600,5574,1017600,5576,1017600,5580,1017600,5583,787200,5585,787200
5671,5366380,5675,100796,0,5668,1708800,5671,1708800,5673,1708800,5673,1708800,5674,1708800,5675,1708800,5676,787200,5677,787200
5775,5366632,5795,100796,0,5771,576000,5776,576000,5779,576000,5784,576000,5792,576000,5795,576000,5801,787200,5804,787200
5873,5368548,5886,100796,0,5870,1516800,5874,1516800,5877,1516800,5882,1804800,5884,1804800,5887,1804800,5888,787200,5889,787200
5971,5341588,5974,100796,0,5970,1804800,5971,1804800,5972,1804800,5973,1804800,5974,1804800,5975,1804800,5975,1766400,5976,1766400
