Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
30,5464240,33,0,0,15,1804800,30,1804800,31,1804800,32,1804800,32,1804800,34,1804800,35,2208000,35,2208000
118,5465248,126,0,0,115,1804800,118,1804800,120,1804800,122,1804800,123,1804800,127,1804800,129,2208000,131,2208000
218,5444428,224,0,0,216,1804800,219,1804800,220,1804800,222,1804800,223,1804800,225,1804800,227,2208000,228,2208000
318,5446224,322,0,0,316,1804800,318,1804800,320,1804800,321,1804800,322,1804800,323,1804800,324,1900800,325,1900800
421,5446792,425,0,0,419,1804800,421,1804800,423,1804800,424,1804800,425,1804800,426,1804800,426,1900800,427,1900800
524,5448084,529,0,0,522,1804800,525,1804800,526,1804800,527,1804800,528,1804800,529,1804800,530,1900800,530,1900800
622,5448432,628,128368,36228,620,1804800,623,1804800,625,1804800,627,1804800,627,1804800,628,1804800,629,1900800,631,1900800
723,5451076,726,128368,36228,721,1804800,723,1804800,724,1804800,725,1804800,726,1804800,727,1804800,728,1900800,729,1900800
823,5451792,826,128368,36228,821,1804800,823,1804800,824,1804800,824,1804800,825,1804800,826,1804800,827,1900800,828,1900800
924,5452592,927,128368,36228,922,1804800,924,1804800,925,1804800,926,1804800,927,1804800,927,1804800,928,1900800,929,1900800
1024,5453348,1029,128368,36228,1023,1804800,1025,1804800,1026,1804800,1027,1804800,1028,1804800,1029,1804800,1030,1900800,1031,1900800
1124,5454160,1127,128368,36228,1123,1804800,1125,1804800,1126,1804800,1126,1804800,1127,1804800,1128,1804800,1128,1900800,1129,1900800
1225,5454720,1228,128368,36228,1223,1804800,1225,1804800,1226,1804800,1227,1804800,1227,1804800,1228,1804800,1229,1900800,1230,1900800
1327,5455476,1334,128368,36228,1324,1248000,1328,1248000,1329,1248000,1331,1248000,1333,1248000,1335,1248000,1337,1248000,1338,1248000
1427,5456288,1431,128368,36228,1425,1324800,1427,1324800,1429,1324800,1430,1324800,1431,1324800,1432,1324800,1433,1248000,1434,1248000
1530,5457548,1538,128368,36228,1527,1248000,1531,1248000,1533,1248000,1536,1248000,1538,1248000,1539,1248000,1540,1248000,1542,1248000
1631,5457824,1643,128368,36228,1629,768000,1632,768000,1635,768000,1637,768000,1641,768000,1644,768000,1647,787200,1648,787200
1734,5457824,1745,128368,36228,1730,768000,1735,768000,1738,768000,1740,768000,1742,768000,1745,1248000,1747,787200,1749,787200
1835,5458432,1846,128368,36228,1832,576000,1836,576000,1840,576000,1842,576000,1845,768000,1847,768000,1850,787200,1852,787200
1936,5458684,1945,128368,36228,1933,576000,1937,576000,1939,576000,1942,576000,1944,576000,1946,1248000,1949,787200,1950,787200
2042,5459164,2055,128368,36228,2037,576000,2043,576000,2046,768000,2051,768000,2054,768000,2056,768000,2059,787200,2061,787200
2142,5459696,2151,128368,36228,2139,768000,2142,768000,2145,768000,2147,768000,2149,768000,2154,768000,2157,787200,2159,787200
2243,5460240,2268,128368,36228,2240,576000,2244,576000,2258,768000,2263,768000,2266,1248000,2269,1248000,2272,787200,2275,787200
2350,5461468,2358,128368,36228,2347,1248000,2351,1248000,2353,1248000,2355,1248000,2356,1248000,2358,1248000,2360,787200,2362,787200
2450,5449436,2457,128368,36228,2447,1516800,2450,1516800,2452,1516800,2454,1516800,2455,1516800,2457,1516800,2459,787200,2461,787200
2552,5449756,2562,128368,36228,2549,768000,2553,768000,2555,768000,2558,768000,2560,768000,2563,768000,2566,787200,2568,787200
2654,5450484,2665,80132,0,2650,576000,2655,576000,2658,576000,2661,576000,2663,576000,2666,768000,2668,787200,2670,787200
2755,5450492,2767,80132,0,2751,576000,2756,576000,2759,576000,2763,576000,2766,768000,2768,768000,2771,787200,2773,787200
2855,5451028,2868,58100,0,2852,576000,2856,576000,2861,576000,2863,576000,2866,1248000,2869,1248000,2871,787200,2874,787200
2958,5451564,2968,87150,0,2955,768000,2959,768000,2962,768000,2964,768000,2966,1017600,2969,1017600,2971,787200,2973,787200
3060,5451752,3071,87150,0,3056,768000,3061,768000,3064,768000,3067,1017600,3069,1017600,3071,1017600,3074,787200,3075,787200
3165,5452036,3177,50398,0,3161,576000,3166,576000,3170,576000,3173,576000,3175,576000,3177,576000,3180,787200,3182,787200
3263,5437764,3270,50398,0,3261,1248000,3264,1248000,3266,1248000,3268,1248000,3269,1248000,3271,1248000,3272,1248000,3286,979200
3366,5427684,3374,50398,0,3363,1324800,3367,1324800,3369,1324800,3371,1324800,3373,1324800,3375,1324800,3378,787200,3379,787200
3467,5428220,3476,50398,0,3464,768000,3468,768000,3471,768000,3473,768000,3475,768000,3477,768000,3479,787200,3481,787200
3568,5428756,3578,50398,0,3565,768000,3569,768000,3572,768000,3574,768000,3576,768000,3578,768000,3581,787200,3583,787200
3618,5429040,3626,50398,0,3615,1017600,3619,1017600,3621,1017600,3623,1017600,3625,1017600,3626,1017600,3628,787200,3629,787200
3720,5429828,3727,50398,0,3716,1017600,3720,1017600,3722,1017600,3724,1017600,3726,1017600,3727,1017600,3729,787200,3731,787200
3824,5434616,3832,50398,0,3821,1248000,3825,1516800,3826,1516800,3828,1516800,3830,1516800,3833,1516800,3835,1248000,3837,1248000
3970,5420940,3975,50398,0,3968,1708800,3970,1708800,3972,1708800,3973,1708800,3974,1708800,3976,1708800,3977,787200,3978,787200
4020,5421756,4027,67197,0,4018,1804800,4021,1804800,4022,1804800,4024,1804800,4026,1804800,4027,1804800,4029,787200,4030,787200
4123,5420776,4132,67197,0,4119,1248000,4123,1248000,4125,1017600,4127,1017600,4130,1017600,4132,1017600,4135,787200,4137,787200
4223,5421152,4232,67197,0,4220,1248000,4224,1248000,4227,1248000,4229,1248000,4231,1248000,4232,1248000,4234,787200,4236,787200
4324,5422060,4333,67197,0,4321,1248000,4325,1612800,4327,1612800,4328,1612800,4331,1612800,4333,1612800,4336,787200,4338,787200
4423,5425292,4428,67197,0,4421,1248000,4423,1248000,4425,1516800,4426,1516800,4427,1516800,4428,1516800,4429,1766400,4431,1766400
4525,5426040,4531,67197,0,4522,1516800,4525,1248000,4528,1248000,4529,1248000,4530,1248000,4532,1248000,4533,787200,4537,787200
4677,5426864,4685,67197,0,4673,768000,4677,768000,4679,768000,4681,768000,4683,768000,4686,768000,4688,787200,4689,787200
4727,5427368,4733,67197,0,4724,1248000,4727,1248000,4729,1248000,4730,1248000,4731,1248000,4734,1248000,4735,787200,4737,787200
4828,5427336,4838,67197,0,4825,1017600,4829,1017600,4831,1017600,4833,1017600,4835,1017600,4838,1017600,4840,787200,4842,787200
4928,5427588,4936,67197,0,4926,1248000,4929,1248000,4930,1248000,4932,1248000,4933,1248000,4936,1248000,4938,787200,4940,787200
5030,5428844,5042,117595,25455,5027,1017600,5031,1017600,5033,1017600,5038,1017600,5040,1017600,5043,1017600,5045,787200,5046,787200
5134,5430604,5143,117595,25455,5129,1017600,5135,1017600,5138,1017600,5139,1017600,5141,1017600,5144,1017600,5147,787200,5149,787200
