Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
63,5379960,68,0,0,61,1804800,63,1804800,64,1804800,65,1804800,67,1804800,68,1804800,69,2208000,70,2208000
163,5382068,168,0,0,161,1804800,164,1804800,165,1804800,167,1804800,168,1804800,169,1804800,170,2208000,172,2208000
263,5383580,268,0,0,262,1804800,264,1804800,265,1804800,267,1804800,268,1804800,269,1804800,270,1900800,271,1900800
364,5385596,367,0,0,362,1804800,364,1804800,365,1804800,366,1804800,367,1804800,368,1804800,368,1900800,369,1900800
464,5386100,469,0,0,463,1804800,465,1804800,466,1804800,467,1804800,468,1804800,469,1804800,470,1900800,471,1900800
565,5386952,569,0,0,563,1804800,566,1804800,566,1804800,567,1804800,568,1804800,569,1804800,570,1900800,571,1900800
665,5390132,669,0,0,664,1804800,666,1804800,667,1804800,668,1804800,669,1804800,670,1804800,670,1900800,671,1900800
766,5391172,770,0,0,764,1804800,766,1804800,767,1804800,768,1804800,769,1804800,770,1804800,771,1900800,771,1900800
867,5391896,870,0,0,865,1804800,867,1804800,868,1804800,869,1804800,870,1804800,871,1804800,871,1900800,872,1900800
967,5392904,970,0,0,965,1804800,967,1804800,968,1804800,969,1804800,970,1804800,971,1804800,972,1900800,972,1900800
1067,5394164,1071,128368,116609,1066,1804800,1068,1804800,1069,1804800,1069,1804800,1070,1804800,1071,1804800,1072,1900800,1072,1900800
1167,5394952,1171,128368,116609,1166,1804800,1168,1804800,1169,1804800,1170,1804800,1170,1804800,1171,1804800,1172,1900800,1173,1900800
1269,5395960,1276,128368,116609,1267,1248000,1270,1248000,1272,1248000,1274,1248000,1275,1248000,1277,1248000,1279,1248000,1280,1248000
1370,5396488,1375,33598,21839,1368,1248000,1370,1248000,1371,1248000,1373,1248000,1374,1248000,1376,1248000,1377,1248000,1378,1248000
1470,5397568,1476,33598,21839,1468,1248000,1471,1248000,1472,1248000,1474,1248000,1475,1248000,1476,1248000,1477,2208000,1478,2208000
1574,5388236,1581,33598,21839,1570,1017600,1574,1017600,1576,1017600,1578,1017600,1580,1017600,1582,1017600,1584,787200,1586,787200
1673,5388520,1680,33598,21839,1671,1017600,1673,1017600,1675,1017600,1677,1017600,1679,1017600,1681,1017600,1682,1766400,1684,1766400
1774,5390792,1782,33598,21839,1771,576000,1775,576000,1777,576000,1779,576000,1781,576000,1783,576000,1785,2208000,1787,2208000
1877,5368284,1888,0,0,1873,576000,1879,576000,1882,1248000,1885,1248000,1887,1248000,1889,1248000,1891,787200,1892,787200
1977,5368872,1988,0,0,1974,768000,1978,768000,1980,768000,1983,576000,1986,576000,1988,576000,1991,787200,1993,787200
2079,5369440,2091,0,0,2074,1017600,2080,1017600,2083,1017600,2087,1017600,2089,1017600,2092,1017600,2095,787200,2097,787200
2179,5370388,2190,50398,38639,2175,768000,2179,768000,2182,768000,2186,768000,2188,768000,2191,768000,2193,787200,2195,787200
2279,5371052,2288,50398,38639,2276,1017600,2280,1017600,2283,768000,2285,768000,2286,768000,2288,768000,2290,787200,2292,787200
2382,5371556,2393,50398,38639,2378,1017600,2383,768000,2387,768000,2390,768000,2392,768000,2394,768000,2397,787200,2399,787200
2482,5373380,2491,50398,38639,2479,768000,2483,768000,2487,768000,2489,768000,2490,768000,2493,768000,2496,787200,2501,787200
2584,5373948,2594,50398,38639,2580,1017600,2585,576000,2587,576000,2589,576000,2591,576000,2595,576000,2603,787200,2604,787200
2684,5374704,2694,50398,38639,2680,1017600,2684,576000,2688,576000,2690,576000,2692,576000,2694,576000,2698,787200,2700,787200
2786,5374924,2795,50398,38639,2783,768000,2786,768000,2789,768000,2790,768000,2793,768000,2795,768000,2797,787200,2800,787200
2887,5375396,2897,50398,38639,2884,768000,2888,768000,2890,768000,2892,768000,2895,768000,2898,768000,2900,787200,2902,787200
2989,5375868,2999,50398,38639,2985,576000,2990,576000,2992,576000,2994,576000,2996,576000,3000,576000,3002,787200,3004,787200
3093,5376372,3101,50398,38639,3091,1248000,3094,1248000,3095,1248000,3097,1248000,3100,1248000,3102,1248000,3103,787200,3104,787200
3196,5376972,3207,50398,38639,3193,768000,3199,768000,3203,768000,3204,768000,3206,768000,3208,768000,3211,787200,3213,787200
3297,5381760,3308,67197,55438,3294,1017600,3299,1017600,3302,1017600,3304,1017600,3307,1017600,3309,1017600,3310,787200,3312,787200
3400,5382012,3409,67197,55438,3397,768000,3401,768000,3403,576000,3405,576000,3408,576000,3412,576000,3414,787200,3417,787200
3500,5382832,3508,67197,55438,3497,1017600,3501,1017600,3502,768000,3504,768000,3506,768000,3509,768000,3511,787200,3513,787200
3601,5383648,3607,67197,55438,3598,1017600,3601,1017600,3603,1017600,3604,1017600,3606,1017600,3607,1017600,3608,787200,3610,787200
3702,5384152,3711,67197,55438,3699,1017600,3703,576000,3705,576000,3707,576000,3709,576000,3712,576000,3715,787200,3718,787200
3807,5384940,3816,67197,55438,3803,768000,3807,768000,3810,768000,3812,768000,3814,768000,3817,768000,3819,787200,3821,787200
3907,5375616,3917,67197,55438,3904,768000,3908,768000,3911,768000,3913,768000,3915,768000,3918,768000,3920,787200,3922,787200
4010,5376624,4021,67197,55438,4005,768000,4011,768000,4014,768000,4016,768000,4019,768000,4023,1017600,4024,787200,4026,787200
4108,5377560,4116,67197,55438,4106,1017600,4108,1017600,4110,1017600,4112,1017600,4114,1017600,4117,1017600,4119,787200,4121,787200
4210,5378096,4220,67197,55438,4206,1017600,4211,1017600,4213,1017600,4216,1017600,4219,1017600,4221,1017600,4222,787200,4224,787200
4309,5378728,4316,67197,55438,4307,1804800,4309,1804800,4311,1804800,4313,1804800,4315,1804800,4317,1804800,4319,787200,4321,787200
4411,5379548,4420,67197,55438,4408,1324800,4412,1324800,4415,1324800,4416,1324800,4418,1324800,4422,1324800,4423,787200,4424,787200
4513,5380052,4523,67197,55438,4509,1248000,4515,1248000,4517,1248000,4519,1248000,4522,1248000,4524,1248000,4525,787200,4527,787200
4614,5380808,4621,67197,55438,4610,1017600,4615,1017600,4617,1017600,4619,1017600,4620,1017600,4622,1017600,4624,787200,4626,787200
4715,5381344,4725,67197,55438,4711,1017600,4716,1017600,4718,1017600,4720,1017600,4723,1248000,4726,1248000,4729,787200,4731,787200
4814,5382112,4825,67197,55438,4811,1248000,4815,1248000,4817,1248000,4819,1248000,4821,1248000,4826,1612800,4828,787200,4830,787200
4915,5382680,4922,67197,55438,4912,768000,4916,768000,4918,768000,4919,768000,4921,768000,4924,768000,4925,787200,4927,787200
5016,5383468,5024,67197,55438,5013,1017600,5017,1017600,5019,1017600,5021,1017600,5023,1017600,5026,1017600,5029,787200,5032,787200
5116,5383844,5123,67197,55438,5114,1248000,5117,1248000,5119,1248000,5120,1248000,5122,1612800,5123,1612800,5125,787200,5126,787200
5218,5377572,5227,67197,55438,5215,1017600,5219,1017600,5220,1017600,5222,768000,5225,768000,5228,768000,5231,787200,5235,787200
5320,5363216,5333,67197,55438,5317,768000,5321,768000,5323,768000,5327,768000,5330,768000,5334,768000,5336,787200,5337,787200
5420,5364224,5429,117595,105836,5417,768000,5420,768000,5423,576000,5424,576000,5427,576000,5430,576000,5432,787200,5434,787200
5522,5365232,5530,117595,105836,5519,1248000,5522,1017600,5524,1017600,5526,1017600,5527,1017600,5530,1017600,5532,787200,5533,787200
