Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
7,5340152,10,0,0,5,1804800,7,1804800,8,1804800,9,1804800,10,1804800,11,1804800,12,2208000,12,2208000
107,5346776,111,0,0,106,1804800,108,1804800,109,1804800,110,1804800,111,1804800,112,1804800,112,2208000,113,2208000
210,5344036,218,0,0,208,1804800,210,1804800,214,1804800,215,1804800,217,1804800,218,1804800,219,787200,223,787200
310,5348596,314,0,0,307,1516800,311,1516800,312,1612800,313,1612800,314,1612800,315,1612800,316,787200,317,787200
410,5351864,413,0,0,408,1804800,411,1804800,411,1804800,412,1804800,413,1804800,414,1804800,414,787200,415,787200
462,5355644,468,0,0,459,1804800,463,1804800,465,1804800,466,1804800,468,1804800,469,1804800,470,787200,472,787200
561,5354524,566,0,0,559,1804800,562,1804800,563,1804800,564,1804800,565,1804800,566,1804800,569,787200,571,787200
662,5342672,670,0,0,660,1804800,662,1804800,665,1804800,666,1804800,669,1804800,670,1804800,672,1248000,674,1248000
762,5339300,768,0,0,760,1804800,763,1804800,764,1804800,765,1804800,767,1804800,768,1804800,770,787200,771,787200
866,5338604,873,0,0,864,1804800,867,1804800,868,1804800,870,1804800,872,1804800,874,1804800,875,787200,876,787200
964,5341156,968,0,0,961,1804800,965,1804800,966,1804800,967,1804800,968,1804800,969,1804800,969,787200,970,787200
1067,5341660,1077,0,0,1063,576000,1068,576000,1071,576000,1073,576000,1075,576000,1077,576000,1080,787200,1082,787200
1170,5341628,1179,0,0,1166,576000,1171,576000,1173,576000,1175,576000,1177,576000,1179,576000,1182,787200,1184,787200
1272,5341408,1278,0,0,1268,576000,1273,1248000,1275,1248000,1276,1248000,1278,1248000,1279,1248000,1280,787200,1281,787200
1370,5334352,1375,0,0,1368,1804800,1372,1804800,1373,1804800,1374,1804800,1375,1804800,1376,1804800,1377,787200,1378,787200
1474,5334856,1482,0,0,1470,576000,1475,576000,1477,576000,1479,576000,1481,576000,1483,576000,1486,787200,1488,787200
1574,5334856,1584,0,0,1571,576000,1576,576000,1578,576000,1580,576000,1582,576000,1585,576000,1587,787200,1589,787200
1676,5335360,1684,0,0,1672,576000,1676,576000,1679,576000,1681,576000,1683,576000,1685,576000,1687,787200,1689,787200
1778,5335360,1787,0,0,1774,576000,1779,576000,1781,576000,1783,576000,1786,576000,1788,576000,1790,787200,1792,787200
1878,5335636,1888,0,0,1874,576000,1879,576000,1882,576000,1884,576000,1886,576000,1889,576000,1891,787200,1893,787200
1978,5335408,1985,0,0,1975,1017600,1978,1017600,1980,1017600,1981,1017600,1984,1017600,1986,1017600,1987,787200,1988,787200
2081,5335360,2091,0,0,2077,576000,2082,576000,2084,576000,2087,576000,2089,576000,2092,768000,2093,787200,2094,787200
2182,5335668,2196,0,0,2178,576000,2184,576000,2189,576000,2192,576000,2194,576000,2197,576000,2199,787200,2201,787200
2284,5336172,2293,0,0,2280,576000,2285,576000,2287,576000,2290,576000,2292,576000,2294,576000,2297,787200,2299,787200
2386,5335944,2397,0,0,2381,576000,2388,576000,2390,576000,2392,576000,2394,576000,2399,576000,2402,787200,2404,787200
2485,5335944,2497,0,0,2482,576000,2486,576000,2489,576000,2492,576000,2494,576000,2497,576000,2500,787200,2502,787200
2588,5335944,2597,0,0,2584,576000,2589,576000,2591,576000,2594,576000,2596,576000,2598,576000,2601,787200,2603,787200
2688,5335968,2698,0,0,2684,576000,2689,576000,2692,576000,2694,576000,2697,576000,2699,576000,2701,787200,2703,787200
