Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
66,5430324,70,0,0,65,1804800,67,1804800,68,1804800,69,1804800,70,1804800,71,1804800,72,2208000,73,2208000
166,5431144,171,0,0,165,1804800,167,1804800,168,1804800,170,1804800,170,1804800,171,1804800,172,2208000,173,1900800
267,5432308,271,0,0,266,1804800,268,1804800,269,1804800,269,1804800,270,1804800,271,1804800,272,1900800,273,1900800
368,5433380,372,0,0,366,1804800,368,1804800,369,1804800,370,1804800,371,1804800,372,1804800,373,1900800,373,1900800
468,5434168,472,256736,244977,467,1804800,469,1804800,470,1804800,470,1804800,471,1804800,472,1804800,473,1900800,474,1900800
569,5434420,572,256736,244977,567,1804800,569,1804800,570,1804800,571,1804800,572,1804800,573,1804800,574,1900800,574,1900800
669,5438068,673,256736,244977,668,1804800,670,1804800,671,1804800,672,1804800,673,1804800,673,1804800,674,2208000,675,2208000
771,5439068,777,256736,244977,769,1804800,772,1804800,773,1804800,774,1804800,776,1804800,778,1804800,779,1900800,779,1900800
871,5439936,877,256736,244977,869,1804800,872,1804800,873,1804800,874,1804800,876,1804800,877,1804800,878,1900800,879,1900800
971,5440692,977,256736,244977,969,1804800,972,1804800,973,1804800,975,1804800,976,1804800,978,1804800,979,1900800,980,1900800
1071,5442580,1074,256736,244977,1070,1804800,1071,1804800,1072,1804800,1073,1804800,1074,1804800,1074,1804800,1076,1900800,1077,1900800
1172,5444236,1176,256736,244977,1170,1804800,1172,1804800,1173,1804800,1174,1804800,1175,1804800,1177,1804800,1178,1248000,1179,1248000
