Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
74,5423164,79,0,0,72,1804800,74,1804800,76,1804800,77,1804800,78,1804800,79,1804800,80,2208000,81,2208000
174,5424424,178,0,0,173,1804800,175,1804800,176,1804800,177,1804800,177,1804800,179,1804800,180,1900800,180,1900800
275,5426928,279,0,0,273,1804800,275,1804800,277,1804800,278,1804800,279,1804800,279,1804800,280,1900800,281,1900800
376,5427680,379,0,0,374,1804800,376,1804800,377,1804800,378,1804800,378,1804800,379,1804800,380,1900800,381,1900800
476,5428184,479,0,0,474,1804800,476,1804800,477,1804800,478,1804800,478,1804800,479,1804800,480,1900800,481,1900800
576,5428972,580,0,0,575,1804800,576,1804800,577,1804800,578,1804800,579,1804800,580,1804800,581,2208000,582,2208000
676,5430268,683,0,0,675,1804800,677,1804800,678,1804800,680,1804800,682,1804800,683,1804800,684,1900800,685,1900800
777,5430872,780,0,0,775,1804800,777,1804800,778,1804800,778,1804800,779,1804800,780,1804800,780,1900800,781,1900800
877,5431820,881,0,0,876,1804800,878,1804800,879,1804800,879,1804800,880,1804800,881,1804800,882,1900800,883,1900800
978,5432740,982,0,0,976,1804800,978,1804800,979,1804800,980,1804800,981,1804800,982,1804800,984,1900800,985,1900800
1079,5433116,1082,0,0,1077,1804800,1079,1804800,1080,1804800,1081,1804800,1081,1804800,1082,1804800,1083,1900800,1084,1900800
1180,5433432,1186,0,0,1178,1516800,1180,1248000,1182,1248000,1184,1248000,1185,1248000,1186,1248000,1187,1248000,1188,1248000
1281,5434032,1285,0,0,1279,1248000,1281,1248000,1282,1248000,1283,1248000,1285,1248000,1286,1248000,1287,1248000,1288,1248000
1381,5434284,1386,0,0,1379,1324800,1381,1324800,1383,1324800,1384,1324800,1385,1324800,1387,1324800,1388,1248000,1389,1248000
1482,5435064,1489,0,0,1480,1248000,1483,1248000,1484,1248000,1486,1248000,1487,1248000,1489,1248000,1490,787200,1492,787200
1582,5436128,1593,0,0,1581,1804800,1582,1804800,1584,1804800,1591,1804800,1592,1804800,1593,1804800,1595,787200,1597,787200
1683,5437616,1689,0,0,1681,1804800,1683,1804800,1685,1804800,1687,1804800,1688,1804800,1690,1804800,1691,787200,1692,787200
1784,5439996,1791,33598,0,1782,1804800,1785,1804800,1786,1804800,1788,1804800,1790,1804800,1791,1804800,1793,787200,1793,787200
1885,5441208,1891,33598,0,1882,1804800,1886,1804800,1887,1804800,1889,1804800,1890,1804800,1891,1804800,1893,787200,1894,787200
1985,5442720,1988,33598,0,1983,1804800,1985,1804800,1986,1804800,1987,1804800,1988,1804800,1989,1804800,1989,787200,1990,787200
2089,5443004,2101,33598,0,2084,576000,2090,576000,2092,576000,2094,576000,2099,1248000,2102,1248000,2105,787200,2107,787200
2191,5443304,2202,33598,0,2185,576000,2192,576000,2194,576000,2197,576000,2200,1248000,2203,1248000,2205,787200,2207,787200
2289,5444648,2299,33598,0,2286,768000,2289,768000,2293,768000,2295,768000,2297,768000,2300,1017600,2303,787200,2305,787200
2392,5445764,2403,33598,0,2388,576000,2393,576000,2395,576000,2397,576000,2400,768000,2404,768000,2407,787200,2409,787200
2494,5446332,2507,33598,0,2488,576000,2496,576000,2499,1248000,2501,1248000,2504,1248000,2509,1248000,2512,1248000,2514,1248000
2590,5436820,2594,33598,0,2589,1804800,2591,1804800,2591,1804800,2592,1804800,2593,1804800,2594,1804800,2595,1766400,2596,1766400
2695,5436900,2706,33598,0,2690,768000,2696,768000,2700,1017600,2702,1017600,2705,1017600,2707,1017600,2709,787200,2710,787200
2795,5437188,2809,33598,0,2792,768000,2796,768000,2799,768000,2803,768000,2807,768000,2809,768000,2811,787200,2814,787200
