Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
30,5402992,34,0,0,14,1804800,30,1804800,32,1804800,33,1804800,33,1804800,34,1804800,35,2208000,35,2208000
116,5404852,123,0,0,115,1804800,117,1804800,118,1804800,120,1804800,121,1804800,124,1804800,125,2208000,126,2208000
217,5405640,222,834393,822634,215,1804800,218,1804800,219,1804800,220,1804800,222,1804800,223,1804800,224,1900800,226,1900800
317,5407280,320,834393,822634,316,1804800,317,1804800,318,1804800,319,1804800,320,1804800,320,1804800,321,1900800,322,1900800
417,5411844,420,834393,822634,416,1804800,417,1804800,418,1804800,419,1804800,419,1804800,420,1804800,421,1900800,422,1900800
518,5411592,524,834393,822634,517,1804800,519,1804800,520,1804800,522,1804800,523,1804800,525,1804800,526,1900800,526,1900800
619,5411844,627,834393,822634,617,1804800,619,1804800,621,1804800,623,1804800,625,1804800,628,1804800,630,1900800,631,1900800
720,5417372,727,834393,822634,717,1804800,721,1804800,722,1804800,724,1804800,726,1804800,728,1804800,729,2208000,731,2208000
819,5415176,824,834393,822634,818,1804800,820,1804800,822,1804800,823,1804800,824,1804800,825,1804800,826,2208000,827,2208000
921,5400572,928,834393,822634,919,1804800,922,1804800,923,1804800,924,1804800,926,1804800,928,1804800,930,2208000,931,2208000
1022,5404700,1026,834393,822634,1019,1804800,1022,1804800,1023,1804800,1025,1804800,1026,1804800,1027,1804800,1028,2208000,1028,2208000
1121,5407184,1126,834393,822634,1120,1804800,1122,1804800,1123,1804800,1124,1804800,1125,1804800,1126,1804800,1127,1900800,1128,1900800
1224,5409200,1230,834393,822634,1221,1248000,1225,1248000,1226,1248000,1227,1248000,1229,1248000,1230,1248000,1231,1248000,1232,1248000
1324,5411760,1331,834393,822634,1321,1248000,1324,1248000,1326,1248000,1328,1248000,1329,1248000,1331,1248000,1333,1248000,1334,1248000
1423,5412648,1428,128368,116609,1421,1248000,1424,1248000,1425,1248000,1426,1248000,1427,1248000,1429,1804800,1430,1248000,1430,1248000
1527,5413244,1537,128368,116609,1523,1017600,1528,1017600,1530,1017600,1532,1017600,1534,1017600,1538,1017600,1539,787200,1542,787200
1626,5413244,1635,128368,116609,1623,1248000,1627,1248000,1630,1248000,1632,1248000,1634,1248000,1636,1516800,1637,787200,1639,787200
