Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
80,5361736,84,0,0,79,1804800,81,1804800,82,1804800,82,1804800,83,1804800,84,1804800,85,2208000,85,2208000
181,5362956,186,0,0,180,1804800,182,1324800,183,1324800,184,1324800,185,1324800,186,1324800,187,787200,188,787200
282,5363712,286,0,0,280,1804800,282,1804800,283,1804800,284,1804800,285,1804800,286,1804800,286,787200,287,787200
386,5364340,397,0,0,382,576000,387,576000,390,576000,392,576000,395,576000,398,576000,401,787200,405,787200
486,5365420,491,0,0,483,1804800,487,1804800,489,1804800,489,1804800,490,1804800,491,1804800,492,787200,493,787200
589,5363920,598,0,0,585,576000,589,576000,592,576000,594,576000,596,576000,598,576000,601,787200,603,787200
689,5364204,699,0,0,686,576000,690,576000,693,576000,695,576000,697,576000,700,576000,702,787200,704,787200
792,5364236,801,0,0,788,576000,793,576000,795,576000,797,576000,799,576000,802,576000,804,787200,806,787200
893,5365032,901,0,0,889,768000,894,768000,896,768000,898,768000,900,768000,902,768000,904,787200,906,787200
994,5365504,1005,0,0,990,1017600,995,1017600,997,1017600,1002,1017600,1003,1017600,1005,1017600,1007,787200,1008,787200
1096,5366268,1104,0,0,1092,576000,1097,576000,1099,576000,1101,576000,1102,576000,1105,576000,1107,787200,1109,787200
1198,5365952,1211,0,0,1194,576000,1199,576000,1202,576000,1206,576000,1208,576000,1211,576000,1214,787200,1215,787200
1299,5365880,1310,0,0,1294,576000,1300,576000,1304,576000,1307,576000,1309,576000,1311,576000,1314,787200,1317,787200
1401,5365912,1414,0,0,1395,576000,1402,576000,1405,576000,1410,576000,1412,1248000,1414,1248000,1416,787200,1418,787200
1499,5365932,1506,0,0,1496,1017600,1500,1017600,1502,1017600,1503,1017600,1505,1017600,1506,1017600,1508,787200,1509,787200
