Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
16,5296244,19,0,0,14,1804800,16,1804800,17,1804800,18,1804800,19,1804800,20,1804800,21,2208000,22,2208000
65,5298896,72,0,0,64,1804800,65,1804800,67,1804800,69,1804800,71,1804800,73,1804800,74,2208000,75,2208000
166,5305888,169,0,0,164,1804800,166,1804800,167,1804800,168,1804800,169,1804800,170,1804800,170,787200,171,787200
266,5305456,274,0,0,265,1804800,267,1804800,269,1804800,272,1804800,273,1804800,274,1804800,275,787200,276,787200
371,5305856,381,0,0,366,576000,372,576000,376,576000,378,576000,380,576000,382,576000,384,787200,385,787200
472,5305888,481,0,0,468,576000,473,576000,475,576000,478,576000,480,576000,482,576000,484,787200,486,787200
574,5305296,586,0,0,569,576000,575,576000,578,576000,583,1248000,585,1248000,586,1248000,588,787200,591,787200
670,5306092,673,0,0,669,1804800,671,1804800,671,1804800,672,1804800,673,1804800,673,1804800,674,787200,675,787200
771,5306888,775,0,0,769,1708800,772,1708800,773,1708800,774,1708800,775,1708800,775,1708800,776,787200,777,787200
875,5307064,886,0,0,871,576000,876,576000,879,576000,882,576000,885,576000,887,576000,889,787200,891,787200
976,5307088,990,0,0,972,576000,977,576000,982,576000,985,576000,989,576000,991,576000,994,787200,996,787200
1077,5307112,1086,0,0,1073,576000,1077,576000,1080,576000,1082,576000,1084,576000,1087,576000,1090,787200,1092,787200
1177,5307112,1188,0,0,1173,576000,1178,576000,1182,576000,1184,576000,1186,576000,1189,576000,1192,787200,1194,787200
1279,5307388,1287,0,0,1275,576000,1280,576000,1282,576000,1284,576000,1286,576000,1288,576000,1290,787200,1293,787200
1381,5307324,1391,0,0,1377,576000,1382,576000,1384,576000,1387,576000,1389,576000,1392,576000,1394,787200,1397,787200
1481,5307544,1494,0,0,1477,576000,1482,576000,1487,576000,1489,576000,1492,576000,1494,576000,1497,787200,1499,787200
1582,5308072,1593,0,0,1578,576000,1583,576000,1585,576000,1589,576000,1591,576000,1593,576000,1596,787200,1598,787200
1683,5308168,1697,0,0,1679,576000,1685,576000,1689,576000,1693,576000,1695,576000,1698,576000,1700,787200,1702,787200
1781,5311124,1784,0,0,1780,1804800,1781,1804800,1782,1804800,1783,1804800,1783,1804800,1784,1804800,1785,787200,1785,787200
1886,5299696,1899,0,0,1881,576000,1888,576000,1890,576000,1895,576000,1897,576000,1900,576000,1903,787200,1906,787200
1985,5300060,1994,0,0,1982,576000,1986,576000,1988,576000,1990,576000,1993,576000,1995,576000,1997,787200,2000,787200
2088,5299884,2099,0,0,2083,576000,2090,576000,2093,576000,2095,576000,2097,576000,2100,576000,2102,787200,2104,787200
2188,5300420,2199,0,0,2184,576000,2189,576000,2192,576000,2194,576000,2197,576000,2200,576000,2203,787200,2205,787200
2288,5300160,2297,0,0,2285,576000,2289,576000,2291,576000,2293,576000,2295,576000,2297,576000,2300,787200,2302,787200
2388,5298336,2392,0,0,2386,1804800,2389,1804800,2389,1804800,2390,1804800,2391,1804800,2392,1804800,2393,787200,2394,787200
2492,5294948,2504,0,0,2488,576000,2493,576000,2495,576000,2497,576000,2499,576000,2505,768000,2508,787200,2510,787200
2592,5294948,2607,0,0,2589,576000,2593,576000,2595,576000,2599,576000,2602,576000,2608,768000,2611,787200,2614,787200
2694,5294720,2704,0,0,2691,576000,2696,576000,2698,576000,2700,576000,2702,576000,2704,1248000,2706,787200,2707,787200
2798,5294564,2809,0,0,2793,576000,2799,576000,2802,576000,2804,576000,2807,576000,2810,576000,2812,787200,2815,787200
2900,5294752,2919,0,0,2896,576000,2901,576000,2907,576000,2912,576000,2916,576000,2920,576000,2924,787200,2927,787200
3000,5292492,3007,0,0,2997,1804800,3001,1804800,3003,1804800,3004,1804800,3006,1804800,3007,1804800,3008,787200,3010,787200
3099,5299212,3104,0,0,3096,1804800,3100,1804800,3101,1804800,3102,1804800,3103,1804800,3104,1804800,3105,787200,3106,787200
3198,5305008,3204,0,0,3196,1804800,3199,1804800,3200,1804800,3202,1804800,3203,1804800,3204,1804800,3205,787200,3206,787200
3298,5307056,3302,0,0,3297,1804800,3299,1804800,3300,1804800,3301,1804800,3302,1804800,3302,1804800,3304,787200,3305,787200
3401,5313136,3429,0,0,3398,768000,3402,768000,3419,1248000,3426,1612800,3428,1612800,3429,1612800,3431,787200,3432,787200
3500,5314484,3505,0,0,3498,1804800,3501,1804800,3502,1804800,3503,1804800,3504,1804800,3505,1804800,3506,787200,3507,787200
3601,5315516,3608,0,0,3599,1804800,3602,1804800,3603,1804800,3603,1804800,3607,1804800,3608,1804800,3609,787200,3610,787200
3703,5317060,3712,0,0,3700,1248000,3704,1017600,3706,1017600,3708,1017600,3710,1017600,3712,1017600,3714,787200,3715,787200
3806,5317060,3819,0,0,3802,576000,3808,576000,3811,576000,3814,576000,3817,576000,3820,576000,3822,787200,3825,787200
3911,5317044,3937,0,0,3904,576000,3924,1248000,3927,1248000,3934,1248000,3936,1248000,3937,1248000,3939,787200,3940,787200
4006,5319060,4010,0,0,4004,1804800,4006,1804800,4007,1804800,4008,1804800,4009,1804800,4010,1804800,4011,787200,4012,787200
4107,5325416,4111,0,0,4105,1804800,4107,1804800,4108,1804800,4109,1804800,4110,1804800,4112,1804800,4112,787200,4113,787200
4211,5325604,4223,0,0,4207,576000,4212,576000,4215,576000,4217,576000,4220,576000,4224,1248000,4228,787200,4229,787200
4317,5326644,4334,0,0,4309,576000,4318,576000,4324,1248000,4329,1248000,4332,1248000,4335,1248000,4338,787200,4341,787200
4416,5326684,4430,0,0,4411,576000,4416,576000,4420,576000,4424,576000,4427,768000,4431,768000,4433,787200,4436,787200
4518,5326400,4530,0,0,4512,576000,4519,576000,4523,576000,4526,768000,4528,768000,4531,768000,4533,787200,4536,787200
4617,5326904,4631,0,0,4613,768000,4618,768000,4622,768000,4626,768000,4629,768000,4632,768000,4637,787200,4640,787200
