Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
79,5345104,0,0,0,77,1804800,80,1804800,87,1804800,88,1804800,89,1804800,1,1804800,2,2208000,3,2208000
179,5344048,89,0,0,177,1804800,179,1804800,180,1804800,182,1804800,184,1804800,90,1804800,90,2208000,91,2208000
281,5347448,184,0,0,279,1804800,282,1804800,286,1804800,288,1804800,289,1804800,184,1804800,185,787200,186,787200
381,5350504,290,0,0,379,1804800,381,1804800,382,1804800,383,1804800,384,1804800,290,1804800,294,787200,296,787200
481,5352332,384,0,0,479,1804800,481,1804800,482,1804800,483,1804800,484,1804800,384,1804800,385,787200,386,787200
588,5352324,484,0,0,581,576000,589,576000,592,576000,595,576000,599,576000,485,1804800,486,787200,487,787200
685,5352860,601,0,0,682,768000,686,768000,688,768000,690,768000,692,768000,602,1248000,610,787200,614,787200
784,5353388,693,0,0,782,1612800,784,1612800,786,1612800,787,1612800,788,1612800,693,768000,695,787200,696,787200
888,5354216,788,0,0,884,576000,889,576000,892,576000,894,576000,896,576000,789,1612800,790,787200,790,787200
988,5354468,898,0,0,984,576000,990,576000,992,576000,995,576000,997,576000,899,576000,901,787200,902,787200
1091,5354524,999,0,0,1086,576000,1092,576000,1095,576000,1098,576000,1100,576000,999,576000,1002,787200,1004,787200
1191,5354964,1102,0,0,1186,768000,1192,768000,1194,768000,1198,768000,1200,768000,1102,768000,1104,787200,1106,787200
1292,5355088,1201,0,0,1287,576000,1293,576000,1296,576000,1299,576000,1302,576000,1202,768000,1204,787200,1206,787200
1392,5355372,1304,0,0,1388,576000,1393,576000,1396,576000,1398,576000,1400,576000,1304,576000,1307,787200,1310,787200
1495,5355680,1403,0,0,1490,576000,1496,576000,1503,1248000,1506,1248000,1508,1248000,1404,576000,1406,787200,1408,787200
1592,5357468,1510,0,0,1590,1804800,1592,1804800,1594,1804800,1595,1804800,1596,1804800,1510,1248000,1513,787200,1515,787200
1692,5351876,1596,0,0,1690,1804800,1693,1804800,1694,1804800,1695,1804800,1696,1804800,1596,1804800,1597,787200,1598,787200
1796,5351632,1696,0,0,1792,576000,1797,576000,1799,576000,1801,576000,1803,576000,1697,1804800,1698,1248000,1698,1248000
1898,5351632,1805,0,0,1894,576000,1899,576000,1902,576000,1904,576000,1906,576000,1806,576000,1808,787200,1810,787200
1999,5351312,1908,0,0,1995,576000,1999,576000,2002,576000,2004,576000,2006,576000,1909,576000,1911,787200,1914,787200
2100,5351564,2008,0,0,2096,576000,2101,576000,2103,576000,2106,576000,2108,576000,2008,576000,2011,787200,2013,787200
2200,5351816,2109,0,0,2196,768000,2202,768000,2204,576000,2207,576000,2209,576000,2110,576000,2112,787200,2114,787200
2301,5352208,2211,0,0,2297,576000,2302,576000,2305,576000,2308,576000,2310,576000,2212,576000,2214,787200,2215,787200
2402,5351704,2312,0,0,2398,576000,2403,576000,2405,576000,2407,576000,2410,576000,2313,576000,2315,787200,2317,787200
2503,5352232,2411,0,0,2499,576000,2504,768000,2507,768000,2509,768000,2511,768000,2413,576000,2416,787200,2418,787200
2604,5352028,2512,0,0,2600,576000,2605,576000,2608,576000,2610,576000,2612,576000,2513,768000,2515,787200,2517,787200
2706,5352052,2614,0,0,2702,576000,2707,576000,2709,576000,2711,576000,2713,576000,2615,576000,2618,787200,2620,787200
2808,5352304,2715,0,0,2804,576000,2808,576000,2811,576000,2813,576000,2815,576000,2716,576000,2718,787200,2720,787200
2909,5352572,2816,0,0,2904,576000,2910,576000,2914,576000,2917,576000,2919,576000,2817,576000,2819,787200,2821,787200
3010,5352700,2921,0,0,3006,576000,3011,576000,3014,576000,3017,576000,3020,576000,2922,1248000,2924,787200,2925,787200
3111,5352328,3022,0,0,3106,1017600,3112,1017600,3114,1017600,3117,1017600,3119,1017600,3023,768000,3026,787200,3028,787200
3211,5349340,3121,0,0,3207,576000,3212,576000,3215,576000,3218,576000,3221,576000,3122,1324800,3124,787200,3126,787200
