Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
64,5332360,69,0,0,62,1804800,64,1804800,66,1804800,67,1804800,68,1804800,69,1804800,70,2208000,71,2208000
164,5332928,170,0,0,163,1804800,165,1804800,166,1804800,167,1804800,168,1804800,170,1804800,172,1900800,173,1900800
264,5334220,268,256736,243297,263,1804800,265,1804800,266,1804800,266,1804800,267,1804800,268,1804800,269,1900800,270,1900800
366,5335260,370,256736,243297,364,1804800,366,1804800,367,1804800,368,1804800,369,1804800,371,1804800,372,1900800,372,1900800
466,5335764,472,256736,243297,465,1804800,467,1804800,468,1804800,470,1804800,471,1804800,473,1804800,474,1900800,475,1900800
567,5336796,574,256736,243297,565,1804800,568,1804800,570,1804800,571,1804800,573,1804800,574,1804800,575,1900800,576,1900800
667,5341356,672,256736,243297,665,1804800,667,1804800,668,1804800,670,1804800,671,1804800,673,1804800,674,2208000,676,2208000
768,5342876,774,256736,243297,766,1804800,768,1804800,771,1804800,772,1804800,773,1804800,775,1804800,776,1900800,777,1900800
867,5344136,871,256736,243297,866,1804800,868,1804800,869,1804800,870,1804800,870,1804800,871,1804800,872,1900800,873,1900800
968,5344892,972,256736,243297,967,1804800,968,1804800,969,1804800,970,1804800,971,1804800,972,1804800,973,1900800,974,1900800
1069,5345964,1073,256736,243297,1067,1804800,1069,1804800,1070,1804800,1071,1804800,1072,1804800,1073,1804800,1074,1900800,1075,1900800
1170,5346848,1175,256736,243297,1168,1324800,1170,1324800,1172,1324800,1173,1324800,1174,1324800,1176,1324800,1177,1248000,1178,1248000
1271,5347888,1276,256736,243297,1269,1248000,1271,1248000,1272,1248000,1274,1248000,1275,1248000,1277,1248000,1278,1248000,1279,1248000
1372,5348708,1379,256736,243297,1370,1248000,1373,1248000,1374,1248000,1376,1248000,1377,1248000,1379,1248000,1381,1248000,1382,1248000
1473,5349904,1478,256736,243297,1471,1248000,1473,1248000,1474,1248000,1476,1248000,1477,1248000,1478,1516800,1479,1248000,1480,1248000
1574,5350936,1582,128368,114929,1572,768000,1575,768000,1577,768000,1579,1248000,1581,1248000,1582,1248000,1585,787200,1586,787200
1674,5355520,1680,128368,114929,1673,1804800,1675,1804800,1676,1804800,1678,1804800,1679,1804800,1680,1804800,1682,787200,1683,787200
1777,5360080,1782,128368,114929,1775,1804800,1778,1804800,1779,1804800,1780,1804800,1781,1804800,1782,1804800,1783,787200,1784,787200
1878,5367128,1882,128368,114929,1876,1804800,1879,1804800,1880,1804800,1881,1804800,1882,1804800,1883,1804800,1883,787200,1884,787200
1979,5369444,1985,128368,114929,1977,1804800,1980,1804800,1981,1804800,1982,1804800,1984,1804800,1985,1804800,1986,787200,1987,787200
2080,5372312,2084,128368,114929,2078,1804800,2080,1804800,2082,1804800,2083,1804800,2084,1804800,2085,1804800,2087,787200,2089,787200
2181,5373856,2196,128368,114929,2179,1017600,2181,1017600,2183,1017600,2185,1017600,2194,1017600,2196,1017600,2198,1555200,2201,1555200
2281,5363420,2285,128368,114929,2279,1804800,2281,1804800,2282,1804800,2283,1804800,2284,1804800,2285,1804800,2286,787200,2287,787200
2384,5363032,2395,128368,114929,2380,576000,2385,576000,2388,576000,2390,576000,2393,576000,2395,576000,2398,787200,2399,787200
2485,5363576,2494,80132,66693,2482,768000,2485,768000,2488,768000,2490,768000,2492,768000,2494,768000,2497,787200,2498,787200
2586,5364484,2596,120198,106759,2583,768000,2587,768000,2590,768000,2592,768000,2594,768000,2596,768000,2599,787200,2600,787200
2687,5365208,2694,87150,73711,2684,1248000,2688,1248000,2690,1248000,2691,1248000,2692,1248000,2695,1248000,2697,787200,2701,787200
2789,5366032,2796,87150,73711,2785,768000,2790,768000,2791,768000,2793,768000,2795,768000,2796,768000,2798,787200,2799,787200
2890,5366284,2898,50398,36959,2887,768000,2891,768000,2893,768000,2895,768000,2897,768000,2899,768000,2901,787200,2903,787200
2991,5366788,2999,50398,36959,2988,768000,2992,768000,2993,768000,2996,768000,2998,768000,3000,768000,3006,787200,3008,787200
3094,5367424,3106,50398,36959,3089,768000,3095,768000,3098,768000,3101,768000,3103,768000,3107,768000,3109,787200,3112,787200
3194,5367936,3205,50398,36959,3189,576000,3195,576000,3197,576000,3199,768000,3201,768000,3206,768000,3210,787200,3212,787200
3296,5363124,3314,50398,36959,3293,768000,3297,768000,3300,768000,3305,768000,3313,768000,3314,768000,3315,1766400,3315,1766400
3396,5364344,3400,50398,36959,3394,1017600,3396,1017600,3398,768000,3399,768000,3400,768000,3401,768000,3402,787200,3403,787200
3497,5364856,3503,50398,36959,3494,768000,3498,768000,3499,768000,3501,768000,3502,768000,3504,768000,3506,787200,3508,787200
3598,5365296,3606,50398,36959,3595,768000,3599,768000,3600,768000,3602,768000,3604,768000,3607,768000,3610,787200,3614,787200
3700,5366084,3711,83997,70558,3696,576000,3700,576000,3704,576000,3708,576000,3710,576000,3712,576000,3715,787200,3717,787200
3801,5366304,3810,83997,70558,3797,1248000,3802,1017600,3804,1017600,3807,1017600,3809,1017600,3811,1017600,3812,787200,3815,787200
3901,5367028,3914,83997,70558,3898,768000,3903,768000,3907,768000,3908,768000,3912,768000,3915,768000,3919,787200,3921,787200
4002,5367784,4011,83997,70558,3999,576000,4003,576000,4006,576000,4008,576000,4010,576000,4012,576000,4014,787200,4015,787200
4102,5368288,4112,83997,70558,4099,1017600,4103,1017600,4105,1017600,4107,1017600,4108,1017600,4112,1017600,4115,787200,4117,787200
4204,5369012,4216,83997,70558,4200,576000,4205,576000,4208,576000,4212,576000,4214,576000,4217,576000,4219,787200,4221,787200
4305,5371028,4313,83997,70558,4301,1017600,4306,1017600,4308,1017600,4309,1017600,4312,1017600,4314,1017600,4316,787200,4317,787200
4406,5372292,4414,83997,70558,4402,768000,4407,768000,4409,768000,4412,768000,4413,768000,4417,768000,4419,787200,4421,787200
4506,5373520,4516,83997,70558,4502,768000,4507,768000,4509,768000,4511,768000,4513,768000,4517,768000,4519,979200,4521,979200
4608,5373992,4615,100796,87357,4605,768000,4609,768000,4611,768000,4612,768000,4614,768000,4615,768000,4618,787200,4619,787200
