Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
66,5336552,70,0,0,64,1804800,66,1804800,67,1804800,68,1804800,69,1804800,70,1804800,72,2208000,73,2208000
166,5338884,169,0,0,164,1804800,166,1804800,167,1804800,168,1804800,168,1804800,169,1804800,170,1900800,171,1900800
267,5340460,272,449288,439209,265,1804800,267,1804800,269,1804800,270,1804800,271,1804800,272,1804800,273,1900800,274,1900800
369,5342004,373,449288,439209,367,1804800,369,1804800,371,1804800,372,1804800,372,1804800,373,1804800,374,1900800,375,1900800
468,5342760,473,449288,439209,466,1804800,469,1804800,470,1804800,471,1804800,472,1804800,473,1804800,474,1900800,475,1900800
568,5344620,572,449288,439209,567,1804800,569,1804800,570,1804800,571,1804800,572,1804800,573,1804800,573,1900800,574,1900800
668,5347140,674,449288,439209,667,1804800,670,1804800,671,1804800,672,1804800,673,1804800,674,1804800,676,1900800,677,1900800
769,5347432,773,449288,439209,768,1804800,770,1804800,770,1804800,772,1804800,773,1804800,774,1804800,774,1900800,775,1900800
870,5347684,874,449288,439209,868,1804800,870,1804800,872,1804800,872,1804800,873,1804800,874,1804800,875,1900800,876,1900800
970,5347936,973,449288,439209,969,1804800,970,1804800,971,1804800,972,1804800,973,1804800,974,1804800,974,1900800,975,1900800
1071,5348724,1075,449288,439209,1069,1804800,1072,1804800,1073,1804800,1073,1804800,1074,1804800,1075,1804800,1076,1900800,1076,1900800
1172,5349576,1175,449288,439209,1170,1804800,1172,1804800,1173,1804800,1173,1804800,1174,1804800,1175,1804800,1176,1900800,1176,1900800
1273,5350332,1278,449288,439209,1271,1248000,1273,1248000,1275,1248000,1276,1248000,1277,1248000,1279,1248000,1281,1248000,1282,1248000
1374,5357036,1380,117595,107516,1372,1804800,1375,1804800,1376,1804800,1377,1804800,1379,1804800,1381,1804800,1382,1248000,1383,1248000
1474,5353360,1478,33598,23519,1473,1804800,1475,1804800,1476,1804800,1477,1804800,1478,1804800,1479,1804800,1480,787200,1482,787200
1579,5358904,1591,33598,23519,1576,768000,1580,768000,1582,768000,1587,768000,1590,1017600,1592,1017600,1594,787200,1595,787200
1678,5360952,1683,33598,23519,1676,1804800,1678,1804800,1679,1804800,1681,1804800,1682,1804800,1684,1804800,1688,787200,1690,787200
1780,5363988,1788,33598,23519,1777,1804800,1781,1804800,1783,1804800,1785,1804800,1787,1804800,1789,1804800,1793,787200,1795,787200
