Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,5444752,29,0,0,10,1804800,26,1804800,27,1804800,28,1804800,28,1804800,29,1804800,30,2208000,30,2208000
113,5447116,121,0,0,111,1804800,114,1804800,117,1804800,118,1804800,120,1804800,122,1804800,124,2208000,126,2208000
213,5452172,218,0,0,211,1804800,214,1804800,215,1804800,216,1804800,217,1804800,219,1804800,220,2208000,222,2208000
315,5455188,320,0,0,312,1804800,315,1804800,316,1804800,318,1804800,319,1804800,320,1804800,321,1900800,322,1900800
414,5456132,420,0,0,412,1804800,415,1804800,416,1804800,418,1804800,419,1804800,420,1804800,422,1900800,423,1900800
515,5462936,523,0,0,513,1804800,516,1804800,517,1804800,519,1804800,521,1804800,523,1804800,525,2208000,527,2208000
617,5454188,624,0,0,614,1804800,618,1804800,619,1804800,621,1804800,622,1804800,624,1804800,626,2208000,628,2208000
717,5459296,727,0,0,715,1804800,718,1804800,721,1804800,723,1804800,725,1804800,728,1804800,730,2208000,733,2208000
818,5458060,834,0,0,816,1804800,819,1804800,828,1804800,830,1804800,832,1804800,834,1804800,837,2208000,839,2208000
918,5457020,924,0,0,915,1804800,919,1804800,920,1804800,922,1804800,923,1804800,925,1804800,926,2208000,928,2208000
1018,5463728,1024,256736,111569,1016,1804800,1018,1804800,1020,1804800,1021,1804800,1023,1804800,1024,1804800,1026,2208000,1027,2208000
1123,5431084,1133,256736,111569,1121,1804800,1124,1804800,1127,1804800,1129,1804800,1131,1804800,1134,1804800,1136,2208000,1138,2208000
1219,5429304,1224,256736,111569,1217,1804800,1219,1804800,1221,1804800,1222,1804800,1223,1804800,1225,1804800,1226,1900800,1226,1900800
1319,5430196,1324,256736,111569,1317,1516800,1320,1516800,1321,1516800,1322,1516800,1323,1516800,1325,1516800,1326,1248000,1327,1248000
1420,5433200,1428,160265,15098,1418,1248000,1421,1248000,1423,1248000,1425,1248000,1427,1248000,1428,1248000,1430,2208000,1431,2208000
1521,5435792,1529,160265,15098,1518,1248000,1522,1248000,1524,1248000,1526,1248000,1527,1248000,1529,1804800,1530,1248000,1531,1248000
1622,5436076,1630,116200,0,1619,768000,1623,768000,1625,768000,1627,768000,1628,768000,1630,768000,1632,2073600,1635,1401600
1724,5435856,1732,67197,0,1721,1248000,1725,1248000,1727,1248000,1729,1248000,1731,1248000,1732,1248000,1734,787200,1737,787200
1826,5436140,1836,67197,0,1821,768000,1827,768000,1829,768000,1831,768000,1833,1017600,1836,1017600,1839,787200,1840,787200
1929,5436376,1945,67197,0,1923,768000,1929,768000,1932,768000,1935,1248000,1939,1248000,1946,1248000,1949,787200,1950,787200
2028,5436692,2033,67197,0,2025,1804800,2029,1804800,2030,1804800,2031,1804800,2032,1804800,2033,1804800,2034,787200,2035,787200
2129,5437776,2138,100796,0,2126,768000,2130,768000,2133,1017600,2135,1017600,2137,1017600,2139,1017600,2143,787200,2146,787200
2229,5438824,2237,100796,0,2226,1017600,2230,1017600,2232,1017600,2234,1248000,2235,1248000,2237,1248000,2239,979200,2241,979200
2330,5440084,2337,100796,0,2327,1248000,2330,1248000,2332,1248000,2335,1516800,2336,1516800,2338,1516800,2339,787200,2340,787200
2433,5440500,2442,100796,0,2429,576000,2434,1248000,2436,1248000,2438,1248000,2440,1248000,2442,1248000,2445,787200,2447,787200
2531,5441824,2538,100796,0,2529,768000,2532,768000,2534,1017600,2536,1017600,2537,1017600,2538,1017600,2539,2208000,2541,2208000
2635,5443116,2647,100796,0,2632,768000,2636,768000,2640,768000,2643,768000,2646,768000,2648,768000,2651,1555200,2653,1900800
2734,5429208,2741,100796,0,2730,1017600,2735,1248000,2737,1248000,2738,1248000,2740,1248000,2742,1248000,2743,787200,2745,787200
2833,5432056,2839,100796,0,2831,1804800,2833,1708800,2835,1708800,2837,1708800,2838,1708800,2839,1708800,2841,979200,2842,979200
2936,5433632,2951,100796,0,2933,576000,2937,576000,2939,576000,2943,576000,2949,576000,2952,576000,2954,787200,2956,787200
3034,5433932,3038,100796,0,3032,1804800,3035,1804800,3036,1804800,3037,1804800,3037,1804800,3039,1804800,3040,787200,3041,787200
3140,5434420,3147,83997,0,3136,1248000,3141,1248000,3143,1248000,3144,1248000,3145,1248000,3148,1248000,3151,787200,3153,787200
3239,5434924,3250,83997,0,3236,768000,3240,768000,3242,768000,3246,768000,3249,768000,3251,768000,3254,1401600,3255,1401600
3341,5435680,3352,83997,0,3338,768000,3343,768000,3346,768000,3348,768000,3350,768000,3353,1248000,3354,787200,3355,787200
3440,5435932,3447,83997,0,3437,1017600,3441,1017600,3443,1017600,3445,1017600,3446,1017600,3448,1017600,3450,787200,3452,787200
3542,5440508,3556,83997,0,3538,576000,3543,576000,3547,576000,3550,576000,3554,768000,3556,768000,3559,787200,3561,787200
3642,5440608,3657,83997,0,3639,768000,3643,768000,3645,768000,3651,768000,3654,768000,3658,768000,3660,787200,3662,787200
3750,5441276,3763,83997,0,3742,576000,3751,576000,3756,576000,3759,576000,3762,576000,3764,576000,3773,787200,3776,787200
3845,5442104,3854,83997,0,3842,1017600,3845,1017600,3847,1017600,3850,1017600,3852,1017600,3854,1017600,3856,1248000,3857,1248000
