Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
76,5365356,79,0,0,75,1804800,76,1804800,77,1804800,78,1804800,78,1804800,79,1804800,79,2208000,80,2208000
177,5370688,180,0,0,175,1804800,177,1804800,178,1804800,179,1804800,179,1804800,180,1804800,181,787200,181,787200
278,5367916,284,0,0,276,1804800,278,1804800,279,1804800,280,1804800,283,1804800,284,1804800,285,787200,286,787200
378,5371672,386,0,0,377,1516800,379,1516800,381,1516800,383,1516800,385,1804800,387,1804800,388,787200,390,787200
480,5373184,484,0,0,477,1804800,480,1804800,482,1804800,483,1804800,484,1804800,485,1804800,486,787200,487,787200
582,5379736,591,0,0,578,1804800,582,1804800,584,1804800,585,1804800,589,1804800,591,1804800,592,787200,593,787200
686,5380360,695,0,0,682,1804800,687,1804800,688,1804800,689,1804800,690,1804800,696,1804800,699,979200,702,979200
781,5370936,785,0,0,779,1804800,782,1804800,783,1804800,784,1804800,785,1804800,785,1804800,786,787200,786,787200
885,5372520,907,0,0,881,1804800,889,1804800,903,1804800,905,1804800,907,1804800,908,1804800,909,787200,910,787200
987,5373388,996,0,0,982,768000,988,576000,990,576000,992,576000,994,576000,997,576000,999,787200,1001,787200
1087,5373388,1097,0,0,1083,576000,1088,576000,1091,576000,1093,576000,1095,576000,1098,576000,1100,787200,1102,787200
1188,5373184,1199,0,0,1184,576000,1189,576000,1191,576000,1194,576000,1197,576000,1200,576000,1203,787200,1205,787200
1290,5373780,1302,0,0,1286,768000,1291,768000,1293,768000,1296,768000,1298,768000,1303,768000,1305,787200,1307,787200
1389,5366784,1395,0,0,1386,1804800,1389,1804800,1391,1804800,1393,1804800,1394,1804800,1395,1804800,1397,787200,1398,787200
1492,5366028,1502,0,0,1488,576000,1493,576000,1496,576000,1498,576000,1500,576000,1503,576000,1506,787200,1508,787200
1592,5366248,1603,0,0,1589,576000,1593,576000,1596,576000,1598,576000,1601,576000,1604,576000,1606,787200,1608,787200
1694,5366248,1704,0,0,1690,576000,1695,576000,1698,576000,1700,576000,1702,576000,1705,576000,1707,787200,1710,787200
1795,5366808,1805,0,0,1791,576000,1796,576000,1799,576000,1801,576000,1803,576000,1806,576000,1809,787200,1811,787200
1898,5367012,1910,0,0,1892,576000,1900,576000,1903,576000,1906,576000,1908,576000,1911,576000,1914,787200,1916,787200
1997,5367264,2009,0,0,1993,576000,1998,576000,2001,576000,2004,576000,2007,576000,2009,576000,2012,787200,2015,787200
2098,5367768,2108,0,0,2094,576000,2099,576000,2101,576000,2103,576000,2106,576000,2108,576000,2110,787200,2112,787200
2200,5367768,2213,0,0,2195,576000,2201,576000,2205,576000,2208,576000,2211,576000,2214,576000,2216,787200,2219,787200
2301,5367768,2313,0,0,2296,576000,2304,576000,2307,576000,2309,576000,2311,576000,2314,576000,2318,787200,2321,787200
2402,5367768,2413,0,0,2397,768000,2402,768000,2405,768000,2409,768000,2411,768000,2413,768000,2415,787200,2417,787200
2503,5368044,2512,0,0,2498,576000,2504,576000,2506,576000,2509,576000,2510,576000,2513,576000,2515,787200,2517,787200
2606,5368524,2617,0,0,2601,576000,2607,576000,2609,576000,2612,576000,2614,576000,2618,576000,2621,787200,2623,787200
2705,5368320,2712,0,0,2701,576000,2706,1248000,2709,1248000,2710,1248000,2712,1248000,2713,1248000,2714,787200,2714,787200
2808,5368172,2819,0,0,2802,576000,2809,576000,2812,576000,2814,576000,2817,576000,2820,576000,2824,787200,2825,787200
2907,5368448,2918,0,0,2903,576000,2908,576000,2911,576000,2913,576000,2915,576000,2919,576000,2922,787200,2924,787200
3005,5364992,3010,0,0,3003,1612800,3006,1612800,3007,1612800,3008,1612800,3009,1612800,3010,1612800,3011,787200,3012,787200
3115,5364992,3130,0,0,3109,576000,3117,576000,3121,576000,3125,1248000,3127,1248000,3131,1248000,3133,787200,3134,787200
3214,5365268,3227,0,0,3209,576000,3215,576000,3219,576000,3223,576000,3226,768000,3228,768000,3230,787200,3232,787200
3313,5365660,3325,0,0,3309,576000,3314,576000,3317,576000,3319,576000,3323,576000,3325,576000,3328,787200,3330,787200
3415,5365692,3424,0,0,3410,576000,3416,576000,3418,576000,3421,576000,3423,576000,3425,576000,3428,787200,3430,787200
3515,5365740,3527,0,0,3511,576000,3516,576000,3519,576000,3521,576000,3523,576000,3528,576000,3530,787200,3532,787200
3616,5366244,3625,0,0,3612,576000,3617,576000,3619,576000,3621,576000,3623,576000,3625,576000,3627,787200,3629,787200
3717,5366196,3727,0,0,3714,576000,3718,576000,3721,576000,3723,576000,3725,576000,3727,576000,3730,787200,3732,787200
3818,5366196,3828,0,0,3814,576000,3818,576000,3821,576000,3823,576000,3826,576000,3828,576000,3831,787200,3833,787200
3918,5365944,3924,0,0,3915,1248000,3919,1248000,3921,1248000,3922,1248000,3923,1248000,3925,1516800,3926,787200,3928,787200
4019,5367460,4029,0,0,4015,576000,4020,576000,4022,576000,4025,1248000,4027,1248000,4029,1248000,4031,1555200,4032,1555200
4122,5367988,4131,0,0,4117,576000,4123,576000,4126,576000,4127,576000,4129,576000,4131,576000,4133,787200,4135,787200
4222,5367736,4231,0,0,4217,576000,4222,576000,4225,576000,4227,576000,4229,576000,4232,576000,4234,787200,4236,787200
4322,5367916,4331,0,0,4318,768000,4323,768000,4325,576000,4327,576000,4329,576000,4332,576000,4334,787200,4335,787200
4424,5367972,4437,0,0,4420,576000,4425,576000,4429,576000,4432,576000,4435,576000,4438,576000,4440,787200,4443,787200
4526,5368224,4536,0,0,4520,576000,4527,576000,4530,576000,4532,576000,4534,576000,4537,576000,4539,787200,4540,787200
4626,5368476,4639,0,0,4621,576000,4627,576000,4630,576000,4634,576000,4637,576000,4640,576000,4643,787200,4645,787200
4728,5368500,4739,0,0,4724,576000,4729,576000,4732,576000,4735,576000,4737,576000,4739,576000,4742,787200,4744,787200
4829,5368500,4843,0,0,4824,576000,4830,576000,4834,576000,4838,576000,4841,576000,4844,1248000,4846,787200,4847,787200
4929,5368752,4945,0,0,4925,576000,4931,576000,4935,576000,4939,576000,4943,576000,4946,1248000,4948,787200,4949,787200
5030,5369004,5040,0,0,5026,576000,5031,576000,5034,576000,5036,576000,5039,576000,5041,576000,5044,787200,5045,787200
5131,5368744,5143,0,0,5127,576000,5132,576000,5135,576000,5138,576000,5140,576000,5144,1248000,5146,787200,5147,787200
5232,5368712,5246,0,0,5228,576000,5233,576000,5237,576000,5240,576000,5242,576000,5247,768000,5249,787200,5252,787200
5334,5368956,5345,0,0,5329,576000,5335,576000,5338,576000,5340,576000,5343,576000,5346,576000,5348,787200,5350,787200
5434,5368980,5445,0,0,5430,576000,5436,576000,5438,576000,5441,576000,5443,576000,5446,576000,5448,787200,5451,787200
5536,5369200,5547,0,0,5532,576000,5537,576000,5540,576000,5542,576000,5545,576000,5548,576000,5550,787200,5553,787200
5638,5369224,5656,0,0,5634,576000,5639,576000,5642,576000,5646,576000,5653,576000,5657,576000,5662,787200,5666,787200
5738,5369476,5749,0,0,5735,576000,5739,576000,5742,576000,5744,576000,5746,576000,5750,576000,5753,787200,5755,787200
5839,5369728,5851,0,0,5835,576000,5840,576000,5843,576000,5847,576000,5850,576000,5852,576000,5855,787200,5857,787200
5940,5369784,5952,0,0,5936,576000,5941,576000,5943,576000,5946,576000,5950,576000,5952,576000,5955,787200,5957,787200
6041,5369776,6054,0,0,6037,576000,6042,576000,6044,576000,6046,576000,6052,576000,6055,576000,6057,787200,6059,787200
6142,5369776,6156,0,0,6138,576000,6143,576000,6146,576000,6150,576000,6154,576000,6157,576000,6160,787200,6162,787200
6245,5369776,6253,0,0,6240,576000,6245,576000,6248,576000,6250,576000,6251,576000,6254,576000,6256,787200,6258,787200
6345,5369932,6360,0,0,6341,576000,6346,576000,6349,576000,6354,576000,6357,576000,6361,576000,6363,787200,6365,787200
6446,5369704,6457,0,0,6442,576000,6448,576000,6450,576000,6452,576000,6454,576000,6458,576000,6461,787200,6463,787200
6548,5369956,6557,0,0,6543,576000,6549,576000,6551,576000,6554,576000,6556,576000,6558,576000,6560,787200,6562,787200
6649,5370208,6659,0,0,6644,576000,6650,576000,6653,576000,6655,576000,6657,576000,6660,576000,6662,787200,6664,787200
6750,5370508,6760,0,0,6745,576000,6751,576000,6754,576000,6756,576000,6759,576000,6761,576000,6763,787200,6765,787200
6850,5370760,6860,0,0,6846,576000,6851,576000,6854,576000,6856,576000,6858,576000,6861,576000,6863,787200,6865,787200
6951,5370816,6962,0,0,6947,576000,6952,576000,6955,576000,6958,576000,6960,576000,6963,576000,6965,787200,6967,787200
7054,5371344,7064,0,0,7050,576000,7055,576000,7058,576000,7060,576000,7063,576000,7065,1248000,7066,787200,7068,787200
7155,5371596,7167,0,0,7151,576000,7156,576000,7159,576000,7162,576000,7165,576000,7168,576000,7170,787200,7172,787200
7255,5366556,7262,0,0,7252,1324800,7256,1324800,7258,1324800,7260,1324800,7261,1324800,7263,1324800,7264,787200,7266,787200
7357,5366688,7368,0,0,7353,576000,7358,576000,7361,576000,7364,576000,7366,576000,7369,576000,7371,787200,7373,787200
7457,5369484,7465,0,0,7454,1017600,7458,1017600,7460,1017600,7462,1017600,7463,1017600,7465,768000,7467,787200,7468,787200
7559,5369004,7569,0,0,7555,576000,7560,576000,7562,576000,7565,576000,7567,576000,7570,576000,7572,787200,7574,787200
7660,5369508,7672,0,0,7656,576000,7661,576000,7663,576000,7666,576000,7671,576000,7673,576000,7676,787200,7678,787200
7762,5369336,7773,0,0,7757,576000,7764,576000,7767,576000,7769,576000,7771,576000,7774,576000,7776,787200,7780,787200
7861,5369840,7870,0,0,7857,576000,7862,576000,7865,576000,7867,576000,7869,576000,7871,576000,7873,787200,7875,787200
7970,5369792,7983,0,0,7961,576000,7971,576000,7975,576000,7977,576000,7981,576000,7984,576000,7986,787200,7988,787200
8064,5369540,8074,0,0,8059,576000,8065,576000,8069,576000,8071,576000,8073,576000,8075,576000,8078,787200,8080,787200
8165,5369792,8175,0,0,8161,576000,8166,576000,8168,576000,8171,576000,8173,576000,8177,576000,8184,787200,8186,787200
8265,5369988,8280,0,0,8261,576000,8266,576000,8268,576000,8273,576000,8278,576000,8281,576000,8284,787200,8286,787200
8366,5369940,8377,0,0,8362,576000,8367,576000,8370,576000,8373,576000,8375,576000,8378,576000,8381,787200,8383,787200
8467,5369872,8476,0,0,8463,576000,8468,576000,8470,576000,8472,576000,8474,576000,8476,576000,8479,787200,8481,787200
8569,5370376,8577,0,0,8565,576000,8569,576000,8572,576000,8573,576000,8575,576000,8577,576000,8580,787200,8582,787200
8670,5370628,8681,0,0,8666,576000,8671,576000,8673,576000,8675,576000,8678,576000,8682,576000,8687,787200,8692,787200
8773,5370628,8785,0,0,8767,576000,8774,576000,8779,576000,8782,576000,8784,1248000,8786,1248000,8788,787200,8792,787200
8870,5370880,8877,0,0,8867,1248000,8871,1248000,8873,1248000,8875,1248000,8876,1248000,8877,1248000,8879,787200,8881,787200
8973,5371504,8982,0,0,8969,576000,8974,576000,8976,576000,8978,576000,8980,576000,8982,576000,8984,787200,8986,787200
9023,5371504,9032,0,0,9020,576000,9024,576000,9027,576000,9029,576000,9031,576000,9033,576000,9035,787200,9037,787200
9125,5371276,9141,0,0,9120,576000,9126,576000,9133,576000,9137,576000,9139,576000,9142,576000,9145,787200,9146,787200
9225,5371404,9238,0,0,9221,576000,9228,576000,9231,576000,9234,576000,9236,576000,9239,576000,9241,787200,9244,787200
9326,5371892,9339,0,0,9322,576000,9328,576000,9330,576000,9335,576000,9337,576000,9340,576000,9342,787200,9344,787200
9428,5371892,9441,0,0,9423,576000,9430,576000,9433,576000,9437,576000,9439,576000,9442,576000,9446,787200,9450,787200
9528,5371208,9539,0,0,9524,768000,9529,576000,9532,576000,9534,576000,9537,576000,9540,576000,9543,787200,9545,787200
9628,5371460,9638,0,0,9625,576000,9629,576000,9632,576000,9634,576000,9636,576000,9639,576000,9641,787200,9643,787200
9730,5371256,9739,0,0,9726,576000,9731,576000,9733,576000,9736,576000,9738,576000,9740,576000,9744,787200,9745,787200
9833,5371508,9844,0,0,9828,576000,9834,576000,9837,576000,9839,576000,9841,576000,9845,1248000,9847,787200,9849,787200
9932,5371280,9943,0,0,9928,576000,9933,576000,9936,576000,9938,576000,9941,576000,9943,576000,9946,787200,9948,787200
10033,5371304,10044,0,0,10029,576000,10034,576000,10037,576000,10040,576000,10042,576000,10045,768000,10047,787200,10049,787200
