Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
77,5415708,82,0,0,75,1804800,77,1804800,79,1804800,80,1804800,81,1804800,83,1804800,85,2208000,86,2208000
177,5416708,181,0,0,175,1804800,177,1804800,178,1804800,179,1804800,180,1804800,181,1804800,182,1900800,183,1900800
278,5417560,281,256736,243297,276,1804800,278,1804800,279,1804800,280,1804800,281,1804800,281,1804800,282,1900800,283,1900800
379,5418064,383,256736,243297,377,1804800,379,1804800,380,1804800,381,1804800,382,1804800,383,1804800,384,1900800,385,1900800
479,5418568,485,256736,243297,477,1804800,480,1804800,481,1804800,483,1804800,484,1804800,485,1804800,486,1900800,487,1900800
580,5419072,585,256736,243297,578,1804800,581,1804800,583,1804800,584,1804800,584,1804800,585,1804800,586,1900800,587,1900800
680,5420280,685,256736,243297,678,1804800,680,1804800,681,1804800,682,1804800,684,1804800,685,1804800,686,1900800,687,1900800
781,5421824,784,256736,243297,779,1804800,781,1804800,782,1804800,783,1804800,784,1804800,785,1804800,786,1900800,786,1900800
881,5422140,885,256736,243297,880,1804800,882,1804800,883,1804800,884,1804800,884,1804800,885,1804800,888,1900800,888,1900800
982,5423148,985,256736,243297,980,1804800,982,1804800,983,1804800,984,1804800,984,1804800,985,1804800,986,1900800,987,1900800
1082,5423712,1085,256736,243297,1081,1804800,1082,1804800,1083,1804800,1084,1804800,1085,1804800,1086,1804800,1086,1900800,1087,1900800
1184,5424216,1191,256736,243297,1181,1248000,1185,1248000,1186,1248000,1188,1248000,1189,1248000,1191,1248000,1192,1248000,1194,1248000
1284,5425308,1290,256736,243297,1282,1804800,1284,1804800,1286,1804800,1288,1804800,1289,1804800,1290,1804800,1291,1248000,1292,1248000
1384,5426356,1389,256736,243297,1382,1804800,1385,1804800,1386,1804800,1388,1804800,1389,1804800,1389,1804800,1391,1766400,1391,1766400
1486,5426844,1491,256736,243297,1483,1248000,1486,1248000,1488,1248000,1489,1248000,1491,1248000,1492,1248000,1494,787200,1495,787200
1587,5427380,1596,67197,53758,1584,768000,1587,768000,1590,768000,1592,768000,1594,768000,1596,768000,1599,787200,1600,787200
1689,5427884,1698,67197,53758,1686,768000,1690,768000,1692,768000,1694,768000,1696,768000,1699,768000,1701,787200,1703,787200
1789,5427908,1800,33598,20159,1786,1017600,1790,1017600,1792,1017600,1795,1017600,1798,1017600,1800,1017600,1802,787200,1803,787200
1892,5428412,1902,33598,20159,1889,768000,1893,768000,1897,768000,1899,768000,1901,1248000,1903,1248000,1906,787200,1909,787200
1996,5428412,2006,33598,20159,1988,576000,1997,576000,1999,576000,2002,1248000,2005,1248000,2007,1248000,2009,1248000,2011,1248000
2090,5430072,2095,33598,20159,2089,1804800,2091,1804800,2091,1804800,2092,1804800,2094,1804800,2096,1804800,2097,787200,2098,787200
2191,5431428,2196,33598,20159,2189,1804800,2191,1804800,2192,1804800,2193,1804800,2195,1804800,2196,1804800,2198,787200,2199,787200
2292,5432900,2303,33598,20159,2290,1804800,2293,1804800,2294,1804800,2298,1804800,2302,1804800,2305,1804800,2306,787200,2307,787200
2392,5434452,2399,33598,20159,2390,1804800,2393,1804800,2395,1804800,2397,1804800,2399,1804800,2400,1804800,2401,1036800,2402,1036800
