Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,5434832,31,0,0,6,1804800,26,1804800,28,1804800,29,1804800,30,1804800,32,1804800,33,2208000,34,2208000
109,5436880,117,0,0,107,1804800,110,1804800,112,1804800,113,1804800,116,1804800,117,1804800,119,2208000,120,2208000
208,5440376,213,0,0,207,1804800,209,1804800,210,1804800,211,1804800,212,1804800,213,1804800,215,2208000,216,2208000
310,5442928,316,128368,121649,308,1804800,311,1804800,313,1804800,314,1804800,315,1804800,317,1804800,318,1900800,319,1900800
410,5444944,414,128368,121649,408,1804800,411,1804800,412,1804800,413,1804800,414,1804800,415,1804800,416,1900800,417,1900800
512,5445700,519,128368,121649,509,1804800,513,1804800,515,1804800,516,1804800,517,1804800,519,1804800,520,1900800,521,1900800
614,5446708,621,128368,121649,610,1804800,615,1804800,617,1804800,619,1804800,620,1804800,621,1804800,622,1900800,623,1900800
712,5448284,716,128368,121649,710,1804800,713,1804800,714,1804800,715,1804800,716,1804800,717,1804800,718,1900800,719,1900800
813,5448892,817,128368,121649,811,1804800,813,1804800,815,1804800,816,1804800,817,1804800,818,1804800,819,1900800,820,1900800
914,5451060,919,128368,121649,912,1804800,915,1804800,916,1804800,917,1804800,919,1804800,920,1804800,921,1900800,922,1900800
1014,5451540,1019,128368,121649,1012,1804800,1015,1804800,1016,1804800,1017,1804800,1018,1804800,1019,1804800,1020,1900800,1021,1900800
1115,5452304,1120,128368,121649,1113,1804800,1116,1804800,1117,1804800,1118,1804800,1119,1804800,1120,1804800,1121,1900800,1122,1900800
1215,5452808,1219,128368,121649,1213,1804800,1216,1804800,1217,1804800,1218,1804800,1219,1804800,1220,1804800,1221,1900800,1222,1900800
1317,5453620,1323,128368,121649,1315,1248000,1317,1248000,1319,1248000,1321,1248000,1322,1248000,1324,1248000,1325,1248000,1327,1248000
1418,5454124,1427,128368,121649,1415,1248000,1418,1248000,1421,1248000,1423,1248000,1425,1248000,1427,1804800,1429,1248000,1430,1248000
1518,5454588,1524,128368,121649,1516,1248000,1519,1248000,1520,1248000,1521,1248000,1523,1248000,1525,1248000,1527,1248000,1528,1248000
1622,5455156,1637,128368,121649,1617,576000,1623,576000,1627,576000,1632,576000,1635,576000,1639,576000,1642,787200,1646,787200
1722,5455244,1743,128368,121649,1718,768000,1724,576000,1733,576000,1737,576000,1740,576000,1744,1248000,1749,787200,1752,787200
1821,5446148,1833,128368,121649,1819,1804800,1823,1017600,1825,1017600,1828,1017600,1830,1017600,1834,1017600,1836,787200,1838,787200
1923,5446508,1931,33598,26879,1920,1248000,1924,1248000,1926,1248000,1928,1248000,1930,1248000,1931,1248000,1933,787200,1935,787200
2024,5447472,2033,33598,26879,2020,1516800,2025,1017600,2028,1017600,2030,1017600,2032,1017600,2034,1017600,2036,787200,2039,787200
2125,5447764,2134,33598,26879,2122,1248000,2126,1017600,2128,1017600,2130,1017600,2132,1017600,2135,1017600,2136,787200,2138,787200
2228,5448040,2241,33598,26879,2223,576000,2230,576000,2234,576000,2236,576000,2239,576000,2242,576000,2245,787200,2247,787200
2327,5448976,2334,33598,26879,2324,1248000,2327,1248000,2329,1248000,2331,1248000,2333,1248000,2335,1248000,2336,787200,2337,787200
2429,5449512,2440,33598,26879,2425,768000,2431,768000,2433,768000,2436,768000,2438,768000,2441,768000,2443,787200,2446,787200
2529,5449576,2537,50398,43679,2526,1248000,2530,1248000,2532,1248000,2534,1248000,2535,1248000,2538,1248000,2540,787200,2541,787200
2631,5450080,2643,50398,43679,2628,1017600,2632,1017600,2635,1017600,2637,1017600,2640,1017600,2644,1324800,2646,787200,2648,787200
2731,5450144,2739,50398,43679,2728,1248000,2732,1248000,2734,1248000,2736,1248000,2737,1248000,2739,1248000,2741,787200,2742,787200
2832,5450964,2840,50398,43679,2830,1248000,2833,1248000,2835,1248000,2837,1248000,2839,1248000,2840,1248000,2842,787200,2843,787200
2934,5452160,2941,50398,43679,2931,1248000,2935,1248000,2937,1248000,2938,1248000,2940,1248000,2941,1248000,2942,1401600,2944,1401600
3035,5425296,3045,50398,43679,3032,768000,3036,768000,3038,768000,3041,768000,3043,768000,3047,768000,3050,787200,3053,787200
3136,5425852,3145,50398,43679,3133,1017600,3137,1017600,3139,1017600,3141,1017600,3143,1017600,3146,1017600,3148,787200,3150,787200
3238,5429412,3252,50398,43679,3234,768000,3239,768000,3242,768000,3245,768000,3248,768000,3253,768000,3256,787200,3260,787200
3339,5429904,3355,50398,43679,3335,768000,3340,768000,3343,1017600,3348,1017600,3352,1017600,3355,1017600,3359,787200,3363,787200
3439,5430408,3452,50398,43679,3436,768000,3440,768000,3445,1017600,3448,1017600,3450,1017600,3453,1017600,3455,787200,3456,787200
3541,5430692,3551,67197,60478,3537,1248000,3541,1248000,3544,1516800,3547,1516800,3549,1516800,3551,1516800,3553,787200,3554,787200
3642,5431480,3651,67197,60478,3639,1516800,3643,1248000,3645,1248000,3648,1248000,3650,1248000,3652,1248000,3654,787200,3655,787200
