Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
23,5455416,28,0,0,8,1804800,23,1804800,25,1804800,26,1804800,27,1804800,28,1804800,29,2208000,31,2208000
113,5457448,121,0,0,111,1804800,113,1804800,116,1804800,117,1804800,120,1804800,123,1804800,126,2208000,128,2208000
214,5458044,229,0,0,212,1804800,215,1804800,216,1804800,223,1804800,226,1804800,230,1804800,233,1900800,236,1900800
315,5466508,325,0,0,313,1804800,317,1804800,319,1804800,322,1804800,324,1804800,326,1804800,328,1900800,331,1900800
414,5445796,422,256736,239937,412,1804800,415,1804800,417,1804800,419,1804800,421,1804800,423,1804800,424,1900800,425,1900800
514,5446552,518,256736,239937,513,1804800,515,1804800,516,1804800,516,1804800,517,1804800,518,1804800,519,1900800,520,1900800
614,5447380,619,256736,239937,613,1804800,615,1804800,616,1804800,617,1804800,618,1804800,619,1804800,620,1900800,621,1900800
715,5450256,719,256736,239937,714,1804800,715,1804800,716,1804800,717,1804800,718,1804800,719,1804800,720,1900800,722,1900800
815,5445292,819,256736,239937,814,1804800,816,1804800,817,1804800,818,1804800,818,1804800,820,1804800,821,1900800,822,1900800
916,5446444,920,256736,239937,915,1804800,916,1804800,917,1804800,918,1804800,919,1804800,921,1804800,922,1900800,922,1900800
1017,5448500,1020,256736,239937,1015,1804800,1017,1804800,1018,1804800,1019,1804800,1020,1804800,1021,1804800,1022,2208000,1022,2208000
1117,5448756,1121,256736,239937,1116,1804800,1117,1804800,1119,1804800,1120,1804800,1121,1804800,1122,1804800,1123,1900800,1123,1900800
1219,5448816,1224,256736,239937,1216,1804800,1219,1804800,1221,1804800,1222,1804800,1223,1804800,1225,1804800,1226,1248000,1227,1248000
1320,5449548,1327,160265,143466,1317,1248000,1321,1248000,1323,1248000,1324,1248000,1325,1248000,1327,1804800,1328,1248000,1329,1248000
1419,5451092,1424,87150,70351,1417,1804800,1420,1804800,1421,1804800,1422,1804800,1423,1804800,1424,1804800,1425,1248000,1427,1248000
1521,5451448,1529,87150,70351,1518,1324800,1522,1324800,1525,1324800,1526,1324800,1527,1612800,1529,1612800,1530,787200,1532,787200
1624,5452236,1631,50398,33599,1619,1804800,1625,1804800,1626,1804800,1627,1804800,1630,1804800,1632,1804800,1633,787200,1634,787200
1722,5450812,1730,50398,33599,1720,1804800,1723,1804800,1725,1804800,1726,1804800,1729,1804800,1730,1804800,1731,787200,1733,787200
1824,5450440,1834,50398,33599,1821,576000,1825,576000,1828,576000,1830,576000,1832,576000,1835,576000,1844,787200,1846,787200
1924,5450408,1931,50398,33599,1922,1248000,1925,1248000,1927,1612800,1928,1612800,1929,1612800,1931,1612800,1933,787200,1937,787200
2024,5452076,2031,50398,33599,2023,1708800,2025,1708800,2026,1708800,2029,1804800,2030,1804800,2031,1804800,2032,787200,2033,787200
