device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw),CPU1 Frequency [kHz],CPU2 Frequency [kHz],CPU3 Frequency [kHz],CPU4 Frequency [kHz],CPU5 Frequency [kHz],CPU6 Frequency [kHz],CPU7 Frequency [kHz],CPU8 Frequency [kHz],Memory Usage [KB]
temp,https-www-skysports-com,brave,873.6,17919.02,937728.0,916224.0,925312.0,938240.0,964096.0,994944.0,828800.0,828800.0,5349943.04
temp,https-www-tinder-com,brave,11825.644736842105,11825.644736842105,937286.274509804,914823.5294117647,925239.2156862745,919578.947368421,964294.7368421053,990063.1578947369,913010.5263157894,913010.5263157894,5396871.712418301
temp,https-www-pornhub-com,brave,29708.56081081081,30854.364864864863,915672.4832214765,928687.2483221476,920569.1275167785,924324.3243243244,950529.7297297297,982313.5135135135,911481.0810810811,901881.0810810811,5362408.832214765
temp,https-www-amazon-com,brave,13762.324456712998,0.0,926918.9189189189,947156.7567567568,940151.3513513514,974010.8108108108,984908.1081081082,1032908.1081081082,810810.8108108108,810810.8108108108,5442644.378378378
temp,https-www-mit-edu,brave,14431.422818791947,14431.422818791947,963200.0,966144.0,979584.0,1000960.0,1025073.8255033557,1058319.4630872484,921986.5771812081,921986.5771812081,5398719.733333333
temp,https-www-wikipedia-com,brave,1326.2368421052631,1326.2368421052631,1211747.3684210526,1203663.1578947369,1210484.2105263157,1222105.2631578948,1235873.6842105263,1258484.2105263157,1111452.6315789474,1109684.2105263157,5403996.815789473
temp,https-www-paypal-com,brave,10361.845637583892,11387.275167785236,947242.9530201342,960386.5771812081,982034.899328859,990668.456375839,1024816.1073825504,1094400.0,918893.9597315437,921986.5771812081,5407614.040268457
temp,https-www-theatlantic-com,brave,15488.233346657123,0.0,764235.2941176471,770509.8039215687,773647.0588235294,778290.1960784313,779368.4210526316,804631.5789473684,824589.4736842106,824589.4736842106,5392171.973856209
temp,https-www-cic-gc-ca,brave,9701.69536423841,10680.185430463576,917178.947368421,917658.2781456953,920074.1721854304,928211.9205298013,938384.1059602649,990262.2516556291,909774.8344370861,909774.8344370861,5399286.47368421
temp,https-udemy-com,brave,11231.33678125697,0.0,674190.6040268457,663753.0201342282,663753.0201342282,663237.5838926175,676123.4899328859,690162.1621621621,811200.0,811200.0,5339927.89261745
temp,https-www-pcgamer-com,brave,496.2913907284768,12905.192052980132,932589.4736842106,957852.6315789474,965305.2631578947,981870.1986754967,1005139.0728476822,1033875.4966887417,906468.8741721854,915878.1456953642,5380341.894736842
temp,https-www-stackoverflow-com,brave,10191.406666666666,10191.406666666666,910464.0,897920.0,902912.0,916096.0,943360.0,975616.0,911616.0,921088.0,5213998.8533333335
temp,https-www-nbcnews-com,brave,587323.97734167327,11983.286666666667,956058.2781456953,932864.0,939776.0,942720.0,968960.0,988672.0,913024.0,906496.0,5275031.231788079
temp,https-www-wordpress-org,brave,12774.33987127390,0.0,1391677.8523489933,1395372.972972973,1394594.5945945946,1407956.7567567567,1422097.2972972973,1441945.945945946,945859.4594594594,944043.2432432432,5423456.864864865
temp,https-archive-org,brave,400.23455757382,9631.426666666666,1162172.1854304636,1151104.0,1159936.0,1163008.0,1175552.0,1190528.0,934656.0,928512.0,5414716.768211921
temp,https-www-youtube-com,brave,27099.89663559216,0.0,715761.0389610389,708280.5194805195,704376.4705882353,713160.7843137255,724831.3725490196,760721.568627451,851450.9803921569,851450.9803921569,5403116.155844156
temp,https-www-kickstarter-com,brave,24662.33478569173,0.0,697768.4210526316,703326.3157894737,704842.1052631579,699284.2105263158,707494.7368421053,727705.2631578947,836968.4210526316,837298.0132450331,5367925.02631579
temp,https-www-bookmyshow-com,brave,1689.0526315789473,15594.723684210527,921349.0196078431,909552.9411764706,921349.0196078431,951968.6274509804,974652.6315789474,1006484.2105263158,900631.5789473684,902652.6315789474,5245166.352941177
temp,https-alibabacloud-com,brave,17908.6,19151.06,959364.238410596,956672.0,962432.0,994048.0,1014784.0,1048704.0,895744.0,905216.0,5234552.106666666
temp,https-finance-yahoo-com,brave,8212.00972635512,0.0,701696.0,708480.0,708480.0,721280.0,731520.0,792704.0,821991.9463087248,821991.9463087248,5384745.2
