Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
60,5221436,63,0,0,58,1804800,60,1804800,61,1804800,62,1804800,62,1804800,63,1804800,64,2208000,65,2208000
160,5221940,163,0,0,159,1804800,160,1804800,161,1804800,162,1804800,163,1804800,164,1804800,164,2208000,165,2208000
261,5223956,266,0,0,259,1804800,261,1804800,263,1804800,264,1804800,265,1804800,267,1804800,268,1900800,269,1900800
362,5223956,366,0,0,360,1804800,362,1804800,363,1804800,364,1804800,365,1804800,366,1804800,367,1900800,367,1900800
462,5224736,467,0,0,460,1804800,462,1804800,464,1804800,465,1804800,466,1804800,467,1804800,468,1900800,469,1900800
562,5225020,567,0,0,560,1804800,563,1804800,564,1804800,565,1804800,566,1804800,567,1804800,569,1900800,569,1900800
662,5225524,665,0,0,661,1804800,663,1804800,663,1804800,664,1804800,665,1804800,666,1804800,666,1900800,667,1900800
763,5226564,766,0,0,761,1804800,763,1804800,764,1804800,765,1804800,766,1804800,766,1804800,767,1900800,769,1900800
863,5227036,867,0,0,862,1804800,864,1804800,864,1804800,865,1804800,866,1804800,867,1804800,868,1900800,869,1900800
964,5227468,967,0,0,962,1804800,964,1804800,965,1804800,966,1804800,966,1804800,967,1804800,968,1900800,969,1900800
1065,5228476,1069,0,0,1064,1804800,1066,1804800,1066,1804800,1068,1804800,1068,1804800,1069,1804800,1071,1900800,1071,1900800
1166,5229248,1170,0,0,1165,1804800,1166,1804800,1167,1804800,1168,1804800,1169,1804800,1170,1804800,1171,1900800,1171,1900800
1267,5230256,1272,0,0,1265,1248000,1268,1248000,1269,1248000,1270,1248000,1271,1248000,1273,1248000,1274,1248000,1275,1248000
1367,5231012,1373,0,0,1366,1248000,1368,1248000,1370,1248000,1371,1248000,1372,1248000,1373,1248000,1374,1248000,1375,1248000
1468,5232524,1473,0,0,1466,1248000,1469,1248000,1470,1248000,1471,1248000,1472,1248000,1473,1248000,1474,1248000,1475,1248000
1575,5232504,1585,0,0,1568,576000,1576,576000,1579,576000,1581,576000,1583,576000,1586,576000,1589,787200,1592,787200
1675,5233292,1689,0,0,1669,576000,1676,576000,1680,576000,1684,576000,1688,576000,1690,576000,1694,787200,1698,787200
1775,5233796,1788,0,0,1770,1017600,1776,1017600,1781,1017600,1785,1017600,1786,1017600,1788,1017600,1790,787200,1792,787200
1876,5234868,1891,83997,82318,1871,576000,1877,576000,1880,576000,1884,576000,1888,576000,1892,576000,1894,787200,1898,787200
1976,5235088,1990,83997,82318,1973,1017600,1977,1017600,1982,1017600,1984,1017600,1988,1017600,1990,1017600,1992,787200,1994,787200
2079,5235844,2097,83997,82318,2074,576000,2083,576000,2086,576000,2088,576000,2094,576000,2098,576000,2101,787200,2104,787200
2179,5236348,2200,83997,82318,2174,576000,2180,576000,2188,576000,2193,576000,2196,576000,2201,1248000,2203,787200,2205,787200
2283,5237104,2304,83997,82318,2277,768000,2284,768000,2295,768000,2298,768000,2302,1248000,2305,1248000,2306,787200,2309,787200
2382,5238364,2391,83997,82318,2378,1017600,2383,1248000,2385,1248000,2389,1248000,2390,1248000,2392,1248000,2394,787200,2395,787200
