Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
27,5457632,30,0,0,10,1804800,28,1804800,28,1804800,29,1804800,30,1804800,30,1804800,31,2208000,32,2208000
113,5459256,124,0,0,112,1804800,114,1804800,115,1804800,121,1804800,123,1804800,124,1804800,126,2208000,127,2208000
219,5457360,229,0,0,217,1804800,220,1804800,223,1804800,225,1804800,228,1804800,230,1804800,232,1900800,234,1900800
318,5460608,325,0,0,317,1804800,319,1804800,321,1804800,322,1804800,324,1804800,325,1804800,326,1900800,328,1900800
424,5459396,443,0,0,421,1804800,425,1804800,428,1804800,430,1804800,432,1804800,445,1804800,448,2208000,450,2208000
524,5459620,543,0,0,523,1804800,525,1804800,527,1804800,531,1804800,542,1804800,544,1804800,546,1900800,548,1900800
627,5460144,636,0,0,623,1804800,627,1804800,629,1804800,631,1804800,632,1804800,637,1804800,639,1900800,640,1900800
727,5457480,737,0,0,724,1804800,729,1804800,731,1804800,733,1804800,735,1804800,738,1804800,739,2208000,741,2208000
825,5456180,831,0,0,824,1804800,826,1804800,827,1804800,828,1804800,829,1804800,831,1804800,833,1900800,834,1900800
925,5456540,929,0,0,924,1804800,926,1804800,927,1804800,928,1804800,928,1804800,929,1804800,930,1900800,931,1900800
1027,5457400,1033,0,0,1025,1804800,1027,1804800,1031,1804800,1032,1804800,1032,1804800,1033,1804800,1034,1900800,1034,1900800
1132,5458696,1141,0,0,1130,1804800,1134,1804800,1136,1804800,1138,1804800,1140,1804800,1142,1804800,1146,1900800,1147,1900800
1230,5448936,1237,0,0,1228,1804800,1231,1804800,1232,1804800,1234,1804800,1236,1804800,1237,1804800,1238,1248000,1240,1248000
1330,5440712,1335,0,0,1328,1804800,1331,1804800,1332,1804800,1334,1804800,1335,1804800,1336,1804800,1337,1248000,1338,1248000
1430,5439652,1434,16799,0,1429,1804800,1431,1804800,1432,1804800,1432,1804800,1433,1804800,1434,1804800,1435,1248000,1435,1248000
1533,5418108,1540,16799,0,1531,1804800,1534,1804800,1535,1804800,1537,1804800,1539,1804800,1540,1804800,1542,787200,1543,787200
1634,5419308,1639,16799,0,1632,1804800,1634,1804800,1635,1804800,1636,1804800,1638,1804800,1639,1804800,1641,787200,1642,787200
1735,5418544,1744,16799,0,1733,1804800,1736,1804800,1738,1804800,1739,1804800,1742,1804800,1744,1804800,1747,787200,1749,787200
1835,5421764,1846,16799,0,1834,1804800,1836,1804800,1837,1804800,1840,1804800,1842,1804800,1847,1804800,1850,787200,1851,787200
1937,5427140,1947,16799,0,1935,1804800,1938,1804800,1941,1804800,1943,1804800,1945,1804800,1947,1804800,1950,787200,1951,787200
2037,5428744,2042,16799,0,2035,1804800,2038,1804800,2039,1804800,2040,1804800,2041,1804800,2043,1804800,2049,787200,2050,787200
2138,5429296,2144,16799,0,2136,1804800,2138,1804800,2140,1804800,2141,1804800,2143,1804800,2144,1804800,2145,787200,2146,787200
2238,5428912,2242,16799,0,2236,1804800,2238,1804800,2239,1804800,2241,1804800,2241,1804800,2242,1804800,2243,787200,2244,787200
2339,5429740,2347,16799,0,2337,1248000,2340,1248000,2342,1248000,2344,1248000,2346,1612800,2348,1612800,2350,787200,2352,787200
2439,5432660,2445,16799,0,2438,1804800,2440,1804800,2441,1804800,2442,1804800,2443,1804800,2445,1804800,2449,787200,2451,787200
2541,5434928,2544,16799,0,2539,1804800,2541,1804800,2542,1804800,2543,1804800,2544,1804800,2545,1804800,2546,787200,2547,787200
2641,5429016,2644,16799,0,2640,1804800,2642,1804800,2643,1804800,2643,1804800,2644,1804800,2645,1804800,2645,787200,2646,787200
2742,5430300,2748,0,0,2741,1248000,2743,1248000,2744,1248000,2746,1612800,2747,1612800,2748,1612800,2756,787200,2758,787200
2843,5408516,2849,0,0,2841,1804800,2843,1804800,2844,1804800,2846,1804800,2848,1804800,2849,1804800,2850,787200,2851,787200
2946,5410076,2954,0,0,2943,576000,2946,576000,2949,576000,2951,576000,2953,576000,2955,576000,2957,787200,2959,787200
3047,5413304,3053,0,0,3044,1804800,3047,1804800,3048,1804800,3051,1804800,3052,1804800,3053,1804800,3054,787200,3065,979200
3146,5415164,3149,0,0,3144,1804800,3146,1804800,3147,1804800,3147,1804800,3148,1804800,3149,1804800,3149,787200,3150,787200
3246,5417180,3251,0,0,3245,1804800,3247,1804800,3248,1804800,3249,1804800,3251,1804800,3252,1804800,3255,787200,3256,787200
3348,5422004,3352,0,0,3347,1804800,3348,1804800,3349,1804800,3350,1804800,3351,1804800,3352,1804800,3353,787200,3354,787200
3448,5424624,3453,0,0,3447,1804800,3449,1804800,3450,1804800,3450,1804800,3451,1804800,3453,1804800,3454,787200,3454,787200
3549,5428388,3555,0,0,3547,1804800,3549,1804800,3551,1804800,3552,1804800,3554,1804800,3555,1804800,3558,2208000,3562,2208000
3650,5426272,3666,0,0,3648,1804800,3650,1804800,3652,1804800,3658,1804800,3659,1804800,3666,1804800,3669,2208000,3670,2208000
3750,5432744,3755,0,0,3748,1804800,3750,1804800,3751,1804800,3753,1804800,3754,1804800,3755,1804800,3756,787200,3757,787200
3850,5433996,3854,0,0,3849,1804800,3851,1804800,3852,1804800,3853,1804800,3853,1804800,3854,1804800,3855,787200,3856,787200
3951,5436044,3959,0,0,3949,1804800,3952,1804800,3956,1804800,3957,1804800,3958,1804800,3959,1804800,3960,787200,3961,787200
4053,5437280,4062,0,0,4050,768000,4054,768000,4056,768000,4058,768000,4061,768000,4063,768000,4065,787200,4066,787200
4154,5438352,4163,0,0,4151,576000,4155,576000,4157,576000,4159,576000,4161,576000,4163,576000,4166,787200,4167,787200
4253,5442100,4259,0,0,4252,1324800,4254,1324800,4255,1324800,4257,1324800,4258,1324800,4259,1324800,4260,787200,4262,787200
4354,5424240,4362,33598,0,4352,768000,4355,768000,4356,768000,4358,768000,4360,768000,4362,768000,4364,1900800,4366,787200
4458,5408080,4471,33598,0,4454,576000,4459,576000,4462,576000,4465,768000,4468,768000,4472,768000,4475,787200,4479,787200
4558,5409656,4564,33598,0,4554,1248000,4558,1248000,4560,1248000,4562,1248000,4563,1248000,4564,1248000,4566,787200,4566,787200
4657,5410784,4662,33598,0,4655,1804800,4657,1804800,4658,1804800,4660,1804800,4661,1804800,4662,1804800,4663,2208000,4664,2208000
4761,5411068,4775,33598,0,4757,576000,4762,576000,4767,576000,4771,576000,4773,576000,4776,576000,4779,787200,4782,787200
4861,5411556,4870,33598,0,4858,1017600,4862,1017600,4863,1017600,4866,576000,4868,576000,4870,576000,4873,787200,4875,787200
4963,5411808,4973,0,0,4959,1017600,4963,1017600,4967,1017600,4970,1017600,4971,1017600,4973,1017600,4974,787200,4976,787200
5062,5413320,5067,0,0,5060,1804800,5062,1804800,5063,1804800,5065,1804800,5066,1804800,5067,1804800,5068,787200,5069,787200
5163,5414328,5169,0,0,5160,1804800,5164,1804800,5167,1804800,5168,1804800,5169,1804800,5170,1804800,5171,787200,5171,787200
5268,5414328,5282,0,0,5262,1017600,5270,768000,5274,768000,5276,768000,5279,768000,5282,768000,5286,787200,5289,787200
5366,5414832,5377,0,0,5363,1248000,5367,1017600,5370,1017600,5373,1017600,5375,1017600,5378,1017600,5379,787200,5381,787200
5467,5415336,5483,0,0,5464,1324800,5468,1017600,5473,1017600,5479,1017600,5481,1017600,5484,1017600,5487,787200,5488,787200
5570,5415816,5579,0,0,5565,768000,5570,768000,5573,768000,5575,768000,5578,768000,5580,768000,5582,787200,5584,787200
5670,5416272,5679,0,0,5666,576000,5671,576000,5673,576000,5675,576000,5678,576000,5680,576000,5683,787200,5685,787200
5770,5416776,5778,0,0,5767,768000,5771,768000,5773,768000,5775,768000,5776,768000,5779,768000,5782,787200,5783,787200
5871,5417784,5883,16799,0,5868,1248000,5873,1248000,5878,1248000,5880,1248000,5882,1248000,5884,1248000,5885,787200,5888,787200
5971,5418288,5977,16799,0,5968,1248000,5971,1248000,5973,1248000,5974,1248000,5976,1248000,5978,1248000,5979,787200,5981,787200
6072,5419044,6081,16799,0,6069,1017600,6073,1017600,6075,1017600,6077,1017600,6079,1017600,6081,1017600,6083,787200,6085,787200
6174,5419296,6182,16799,0,6170,1017600,6175,1017600,6177,1017600,6179,1017600,6181,1017600,6183,1017600,6186,787200,6187,787200
6273,5420084,6282,16799,0,6271,1248000,6274,1248000,6277,1248000,6278,1248000,6281,1248000,6282,1248000,6284,787200,6285,787200
6376,5420588,6387,16799,0,6372,1017600,6378,1017600,6380,1017600,6382,1017600,6383,1017600,6388,1248000,6389,787200,6391,787200
6475,5421596,6479,16799,0,6472,1804800,6475,1804800,6476,1804800,6477,1804800,6478,1804800,6479,1804800,6480,787200,6481,787200
6577,5422068,6586,16799,0,6573,1017600,6578,1017600,6580,1017600,6582,1017600,6584,1017600,6586,1017600,6588,787200,6589,787200
6679,5422888,6692,16799,0,6675,576000,6681,576000,6684,576000,6687,576000,6690,576000,6693,576000,6696,787200,6699,787200
6778,5413228,6784,16799,0,6776,1708800,6779,1708800,6780,1708800,6782,1708800,6783,1708800,6784,1708800,6785,787200,6786,787200
6878,5402352,6886,16799,0,6876,1248000,6880,1248000,6882,1248000,6883,1248000,6885,1324800,6887,1324800,6888,787200,6890,787200
6981,5402604,6993,16799,0,6977,768000,6982,768000,6986,1248000,6989,1248000,6991,1248000,6994,1248000,6997,787200,6999,787200
7032,5403924,7038,16799,0,7030,1017600,7033,1017600,7034,1017600,7036,1017600,7037,1017600,7039,1017600,7040,787200,7041,787200
