Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
23,5365720,26,0,0,5,1804800,24,1804800,24,1804800,25,1804800,26,1804800,27,1804800,27,2208000,28,2208000
107,5367516,110,0,0,105,1804800,107,1804800,108,1804800,109,1804800,110,1804800,111,1804800,112,2208000,112,2208000
207,5370824,211,0,0,206,1804800,207,1804800,208,1804800,210,1804800,211,1804800,212,1804800,213,787200,213,787200
308,5372108,312,0,0,306,1804800,309,1804800,310,1804800,311,1804800,311,1804800,312,1804800,314,787200,315,787200
409,5374376,415,0,0,407,1804800,409,1804800,410,1804800,411,1804800,413,1804800,415,1804800,417,979200,420,979200
511,5376956,520,0,0,508,1248000,512,1248000,515,1248000,517,1248000,519,1248000,521,1248000,523,1401600,525,1401600
614,5377956,625,0,0,609,576000,615,576000,618,576000,620,576000,623,576000,626,576000,629,787200,631,787200
724,5378208,744,0,0,712,576000,727,576000,734,576000,739,1248000,743,1248000,745,1248000,747,787200,749,787200
815,5379492,821,0,0,812,1804800,815,1804800,817,1804800,819,1804800,820,1804800,822,1804800,824,787200,825,787200
919,5382096,928,0,0,914,576000,919,576000,922,576000,924,576000,926,576000,928,576000,931,787200,933,787200
1021,5382096,1033,0,0,1016,576000,1022,576000,1025,576000,1027,576000,1030,576000,1034,1248000,1036,787200,1038,787200
1121,5382564,1137,0,0,1117,576000,1123,576000,1128,576000,1132,576000,1135,1248000,1137,1248000,1140,787200,1142,787200
1223,5383604,1240,0,0,1219,576000,1224,576000,1229,576000,1234,768000,1238,768000,1241,768000,1245,787200,1250,787200
1322,5383912,1331,0,0,1318,768000,1323,768000,1325,768000,1327,768000,1329,768000,1333,768000,1335,787200,1336,787200
1427,5383912,1445,0,0,1421,576000,1429,576000,1435,576000,1438,768000,1441,768000,1446,768000,1449,787200,1451,787200
1526,5383948,1539,0,0,1521,576000,1527,576000,1531,576000,1534,576000,1536,576000,1540,576000,1545,787200,1548,787200
1627,5384200,1638,0,0,1621,576000,1628,576000,1631,576000,1633,576000,1636,576000,1639,576000,1641,787200,1643,787200
1725,5384200,1733,0,0,1722,1248000,1726,1248000,1729,1248000,1730,1248000,1732,1248000,1733,1248000,1734,787200,1736,787200
1828,5384200,1840,0,0,1823,576000,1829,576000,1832,576000,1835,576000,1838,576000,1840,576000,1843,787200,1845,787200
1930,5384956,1944,0,0,1924,576000,1931,576000,1936,576000,1940,576000,1943,576000,1946,576000,1948,787200,1950,787200
2030,5385460,2039,0,0,2026,576000,2031,576000,2033,576000,2036,576000,2038,576000,2040,576000,2042,1555200,2044,1555200
