Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
32,5355260,34,0,0,17,1804800,32,1804800,33,1804800,33,1804800,34,1804800,35,1804800,35,2208000,36,2208000
119,5355764,125,0,0,118,1804800,120,1804800,121,1804800,123,1804800,124,1804800,126,1804800,128,2208000,129,2208000
220,5357780,225,0,0,218,1804800,220,1804800,221,1804800,223,1248000,224,1248000,225,1804800,227,787200,228,787200
321,5333872,330,0,0,319,1804800,321,1804800,322,1804800,324,1804800,329,1804800,331,1804800,332,787200,333,787200
426,5334172,436,0,0,421,768000,427,768000,430,768000,432,768000,434,768000,437,768000,440,787200,442,787200
526,5334424,536,0,0,522,576000,527,576000,529,576000,532,576000,534,576000,536,576000,539,787200,541,787200
627,5334448,637,0,0,623,576000,628,576000,631,576000,633,576000,635,576000,638,576000,641,787200,643,787200
730,5334952,741,0,0,724,576000,731,576000,734,576000,737,576000,739,576000,742,576000,744,787200,747,787200
830,5335092,841,0,0,825,576000,831,576000,833,576000,836,576000,839,576000,841,576000,844,787200,846,787200
932,5335596,942,0,0,927,576000,933,576000,936,576000,939,576000,941,576000,943,576000,946,787200,948,787200
1034,5335848,1046,0,0,1028,576000,1035,576000,1038,576000,1041,576000,1044,576000,1046,576000,1049,787200,1051,787200
1133,5335848,1146,0,0,1129,576000,1135,576000,1139,576000,1141,576000,1144,576000,1147,576000,1149,787200,1151,787200
1234,5337108,1244,0,0,1230,1017600,1235,1017600,1238,1017600,1240,1017600,1243,1017600,1244,1017600,1246,787200,1248,787200
1342,5337140,1354,0,0,1334,576000,1343,576000,1346,576000,1350,576000,1352,768000,1354,768000,1357,787200,1358,787200
1440,5337392,1451,0,0,1434,576000,1442,576000,1445,576000,1447,576000,1450,768000,1453,768000,1455,787200,1458,787200
1540,5337644,1549,0,0,1535,576000,1540,576000,1543,576000,1545,576000,1547,576000,1550,576000,1552,787200,1554,787200
1644,5337644,1657,0,0,1638,576000,1645,576000,1649,576000,1652,576000,1654,576000,1659,576000,1662,787200,1665,787200
1742,5337392,1752,0,0,1737,768000,1743,768000,1745,768000,1748,768000,1751,768000,1754,768000,1756,787200,1758,787200
1843,5337644,1857,0,0,1838,576000,1845,576000,1847,576000,1852,576000,1855,576000,1859,576000,1862,787200,1865,787200
1943,5337416,1952,0,0,1939,768000,1944,768000,1946,768000,1948,768000,1950,768000,1952,768000,1954,787200,1956,787200
2045,5337668,2054,0,0,2041,576000,2046,576000,2048,576000,2051,576000,2053,576000,2055,576000,2057,787200,2059,787200
2148,5337896,2158,0,0,2144,576000,2149,576000,2152,576000,2154,576000,2156,576000,2159,576000,2162,787200,2164,787200
2249,5337064,2261,0,0,2245,576000,2250,576000,2255,576000,2258,576000,2260,576000,2262,576000,2266,787200,2270,787200
2350,5337032,2361,0,0,2346,768000,2351,576000,2354,576000,2356,576000,2359,576000,2362,576000,2364,787200,2366,787200
2451,5336828,2461,0,0,2447,576000,2452,576000,2455,576000,2457,576000,2459,576000,2462,576000,2464,787200,2466,787200
2552,5337080,2561,0,0,2548,576000,2553,576000,2555,576000,2558,576000,2560,576000,2562,576000,2564,787200,2566,787200
2655,5337284,2665,0,0,2651,576000,2656,576000,2659,576000,2661,576000,2663,576000,2666,576000,2669,787200,2671,787200
2754,5337788,2765,0,0,2751,576000,2755,576000,2758,576000,2761,576000,2763,576000,2766,576000,2768,787200,2770,787200
2856,5337928,2867,0,0,2852,576000,2857,576000,2860,576000,2862,576000,2865,576000,2867,576000,2870,787200,2872,787200
2956,5338456,2963,0,0,2952,1017600,2957,1017600,2959,1017600,2961,1017600,2962,1017600,2964,1017600,2965,787200,2966,787200
3057,5338480,3067,0,0,3053,576000,3058,576000,3061,576000,3063,576000,3065,576000,3068,576000,3070,787200,3072,787200
3161,5338684,3172,0,0,3157,576000,3162,576000,3165,576000,3167,576000,3170,576000,3172,576000,3175,787200,3178,787200
3260,5335564,3267,0,0,3258,1516800,3261,1516800,3264,1516800,3265,1516800,3266,1516800,3268,1516800,3269,787200,3270,787200
3363,5336668,3374,0,0,3359,576000,3364,576000,3367,576000,3369,576000,3371,1248000,3374,1248000,3376,787200,3378,787200
3465,5339520,3475,0,0,3460,576000,3466,576000,3470,576000,3471,576000,3474,576000,3476,576000,3482,787200,3484,787200
3571,5339748,3581,0,0,3567,576000,3572,576000,3574,576000,3576,576000,3578,576000,3583,576000,3585,787200,3587,787200
3668,5340000,3681,0,0,3664,576000,3669,576000,3672,576000,3674,576000,3677,576000,3681,576000,3684,787200,3686,787200
3770,5340528,3782,0,0,3766,576000,3773,576000,3776,576000,3778,576000,3780,576000,3783,576000,3787,787200,3790,787200
3871,5340188,3881,0,0,3867,576000,3872,576000,3875,576000,3877,576000,3879,576000,3882,576000,3885,787200,3889,787200
3974,5340692,3985,0,0,3968,576000,3975,576000,3978,576000,3981,576000,3983,576000,3986,576000,3990,787200,3992,787200
4074,5340440,4084,0,0,4069,576000,4075,576000,4077,576000,4079,576000,4082,576000,4084,576000,4088,787200,4090,787200
4173,5340944,4181,0,0,4170,576000,4174,576000,4176,576000,4178,576000,4179,576000,4182,576000,4184,787200,4186,787200
4277,5340944,4285,0,0,4272,576000,4278,576000,4280,576000,4282,576000,4284,576000,4286,576000,4289,787200,4291,787200
4378,5341060,4388,0,0,4373,576000,4379,576000,4382,576000,4384,576000,4386,576000,4389,576000,4391,787200,4394,787200
4479,5340880,4490,0,0,4474,576000,4480,576000,4482,576000,4485,576000,4487,576000,4491,768000,4493,787200,4496,787200
4579,5341416,4589,0,0,4574,576000,4580,576000,4582,576000,4585,576000,4587,576000,4590,768000,4592,787200,4593,787200
4679,5341116,4689,0,0,4676,576000,4680,576000,4683,576000,4685,576000,4687,576000,4690,768000,4692,787200,4693,787200
4780,5341620,4790,0,0,4776,576000,4781,576000,4784,576000,4786,576000,4788,576000,4791,576000,4793,787200,4795,787200
4882,5341068,4893,0,0,4878,576000,4883,576000,4887,576000,4889,576000,4891,576000,4894,576000,4897,787200,4900,787200
4983,5341320,4994,0,0,4979,576000,4984,576000,4987,576000,4990,576000,4993,576000,4995,576000,4998,787200,5000,787200
5084,5341068,5096,0,0,5080,576000,5085,576000,5090,576000,5092,576000,5094,576000,5097,576000,5100,787200,5102,787200
5183,5341320,5189,0,0,5181,1248000,5184,1248000,5185,1248000,5187,1248000,5189,1248000,5190,1017600,5191,1248000,5192,1248000
5287,5341572,5296,0,0,5283,576000,5288,576000,5291,576000,5292,576000,5295,576000,5298,576000,5301,787200,5304,787200
5388,5341596,5401,0,0,5383,576000,5389,576000,5392,576000,5394,576000,5398,576000,5402,576000,5405,787200,5407,787200
5488,5341824,5500,0,0,5484,576000,5490,576000,5493,576000,5495,576000,5498,576000,5500,576000,5503,787200,5506,787200
5590,5341824,5600,0,0,5586,576000,5591,576000,5594,576000,5596,576000,5598,576000,5601,576000,5603,787200,5606,787200
5640,5342076,5648,0,0,5636,768000,5640,768000,5643,768000,5645,768000,5647,768000,5648,768000,5650,787200,5652,787200
5741,5342328,5752,0,0,5737,576000,5743,576000,5745,576000,5748,576000,5750,576000,5753,576000,5756,787200,5761,787200
5842,5342612,5852,0,0,5838,576000,5843,576000,5846,576000,5848,576000,5850,576000,5853,576000,5855,787200,5858,787200
5944,5342644,5956,0,0,5939,576000,5946,576000,5948,576000,5952,576000,5954,576000,5957,576000,5960,787200,5962,787200
6045,5342872,6054,0,0,6040,576000,6047,576000,6050,576000,6052,1248000,6053,1248000,6055,1248000,6056,787200,6058,787200
6147,5342620,6158,0,0,6141,576000,6148,576000,6151,576000,6153,576000,6156,576000,6159,576000,6161,787200,6163,787200
6245,5342620,6254,0,0,6242,576000,6246,576000,6248,576000,6251,576000,6253,576000,6255,576000,6257,787200,6259,787200
6346,5342392,6355,0,0,6343,576000,6347,576000,6349,576000,6351,576000,6354,576000,6356,576000,6358,787200,6360,787200
6448,5342896,6457,0,0,6444,576000,6448,576000,6451,576000,6453,576000,6455,576000,6458,576000,6460,787200,6463,787200
6549,5343620,6557,0,0,6545,576000,6550,576000,6552,576000,6554,576000,6556,576000,6558,576000,6561,787200,6563,787200
6650,5343368,6659,0,0,6646,576000,6651,576000,6654,576000,6656,576000,6658,576000,6660,576000,6662,787200,6663,787200
6751,5343424,6761,0,0,6747,576000,6752,576000,6755,576000,6757,576000,6759,576000,6762,576000,6764,787200,6765,787200
6855,5343628,6864,0,0,6849,576000,6856,576000,6858,576000,6860,576000,6862,576000,6864,576000,6866,787200,6868,787200
6954,5343872,6962,0,0,6950,1017600,6955,576000,6957,576000,6959,576000,6961,576000,6963,576000,6965,787200,6967,787200
7056,5343848,7065,0,0,7052,576000,7057,576000,7059,576000,7062,576000,7064,576000,7066,576000,7068,787200,7070,787200
7160,5343896,7170,0,0,7154,576000,7161,576000,7164,576000,7166,576000,7168,576000,7171,768000,7174,787200,7175,787200
7260,5344400,7276,0,0,7256,576000,7262,576000,7265,576000,7269,576000,7272,768000,7277,768000,7279,787200,7282,787200
7365,5344424,7387,0,0,7359,576000,7366,576000,7369,576000,7371,576000,7381,576000,7388,576000,7391,787200,7394,787200
7462,5344268,7473,0,0,7459,768000,7464,768000,7467,768000,7469,768000,7472,768000,7474,768000,7476,787200,7479,787200
7564,5344048,7575,0,0,7560,576000,7565,576000,7569,576000,7571,576000,7573,576000,7576,576000,7578,787200,7581,787200
7665,5344252,7674,0,0,7661,576000,7666,576000,7668,576000,7671,576000,7673,576000,7675,576000,7677,787200,7680,787200
7767,5343772,7778,0,0,7763,576000,7768,576000,7771,576000,7773,576000,7775,576000,7779,576000,7781,787200,7783,787200
7867,5343880,7876,0,0,7863,576000,7868,576000,7871,576000,7873,576000,7875,576000,7877,576000,7880,787200,7883,787200
7968,5343904,7980,0,0,7964,576000,7971,576000,7974,576000,7976,576000,7979,576000,7981,576000,7983,787200,7986,787200
8069,5343748,8075,0,0,8066,1248000,8070,1017600,8071,1017600,8073,1017600,8074,1017600,8076,1017600,8077,787200,8080,787200
8170,5336692,8177,0,0,8166,1017600,8170,768000,8172,768000,8174,768000,8176,768000,8178,768000,8180,787200,8181,787200
8272,5336692,8281,0,0,8267,576000,8273,576000,8275,576000,8277,576000,8279,576000,8282,576000,8284,787200,8286,787200
8373,5336692,8382,0,0,8370,576000,8374,576000,8376,576000,8378,576000,8381,576000,8383,576000,8386,787200,8388,787200
8474,5336236,8488,0,0,8470,576000,8475,576000,8481,576000,8484,576000,8487,576000,8490,576000,8492,787200,8493,787200
8576,5336488,8586,0,0,8572,576000,8578,576000,8580,576000,8583,576000,8585,576000,8587,576000,8590,787200,8591,787200
8679,5336740,8690,0,0,8673,576000,8680,576000,8683,576000,8685,576000,8687,576000,8691,768000,8693,787200,8696,787200
8779,5336740,8790,0,0,8774,576000,8780,576000,8783,576000,8785,576000,8788,576000,8790,768000,8792,787200,8796,787200
8879,5336604,8890,0,0,8875,576000,8879,576000,8884,576000,8886,576000,8888,576000,8891,576000,8893,787200,8896,787200
8980,5336888,8991,0,0,8977,576000,8981,576000,8983,576000,8987,576000,8989,576000,8992,768000,8994,787200,8995,787200
9082,5336888,9090,0,0,9078,576000,9082,576000,9084,576000,9087,576000,9089,576000,9091,576000,9093,787200,9096,787200
9183,5337140,9192,0,0,9179,576000,9184,576000,9186,576000,9188,576000,9190,576000,9192,576000,9195,787200,9197,787200
9285,5337164,9294,0,0,9281,576000,9286,576000,9288,576000,9290,576000,9292,576000,9294,576000,9296,787200,9299,787200
9386,5336912,9395,0,0,9382,576000,9386,576000,9389,576000,9391,576000,9393,576000,9396,576000,9398,787200,9400,787200
9487,5336912,9497,0,0,9483,576000,9488,576000,9490,576000,9493,576000,9495,576000,9498,576000,9501,787200,9503,787200
9589,5337416,9599,0,0,9586,768000,9590,576000,9593,576000,9595,576000,9597,576000,9600,576000,9602,787200,9604,787200
9692,5337416,9702,0,0,9684,576000,9693,576000,9696,576000,9698,576000,9700,576000,9702,576000,9705,787200,9707,787200
9793,5337668,9802,0,0,9786,576000,9794,576000,9797,576000,9799,576000,9801,576000,9803,576000,9805,787200,9807,787200
9891,5337896,9905,0,0,9887,576000,9896,576000,9898,576000,9901,576000,9903,576000,9906,576000,9908,787200,9910,787200
9992,5338172,10006,0,0,9988,576000,9993,576000,9999,576000,10002,576000,10004,576000,10007,576000,10009,787200,10011,787200
10092,5338172,10102,0,0,10089,576000,10093,576000,10095,576000,10098,576000,10100,576000,10102,576000,10105,787200,10107,787200
10194,5338448,10203,0,0,10190,576000,10194,576000,10197,576000,10199,576000,10202,576000,10204,576000,10209,787200,10211,787200
10294,5338244,10305,0,0,10291,576000,10296,576000,10299,576000,10301,576000,10303,576000,10305,576000,10310,1036800,10312,1036800
10396,5338724,10406,0,0,10392,576000,10397,576000,10399,576000,10402,576000,10404,576000,10407,576000,10409,787200,10410,787200
10502,5338976,10514,0,0,10495,576000,10504,576000,10507,576000,10509,576000,10512,576000,10515,576000,10518,787200,10522,787200
10600,5338772,10612,0,0,10596,576000,10601,576000,10605,576000,10608,576000,10611,576000,10613,576000,10616,787200,10618,787200
10701,5339024,10712,0,0,10697,576000,10703,576000,10705,576000,10708,576000,10710,576000,10713,576000,10715,787200,10717,787200
10803,5339276,10814,0,0,10799,576000,10804,576000,10807,576000,10809,576000,10812,576000,10815,576000,10817,787200,10819,787200
10904,5339464,10915,0,0,10900,576000,10905,576000,10908,576000,10911,576000,10913,576000,10916,576000,10919,787200,10921,787200
11005,5339464,11016,0,0,11001,576000,11006,576000,11009,576000,11011,576000,11014,576000,11016,576000,11019,787200,11021,787200
11106,5339488,11117,0,0,11103,576000,11107,576000,11110,576000,11113,576000,11115,576000,11118,576000,11120,787200,11123,787200
11207,5339488,11218,0,0,11204,576000,11208,576000,11211,576000,11213,576000,11216,576000,11218,576000,11221,787200,11223,787200
11308,5339488,11318,0,0,11305,576000,11309,576000,11312,576000,11314,576000,11316,576000,11319,576000,11322,787200,11324,787200
11410,5340496,11422,0,0,11406,576000,11411,576000,11415,576000,11418,576000,11420,576000,11423,576000,11425,787200,11427,787200
11511,5340732,11521,0,0,11507,576000,11512,576000,11515,576000,11517,576000,11519,576000,11521,576000,11524,787200,11526,787200
11613,5340984,11624,0,0,11609,576000,11613,576000,11616,576000,11618,576000,11622,576000,11625,576000,11628,787200,11630,787200
11714,5340504,11722,0,0,11710,576000,11715,576000,11717,576000,11719,576000,11720,576000,11723,576000,11725,787200,11727,787200
11815,5340512,11832,0,0,11811,576000,11816,576000,11819,576000,11821,576000,11831,1248000,11833,1248000,11835,787200,11836,787200
11918,5340788,11930,0,0,11912,576000,11919,576000,11922,576000,11925,576000,11928,576000,11931,1248000,11932,787200,11934,787200
12016,5340812,12027,0,0,12012,576000,12018,576000,12020,576000,12023,576000,12025,576000,12027,576000,12030,787200,12031,787200
12118,5341088,12131,0,0,12114,576000,12119,576000,12124,576000,12127,576000,12129,576000,12132,768000,12134,787200,12137,787200
12219,5341364,12230,0,0,12215,576000,12220,576000,12223,576000,12225,576000,12228,576000,12231,576000,12233,787200,12235,787200
12319,5341388,12329,0,0,12316,576000,12320,576000,12323,576000,12325,576000,12328,576000,12330,576000,12332,787200,12335,787200
12421,5341412,12430,0,0,12417,576000,12422,576000,12424,576000,12426,576000,12428,576000,12431,576000,12433,787200,12435,787200
12524,5341412,12535,0,0,12520,576000,12525,576000,12528,576000,12531,576000,12533,576000,12536,576000,12538,787200,12540,787200
12626,5341460,12637,0,0,12621,576000,12627,576000,12630,576000,12633,576000,12635,576000,12638,576000,12640,787200,12643,787200
12726,5341712,12737,0,0,12722,576000,12727,576000,12730,576000,12733,576000,12735,576000,12737,576000,12740,787200,12742,787200
12827,5341772,12837,0,0,12823,576000,12828,576000,12831,576000,12833,576000,12835,576000,12838,576000,12840,787200,12842,787200
12928,5341268,12939,0,0,12924,576000,12929,576000,12932,576000,12935,576000,12937,576000,12940,576000,12942,787200,12945,787200
13031,5342048,13050,0,0,13026,576000,13032,576000,13040,576000,13043,576000,13047,576000,13050,1248000,13055,787200,13057,787200
13130,5338520,13140,0,0,13126,1017600,13131,768000,13133,768000,13135,768000,13137,768000,13141,768000,13144,787200,13146,787200
13233,5338244,13242,0,0,13228,576000,13234,576000,13236,576000,13238,576000,13240,576000,13243,576000,13245,787200,13247,787200
13335,5338244,13347,0,0,13329,576000,13336,576000,13339,576000,13342,576000,13344,576000,13348,576000,13351,787200,13353,787200
13434,5338496,13445,0,0,13430,576000,13435,576000,13438,576000,13440,576000,13443,576000,13446,576000,13448,787200,13450,787200
13484,5338496,13494,0,0,13480,768000,13484,768000,13487,768000,13490,576000,13492,576000,13495,576000,13497,787200,13499,787200
13586,5338748,13596,0,0,13581,576000,13587,576000,13590,576000,13592,576000,13594,576000,13597,576000,13601,787200,13603,787200
13687,5338496,13696,0,0,13682,576000,13688,576000,13690,576000,13692,576000,13695,576000,13699,576000,13702,787200,13704,787200
13788,5338748,13796,0,0,13784,576000,13788,576000,13791,576000,13793,576000,13795,576000,13797,576000,13800,787200,13803,787200
13890,5339276,13899,0,0,13885,576000,13891,576000,13893,576000,13896,576000,13897,576000,13900,576000,13903,787200,13906,787200
13990,5339104,14000,0,0,13986,576000,13991,576000,13994,576000,13996,576000,13999,576000,14001,576000,14003,787200,14005,787200
14091,5338852,14101,0,0,14087,576000,14092,576000,14094,576000,14097,576000,14100,576000,14102,576000,14104,787200,14105,787200
14192,5339608,14201,0,0,14188,576000,14193,576000,14195,576000,14198,576000,14200,576000,14202,576000,14205,787200,14207,787200
14294,5340112,14302,0,0,14290,576000,14295,576000,14297,576000,14299,576000,14301,576000,14303,576000,14305,787200,14307,787200
14395,5340112,14405,0,0,14390,576000,14395,576000,14398,576000,14400,576000,14403,576000,14406,576000,14409,787200,14410,787200
14496,5339908,14507,0,0,14491,576000,14497,576000,14500,576000,14503,576000,14505,576000,14508,576000,14510,787200,14511,787200
14596,5339932,14609,0,0,14592,576000,14598,576000,14601,576000,14604,576000,14606,576000,14610,576000,14612,787200,14613,787200
14695,5340436,14703,0,0,14693,1804800,14696,1804800,14697,1804800,14700,1804800,14702,1804800,14704,1804800,14705,787200,14708,787200
14797,5340516,14800,0,0,14794,1804800,14797,1804800,14798,1804800,14799,1804800,14800,1804800,14801,1804800,14802,787200,14802,787200
14898,5340316,14901,0,0,14895,1804800,14898,1804800,14899,1804800,14900,1804800,14901,1804800,,,,,,
