Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
62,5422300,65,0,0,60,1804800,62,1804800,63,1804800,64,1804800,64,1804800,65,1804800,66,2208000,67,2208000
162,5425152,165,0,0,161,1804800,162,1804800,163,1804800,164,1804800,165,1804800,166,1804800,167,2208000,167,2208000
263,5426468,266,0,0,261,1804800,263,1804800,264,1804800,265,1804800,265,1804800,266,1804800,267,787200,267,787200
365,5426744,374,0,0,363,1248000,366,1248000,368,1248000,370,1612800,372,1612800,374,1612800,375,787200,377,787200
467,5426696,472,0,0,464,1248000,468,1248000,469,1248000,470,1248000,472,1248000,473,1248000,474,787200,475,787200
569,5426916,580,0,0,565,576000,570,576000,573,576000,575,576000,578,576000,581,576000,584,787200,596,787200
667,5427688,671,0,0,665,1804800,667,1804800,668,1804800,669,1804800,670,1017600,671,1017600,672,979200,674,979200
767,5427436,771,0,0,765,1612800,767,1612800,768,1612800,769,1612800,770,1804800,771,1804800,772,787200,772,787200
871,5428056,882,0,0,867,576000,872,576000,875,576000,877,576000,880,576000,883,576000,885,787200,887,787200
973,5427860,985,0,0,968,576000,974,576000,977,576000,980,576000,983,576000,986,576000,988,787200,990,787200
1074,5428584,1084,0,0,1069,576000,1075,576000,1077,576000,1080,576000,1082,576000,1084,576000,1087,787200,1090,787200
1175,5428632,1191,0,0,1171,576000,1176,576000,1180,576000,1185,576000,1188,576000,1192,1248000,1196,787200,1198,787200
1274,5425500,1278,0,0,1271,1708800,1275,1708800,1276,1708800,1277,1708800,1278,1708800,1279,1708800,1279,787200,1280,787200
1374,5425288,1377,0,0,1372,1804800,1374,1804800,1375,1804800,1376,1804800,1377,1804800,1378,1804800,1378,787200,1379,787200
1478,5426800,1489,0,0,1473,576000,1479,576000,1481,576000,1483,576000,1485,576000,1490,1248000,1493,787200,1495,787200
1579,5427084,1591,0,0,1574,576000,1580,576000,1583,576000,1586,576000,1589,576000,1591,1248000,1593,787200,1595,787200
1678,5427440,1686,0,0,1675,1248000,1678,1248000,1680,1248000,1683,1248000,1685,1248000,1686,1248000,1688,787200,1689,787200
1783,5427220,1796,0,0,1776,576000,1784,576000,1788,576000,1790,576000,1793,576000,1797,576000,1800,787200,1803,787200
1882,5427212,1891,0,0,1877,576000,1882,576000,1885,576000,1887,576000,1889,576000,1891,576000,1894,787200,1895,787200
1983,5427312,1993,0,0,1979,576000,1984,576000,1987,576000,1989,576000,1991,576000,1994,576000,1997,787200,1999,787200
2083,5427312,2094,0,0,2080,576000,2084,576000,2087,576000,2090,576000,2092,576000,2095,576000,2098,787200,2100,787200
2184,5427652,2191,0,0,2181,1248000,2184,1248000,2187,1248000,2189,1248000,2190,1248000,2192,1248000,2193,787200,2195,787200
2294,5430396,2311,0,0,2291,1804800,2303,1804800,2304,1804800,2306,1804800,2306,1804800,2312,1708800,2313,787200,2314,787200
2387,5432488,2397,0,0,2384,1804800,2387,1804800,2389,1804800,2394,1804800,2396,1804800,2397,1804800,2398,787200,2399,787200
2488,5433632,2496,0,0,2486,1804800,2489,1804800,2491,576000,2493,576000,2494,576000,2496,576000,2498,787200,2500,787200
2591,5433380,2602,0,0,2587,576000,2592,576000,2595,576000,2597,576000,2599,576000,2603,576000,2605,787200,2608,787200
2693,5433904,2715,0,0,2688,576000,2694,576000,2697,576000,2702,576000,2705,576000,2715,1248000,2718,787200,2719,787200
2794,5433904,2805,0,0,2790,576000,2795,576000,2799,576000,2801,576000,2803,576000,2806,576000,2808,787200,2810,787200
2892,5434740,2897,0,0,2891,1708800,2893,1708800,2894,1708800,2895,1708800,2896,1708800,2898,1708800,2899,787200,2899,787200
2995,5434736,3003,0,0,2992,1017600,2996,1017600,2998,1017600,3000,1017600,3001,1017600,3004,1017600,3006,787200,3007,787200
3099,5434608,3112,0,0,3095,576000,3100,576000,3102,576000,3106,576000,3110,768000,3112,768000,3116,787200,3119,787200
3200,5434860,3213,0,0,3196,576000,3201,576000,3204,576000,3207,576000,3212,768000,3214,768000,3216,787200,3218,787200
3303,5435112,3312,0,0,3299,576000,3304,576000,3306,576000,3308,576000,3311,576000,3313,576000,3315,787200,3317,787200
3405,5437632,3415,0,0,3401,768000,3406,768000,3409,768000,3411,1248000,3413,1248000,3416,1248000,3418,787200,3420,787200
3509,5439648,3518,0,0,3504,576000,3511,1804800,3513,1804800,3515,1804800,3517,1804800,3518,1804800,3520,787200,3522,787200
3607,5438344,3612,0,0,3605,576000,3607,576000,3609,576000,3610,576000,3611,576000,3612,576000,3613,787200,3614,787200
3711,5439040,3722,0,0,3705,576000,3712,576000,3715,576000,3717,576000,3720,576000,3723,576000,3725,787200,3727,787200
3811,5439544,3822,0,0,3807,576000,3812,576000,3815,576000,3818,576000,3821,576000,3823,576000,3825,787200,3827,787200
3914,5439476,3926,0,0,3908,576000,3916,576000,3920,576000,3922,576000,3925,576000,3927,576000,3931,787200,3932,787200
4016,5439728,4028,0,0,4010,576000,4017,576000,4021,576000,4024,576000,4026,576000,4029,576000,4031,787200,4032,787200
4117,5440036,4128,0,0,4112,576000,4118,576000,4121,576000,4124,576000,4126,576000,4129,576000,4132,787200,4133,787200
4219,5440540,4229,0,0,4215,576000,4220,576000,4223,576000,4225,576000,4228,576000,4230,768000,4232,787200,4234,787200
4319,5440824,4335,0,0,4315,576000,4321,576000,4328,576000,4331,1804800,4333,1804800,4336,1804800,4337,787200,4338,787200
4420,5441372,4431,0,0,4416,1248000,4421,1248000,4423,1248000,4426,1248000,4430,1612800,4433,1612800,4435,787200,4437,787200
4522,5441624,4538,0,0,4518,576000,4523,576000,4530,768000,4533,768000,4536,768000,4540,768000,4544,787200,4546,787200
4623,5442128,4633,0,0,4619,576000,4624,576000,4626,576000,4629,576000,4631,576000,4634,576000,4636,787200,4639,787200
4724,5442380,4735,0,0,4720,576000,4725,576000,4728,576000,4730,576000,4733,576000,4736,576000,4738,787200,4740,787200
4826,5442380,4839,0,0,4821,576000,4827,576000,4830,576000,4832,576000,4835,576000,4840,576000,4843,787200,4845,787200
4927,5442820,4937,0,0,4922,576000,4928,576000,4930,576000,4933,576000,4935,576000,4938,576000,4940,787200,4942,787200
5028,5443072,5039,0,0,5024,576000,5029,576000,5032,576000,5035,576000,5037,576000,5040,576000,5042,787200,5044,787200
5131,5443356,5148,0,0,5125,576000,5134,576000,5137,576000,5142,576000,5145,576000,5149,576000,5151,787200,5153,787200
5234,5443356,5248,0,0,5226,576000,5236,576000,5240,576000,5243,576000,5246,576000,5249,576000,5251,787200,5252,787200
5332,5443640,5344,0,0,5328,576000,5333,576000,5335,576000,5340,576000,5342,576000,5345,576000,5348,787200,5350,787200
5432,5443924,5442,0,0,5429,768000,5433,768000,5436,768000,5438,768000,5440,768000,5443,768000,5446,787200,5448,787200
5534,5443956,5544,0,0,5530,576000,5535,576000,5537,576000,5540,576000,5542,576000,5545,576000,5548,787200,5551,787200
5636,5443956,5646,0,0,5632,576000,5637,576000,5640,576000,5642,576000,5644,576000,5647,576000,5650,787200,5652,787200
5737,5443736,5748,0,0,5733,576000,5739,576000,5742,576000,5744,576000,5746,576000,5749,576000,5751,787200,5753,787200
5838,5440460,5845,0,0,5834,1017600,5838,1017600,5840,1017600,5843,1017600,5844,1017600,5846,1017600,5847,787200,5848,787200
5940,5440656,5952,0,0,5935,576000,5941,576000,5944,576000,5947,576000,5950,576000,5952,576000,5957,787200,5960,787200
6041,5440656,6055,0,0,6037,576000,6042,576000,6046,576000,6051,576000,6053,576000,6056,576000,6058,787200,6061,787200
6142,5440656,6153,0,0,6138,576000,6143,576000,6146,576000,6148,576000,6151,576000,6154,576000,6157,787200,6159,787200
