Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
18,5255456,21,320920,256736,5,1804800,19,1804800,19,1804800,20,1804800,20,1804800,21,1804800,22,2208000,22,2208000
107,5257724,110,0,0,106,1804800,107,1804800,108,1804800,109,1804800,109,1804800,110,1804800,111,2208000,112,2208000
207,5260496,212,0,0,206,1804800,208,1804800,209,1804800,210,1804800,211,1804800,212,1804800,213,2208000,214,2208000
308,5262764,311,0,0,306,1804800,308,1804800,309,1804800,310,1804800,310,1804800,311,1804800,312,1900800,313,1900800
412,5233784,417,0,0,408,1804800,413,1804800,414,1804800,415,1804800,416,1804800,417,1804800,418,1900800,419,1900800
509,5232760,513,0,0,507,1804800,509,1804800,510,1804800,512,1804800,513,1804800,514,1804800,515,1900800,516,1900800
609,5233296,613,0,0,608,1804800,610,1804800,611,1804800,612,1804800,612,1804800,613,1804800,614,1900800,615,1900800
710,5234304,714,0,0,708,1804800,711,1804800,712,1804800,713,1804800,714,1804800,715,1804800,716,1900800,717,1900800
810,5235564,813,0,0,809,1804800,810,1804800,811,1804800,812,1804800,812,1804800,813,1804800,814,1900800,815,1900800
911,5236068,915,0,0,909,1804800,911,1804800,913,1804800,914,1804800,915,1804800,915,1804800,916,1900800,917,1900800
1011,5236572,1016,0,0,1010,1804800,1012,1804800,1013,1804800,1014,1804800,1015,1804800,1016,1804800,1017,1900800,1017,1900800
1111,5238336,1115,0,0,1110,1804800,1112,1804800,1113,1804800,1114,1804800,1115,1804800,1116,1804800,1117,1900800,1117,1900800
1212,5239124,1217,0,0,1210,1804800,1213,1804800,1214,1804800,1215,1804800,1216,1804800,1217,1804800,1218,1900800,1219,1900800
1313,5239376,1317,0,0,1311,1248000,1313,1248000,1315,1248000,1316,1248000,1317,1248000,1318,1248000,1319,1248000,1320,1248000
1415,5239880,1419,0,0,1413,1248000,1415,1248000,1416,1248000,1418,1248000,1419,1248000,1420,1248000,1421,1248000,1422,1248000
1515,5240660,1519,0,0,1514,1248000,1516,1248000,1517,1248000,1518,1248000,1519,1248000,1520,1248000,1521,1248000,1522,1248000
